ab	Ab morgen muss ich arbeiten.	I have to work from tomorrow.
aber	Ich bin oft im Büro, aber nur für wenige Stunden.	I am often in the office, but only for a few hours.
abfahren	Wir fahren um zwölf Uhr ab.	We leave at twelve o'clock.
die Abfahrt	Vor der Abfahrt rufe ich an.	Before departure, I'll call.
abgeben	Ich muss meine Schlüssel abgeben.	I have to hand in my keys.
abholen(1)	Wann kann ich den Schrank bei dir abholen?	When can I pick up the cabinet from you?
abholen(2)	Wir müssen noch meinen Bruder abholen.	We still need to pick up my brother.
der Absender	Da ist ein Brief für dich ohne Absender.	There is a letter for you without a sender.
Achtung	Achtung! Das dürfen Sie nicht tun.	Attention! You must not do that.
die Adresse,-en	Können Sie mir seine Adresse sagen?	Could you tell me his address?
all-(1)	Alles Gute!	All the best!
all-(2)	Das ist alles.	That's all.
all-(3)	Sind alle da?	Is everyone here?
all-(4)	Alle Freunde kommen.	All friends are coming.
all-(5)	Hast du alles?	Do you have everything?
allein	Er kommt allein.	He comes alone.
also(1)	Also, es ist so: …	Well, it is like this: …
also(2)	Er hat Zeit, also muss er uns helfen.	He has time, so he has to help us.
alt(1)	Wie alt sind Sie?	How old are you?
alt(2)	Sie sehen aber nicht so alt aus.	But you don't look that old.
alt(3)	Mein Auto ist schon sehr alt.	My car is already very old.
alt(4)	Wir wohnen in einem sehr alten Haus.	We live in a very old house.
alt(5)	Köln ist eine alte Stadt.	Cologne is an old city.
das Alter	Alter: 26 Jahre.	Age: 26 years.
an(1)	Fahren Sie an der nächsten Straße nach rechts.	Turn right at the next street.
an(2)	Wir treffen uns am Bahnhof.	We meet at the train station.
an(3)	Am nächsten Montag geht es leider nicht.	Sorry, it won't work next Monday.
anbieten	Was darf ich dir anbieten?	What can I offer you?
das Angebot, -e	Heute sind Sportschuhe im Angebot.	Today, sports shoes are on sale.
ander-	Willst du diese Jacke?	Do you want this jacket?
ander-	– Nein, ich möchte die andere.	– No, I want the other one.
anfangen(1)	Hier fängt die Bahnhofstraße an.	Here, Bahnhofstraße starts.
anfangen(2)	Der Unterricht fängt gleich an.	The class is about to start.
der Anfang	Sie wohnt am Anfang der Straße.	She lives at the beginning of the street.
der Anfang	Wir machen Anfang Juli Urlaub.	We're going on vacation in early July.
anklicken	Da musst du dieses Wort anklicken.	You need to click on this word.
ankommen	Wann kommt dieser Zug in Hamburg an?	When does this train arrive in Hamburg?
die Ankunft	Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.	This plan only shows the arrival time of the trains.
ankreuzen	Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.	On the form, you need to check several places.
anmachen	Mach bitte das Licht an!	Please turn on the light.
(sich) anmelden	Wo kann ich mich anmelden?	Where can I register?
