das Baby, -s	Mein Kind ist noch ein Baby.	My child is still a baby.
die Bäckerei	Ich geh mal schnell zur Bäckerei.	I'll quickly go to the bakery.
das Bad	Wir haben kein großes Bad.	We don't have a big bathroom.
baden	Ich bade nicht so gern, ich dusche lieber.	I don't like bathing much; I prefer showering.
die Bahn(1)	Wir fahren lieber mit der Bahn.	We prefer traveling by train.
die Bahn(2)	Ich nehme die nächste Bahn.	I'll take the next train.
der Bahnhof	Komme ich hier zum Bahnhof?	Am I here for the train station?
der Bahnsteig	Auf welchem Bahnsteig fährt der Zug?	On which platform does the train depart?
bald	Ich komme bald.	I'll come soon.
der Balkon	Die Wohnung hat auch einen kleinen Balkon.	The apartment also has a small balcony.
die Banane, -n	Drei Bananen, bitte!	Three bananas, please!
die Bank(1)	Die Bank schließt schon um vier Uhr.	The bank closes at four o'clock.
die Bank(2)	Er sitzt im Park auf einer Bank und liest.	He sits on a bench in the park and reads.
bar	Muss ich bar zahlen oder geht‘s auch mit Karte?	Do I have to pay in cash or can I use a card?
der Bauch	Seit gestern tut mir der Bauch weh.	My stomach has been hurting since yesterday.
der Baum, -ä, e	Vorsicht, fahr nicht an den Baum!	Careful, don’t drive into the tree!
der Beamte, -n	Fragen Sie die Beamtin am Schalter acht!	Ask the female official at counter eight!
bedeuten	Was bedeutet das Wort?	What does the word mean?
beginnen	Das Spiel beginnt um 15.30 Uhr.	The game starts at 3:30 PM.
bei(1)	Offenbach liegt bei Frankfurt.	Offenbach is near Frankfurt.
bei(2)	Ich wohne bei meinen Eltern.	I live with my parents.
bei(3)	Bei uns regnet es heute.	It’s raining here today.
bei(4)	Er arbeitet bei der Polizei.	He works at the police station.
beide	Beide Eltern arbeiten.	Both parents work.
beide	Wir kommen beide.	We are both coming.
das Bein, -e	Mein rechtes Bein tut weh.	My right leg hurts.
das Beispiel, -e	Kannst du mir ein Beispiel sagen?	Can you give me an example?
zum Beispiel/z. B.	Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.	Many of my relatives, e.g., my two brothers, also work here.
bekannt	Picasso ist sehr bekannt.	Picasso is very well known.
