machen(1)	Was machst du heute Abend? What are you doing this evening?
machen(2)	Ich muss jetzt das Essen machen. I have to prepare the food now.
machen(3)	Das macht 5 Euro 95. That’s 5 euros and 95 cents.
machen(4)	Das macht nichts. It doesn’t matter.
das Mädchen, –	Familie Kurz bekommt ein Baby. – Junge oder Mädchen? The Kurz family is having a baby. – Boy or girl?
man	Hier darf man nicht rauchen. Smoking is not allowed here.
der Mann, -ä, er	Mein Mann arbeitet bei der Polizei. My husband works at the police.
männlich	Kreuzen Sie bitte an: „weiblich“ oder „männlich“. Please check: “female” or “male.”
die Maschine, -n	Die Waschmaschine ist günstig. The washing machine is inexpensive.
das Meer	Wir machen Urlaub am Meer. We are vacationing by the sea.
mehr	Dieses Auto kostet 1.000 Euro mehr als das andere. This car costs 1,000 euros more than the other one.
mein	Mein Vater ist Arzt. My father is a doctor.
meist-	Die meisten Norddeutschen sind sehr groß. Most North Germans are very tall.
der Mensch, -en	Die Menschen sind hier anders als bei uns. People here are different from us.
mieten	Ich möchte ein Auto mieten. I would like to rent a car.
die Miete	Die Miete für diese Wohnung ist 600 Euro. The rent for this apartment is 600 euros.
die Milch	Die Milch steht im Kühlschrank. The milk is in the refrigerator.
mit	Trinken Sie den Kaffee mit Milch? Do you take your coffee with milk?
mitbringen	Ich gehe einkaufen. Soll ich dir was mitbringen? I’m going shopping. Should I bring you something?
mitkommen	Ich gehe ins Kino. Kommst du mit? I’m going to the cinema. Are you coming?
mitmachen	Warum macht ihr nicht mit? Why don’t you join in?
mitnehmen	Nehmen wir meine Schwester ins Kino mit? Should we take my sister to the cinema with us?
die Mitte	Der Lehrer steht in der Mitte des Klassenzimmers. The teacher is standing in the middle of the classroom.
die Möbel (pl.)	Sind die Möbel neu? Are the furniture new?
möchten	Was möchten Sie trinken? What would you like to drink?
mögen	Magst du Kaffee oder Tee? Do you like coffee or tea?
möglich	Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich. With this ticket, travel is possible from 9 a.m.
der Moment(1)	Moment mal bitte! Just a moment, please!
der Moment(2)	Einen Moment bitte. One moment, please.
morgen	Morgen beginnt die Schule um 10 Uhr. School starts at 10 a.m. tomorrow.
müde	Ich bin müde. Ich gehe schlafen. I’m tired. I’m going to sleep.
der Mund	Öffnen Sie den Mund. Open your mouth.
müssen	Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten. I have to work every day from 8 a.m. to 6 p.m.
die Mutter, -ü	Frau Berghäuser ist die Mutter von Michaela. Mrs. Berghäuser is Michaela’s mother.
