das Papier	Hier sind Papier und Bleistift. Here are paper and pencil.
die Papiere (pl.)	Haben Sie Ihre Papiere dabei? Do you have your papers with you?
der Partner, -/ die Partnerin, -nen	Sie ist meine Partnerin. She is my partner.
die Party	Heute Abend machen wir eine Party. We’re having a party tonight.
der Pass, -ä, e	Im Hotel brauchst du deinen Pass. You need your passport at the hotel.
die Pause, -n	Von 12.00 bis 12.30 Uhr haben wir Mittagspause. We have a lunch break from 12:00 to 12:30.
der Plan, -ä, e	Ich kaufe mir einen Stadtplan. I’m buying a city map.
der Platz, -ä, e(1)	Tut mir leid, der Platz ist besetzt. Sorry, the seat is taken.
der Platz, -ä, e(2)	Bitte nehmen Sie Platz! Please take a seat!
der Platz, -ä, e(3)	Ich wohne Messeplatz 5. I live at Messeplatz 5.
die Polizei	Holen Sie die Polizei! Call the police!
die Pommes frites (pl.)	Die Kinder essen Hähnchen mit Pommes frites. The children are eating chicken with fries.
die Post(1)	Wo ist die Post, bitte? Where is the post office, please?
die Post(2)	Ist Post da? Is there any mail?
die Postleitzahl	Wie ist Ihre Postleitzahl? What is your postal code?
das Praktikum	Ich mache ein Praktikum bei Siemens. I’m doing an internship at Siemens.
die Praxis	Die Praxis ist ab acht Uhr geöffnet. The practice is open from 8 a.m.
der Preis, -e	Die Preise sind hoch. The prices are high.
das Problem, -e	Mein Problem ist die Sprache. My problem is the language.
der Prospekt, -e	Bitte schicken Sie mir einen Prospekt von Ihrem Hotel. Please send me a brochure of your hotel.
die Prüfung	Die Prüfung ist am Montag um 8.00 Uhr. The exam is on Monday at 8 a.m.
pünktlich(1)	Der Bus fährt pünktlich um acht Uhr. The bus leaves on time at 8 a.m.
pünktlich(2)	Herr Müller ist immer pünktlich. Mr. Müller is always on time.
