Rad fahren	Das Kind kann schon Rad fahren. The child can already ride a bike.
rauchen	Ich rauche nicht. I don’t smoke.
der Raum, -ä, e	Der Unterricht ist in Raum 332. The class is in room 332.
die Rechnung, -en	Die Rechnung, bitte. The bill, please.
rechts	Die Schillerstraße ist hier rechts. Schiller Street is on the right here.
regnen	Heute regnet es. It’s raining today.
der Regen	Bei diesem Regen gehe ich nicht raus. I’m not going out in this rain.
der Reis	Ich esse gern Reis. I like eating rice.
reisen	Ich reise gern. I like traveling.
die Reise	Wir machen eine Reise nach Österreich. We’re taking a trip to Austria.
das Reisebüro, -s	Mein Mann arbeitet im Reisebüro. My husband works at a travel agency.
der Reiseführer(1)	Ich kaufe mir einen Reiseführer von Berlin. I’m buying a guidebook about Berlin.
der Reiseführer(2)	Unser Reiseführer heißt Peter. Our tour guide’s name is Peter.
reparieren	Er hat das Fahrrad repariert. He repaired the bike.
die Reparatur	Die Reparatur ist sehr teuer. The repair is very expensive.
das Restaurant, -s	Wir essen heute in einem Restaurant. We’re eating at a restaurant today.
die Rezeption	Fragen Sie bitte im Hotel an der Rezeption. Please ask at the reception desk at the hotel.
richtig(1)	Habe ich das richtig verstanden? Did I understand that correctly?
richtig(2)	Das ist richtig. That is correct.
riechen	Dieser Wein riecht gut. This wine smells good.
ruhig	Ich möchte ein ruhiges Zimmer. I’d like a quiet room.
