tanzen	Tanzen Sie gern? Do you like dancing?
die Tasche, -n	Ich habe die Schlüssel in der Tasche. I have the keys in the bag.
das Taxi, -s	Es gibt heute keinen Bus mehr. Er fährt mit dem Taxi. There’s no more bus today. He’s taking a taxi.
der Tee	Ich trinke morgens immer Tee. I always drink tea in the morning.
der Teil, -e	Lies bitte auch den zweiten Teil. Please also read the second part.
telefonieren	Darf ich mal telefonieren? May I make a phone call?
das Telefon	Haben Sie Telefon? Do you have a phone?
der Termin, -e	Am besten machen wir sofort einen Termin. It’s best if we schedule an appointment right away.
der Test	Der Test war einfach. The test was easy.
teuer	Das ist mir zu teuer. That’s too expensive for me.
der Text, -e	Lesen Sie bitte diesen Text. Please read this text.
das Thema	Wir sprechen heute über das Thema „Essen und Trinken“. Today, we’re talking about the topic of "food and drink".
das Ticket, -s	Wie viel kostet das Ticket? How much does the ticket cost?
der Tisch, -e	Die Fotos liegen auf dem Tisch. The photos are on the table.
die Tochter, -ö	Das ist meine Tochter Katharina. This is my daughter Katharina.
die Toilette, -en	Wo ist die Toilette, bitte? Where is the restroom, please?
die Tomate, -n	Die Tomate ist noch grün. The tomato is still green.
tot	Sein Vater ist schon lange tot. His father has been dead for a long time.
(sich) treffen(1)	Ich treffe in der Stadt einen Kollegen. I’m meeting a colleague in the city.
(sich) treffen(2)	Wir treffen uns immer freitags. We always meet on Fridays.
die Treppe, -n	Die Toilette? Die Treppe hoch und dann links. The restroom? Up the stairs and then to the left.
trinken	Möchtest du etwas trinken? Would you like something to drink?
tschüss	Junge Leute sagen meistens „tschüss!“ und nicht „auf Wiedersehen“. Young people mostly say "bye" and not "goodbye."
tun(1)	Ich habe noch etwas zu tun. I still have something to do.
tun(2)	Was tut Ihr Mann? What does your husband do?
