der Vater, -ä	Mein Vater ist Arbeiter. My father is a worker.
verboten	Hier ist Rauchen verboten. Smoking is forbidden here.
verdienen	Ich verdiene 1.500 Euro im Monat. I earn 1,500 euros a month.
der Verein	Es gibt einen neuen Sportverein in der Stadt. There’s a new sports club in the city.
verheiratet	Ich bin verheiratet und habe drei Kinder. I am married and have three children.
verkaufen	Er verkauft sein altes Auto. He’s selling his old car.
der Verkäufer, –	Meine Mutter ist Verkäuferin im Kaufhaus. My mother is a saleswoman in the department store.
vermieten	Die Wohnung ist schon vermietet. The apartment has already been rented out.
der Vermieter	Unser Vermieter heißt Huber. Er wohnt auch hier. Our landlord’s name is Huber. He lives here too.
verstehen	Können Sie mich verstehen? Can you understand me?
der Verwandte, -n	Peter besucht seine Verwandten in Polen. Peter is visiting his relatives in Poland.
viel	Hier regnet es viel. It rains a lot here.
vielleicht	Ich komme vielleicht mit dem Bus. Maybe I’ll take the bus.
von(1)	Das Auto von Felix ist kaputt. Felix's car is broken.
von(2)	Er kommt gerade von Köln/von zu Hause. He just came from Cologne/from home.
vor(1)	Der Termin war vor einer Stunde. The appointment was an hour ago.
vor(2)	Das Auto steht vor der Tür. The car is in front of the door.
der Vorname, -n	Ich heiße Müller, mein Vorname ist Eva. My last name is Müller, my first name is Eva.
die Vorsicht	Vorsicht! Da kommt ein Auto. Watch out! A car is coming.
(sich) vorstellen	Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen? We want to get to know each other. Could you please introduce yourself?
die Vorwahl	Wie ist die Vorwahl von München? What’s the area code for Munich?
