german word	german sentence	english translation
ab	Ab morgen muss ich wieder arbeiten.	From tomorrow, I have to work again.
aber	Heute kann ich nicht kommen, aber morgen habe ich Zeit.	Today I can’t come, but I have time tomorrow.
aber(2)	Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.	We only have a small apartment, but we are satisfied with it.
aber(3)	Es war sehr schön. Jetzt muss ich aber gehen.	It was very nice. Now, however, I have to go.
aber(4)	Das ist aber nett von dir.	That’s really nice of you.
abgeben	Ich muss meinen Schlüssel an der Rezeption abgeben.	I have to leave my key at the reception.
abgeben(2)	gibt ab	He/She hands in.
abgeben(3)	hat abgegeben	has handed in.
abholen	Wann kann ich die Sachen bei dir abholen?	When can I pick up the things at your place?
abholen(2)	holt ab	picks up.
abholen(3)	hat abgeholt	has picked up.
abschließen	Hast du die Tür abgeschlossen?	Did you lock the door?
abschließen(2)	schließt ab	locks.
abschließen(3)	hat abgeschlossen	has locked.
Achtung (Sg.)	Achtung an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab.	Attention at platform three: The doors are closing. The train is leaving now.
Achtung (Sg.)(2)	Achtung! Pass auf! Der Verkehr ist hier gefährlich.	Attention! Watch out! The traffic here is dangerous.
die Adresse, -n	Können Sie mir Ihre Adresse geben?	Can you give me your address?
die Ahnung, -en	Ich hatte keine Ahnung, dass du heute Geburtstag hast.	I had no idea you have a birthday today.
die Ahnung(2)	Wie spät ist es? - Ich habe keine Ahnung.	What time is it? - I have no idea.
aktiv	Peter ist sehr aktiv und macht viel Sport.	Peter is very active and does a lot of sports.
aktuell	Das ist das aktuelle Kinoprogramm.	This is the current cinema program.
all-	Ich wünsche dir alles Gute!	I wish you all the best!
all-(2)	Hast du alles?	Do you have everything?
all-(3)	Möchten Sie noch etwas? - Nein, danke. Das ist alles.	Would you like anything else? - No, thank you. That’s all.
all-(4)	Sind alle da? - Nein, Rita fehlt noch.	Is everyone here? - No, Rita is still missing.
all-(5)	Alle Freunde kommen.	All friends are coming.
allein	Kommt seine Freundin mit? - Nein, er kommt allein.	Is his girlfriend coming? - No, he is coming alone.
allein(2)	Soll ich Ihnen/dir helfen? - Nein danke, ich schaffe das schon allein.	Should I help you? - No, thanks, I can manage it alone.
als	Hector ist jünger als seine Schwester.	Hector is younger than his sister.
als(2)	Sie arbeitet als Krankenschwester.	She works as a nurse.
also	Also, die Sache ist so: …	So, the thing is: …
also(2)	Er hat Zeit, also kann er uns helfen.	He has time, so he can help us.
alt	Wie alt sind Sie?	How old are you?
alt(2)	Mein Computer ist schon sehr alt.	My computer is already very old.
alt(3)	Wir wohnen in einem ganz alten Haus.	We live in a very old house.
alt(4)	Köln ist eine alte Stadt.	Cologne is an old city.
das Alter (Sg.)	Alter: 18 Jahre.	Age: 18 years.
die Ampel, -n	Du kannst fahren, die Ampel ist grün.	You can go, the traffic light is green.
die Ampel(2)	Nach der Ampel musst du nach links fahren.	After the traffic light, you have to turn left.
an	Fahren Sie an der nächsten Kreuzung nach rechts.	Turn right at the next intersection.
an(2)	Wir treffen uns am Bahnhof/am Kino/am Stand.	We will meet at the station/the cinema/the stand.
an(3)	Am nächsten Montag geht es leider nicht.	Unfortunately, it won't work next Monday.
an(4)	Das Licht war die ganze Nacht an.	The light was on all night.
anbieten	Darf ich Ihnen/dir ein Stück Kuchen anbieten?	May I offer you a piece of cake?
anbieten(2)	bietet an	offers.
anbieten(3)	hat angeboten	has offered.
das Angebot, -e	Heute sind Bananen im Angebot.	Today, bananas are on sale.
das Angebot(2)	Stellenangebote finden Sie in der Zeitung oder im Internet.	Job offers can be found in the newspaper or on the Internet.
ander-	Willst du diesen Mantel? – Nein, ich möchte den anderen.	Do you want this coat? - No, I would like the other one.
ander-(2)	Die anderen sind schon nach Hause gegangen.	The others have already gone home.
ander-(3)	Bitte nicht alle auf einmal! Einer nach dem anderen.	Please don’t all come at once! One at a time.
ändern, ändert	Das Wetter hat sich geändert.	The weather has changed.
ändern(2)	Wie kann ich mein Passwort ändern?	How can I change my password?
anders	Anders geht das leider nicht.	Unfortunately, it won’t work differently.
anders(2)	Oliver ist anders als seine Freunde.	Oliver is different from his friends.
anfangen	Hier fängt die Bahnhofstraße an.	This is where Bahnhofstraße starts.
anfangen(2)	Der Unterricht fängt gleich an.	The class is about to start.
anfangen(3)	Würden Sie bitte anfangen?	Could you please start?
anfangen(4)	Ich fange im Herbst meine Ausbildung an.	I will start my training in the fall.
der Anfang, ¨-e	Sie wohnt am Anfang der Straße.	She lives at the beginning of the street.
der Anfang(2)	Wir machen Anfang Juli Urlaub.	We are going on vacation at the beginning of July.
die Angst, ¨-e	Hab keine Angst!	Don’t be afraid!
die Angst(2)	Ich habe Angst vor großen Hunden.	I am afraid of large dogs.
ankommen	Wann kommt dieser Zug in Hamburg an?	When does this train arrive in Hamburg?
ankommen(2)	Auf diesem Fahrplan steht nur die Ankunft der Züge.	This timetable only shows the arrival of the trains.
ankommen(3)	ist angekommen	has arrived.
die Ankunft, -¨e	Gehen wir morgen zusammen in die Ausstellung?	Are we going to the exhibition together tomorrow?
anmachen	Mach bitte das Licht an!	Please turn on the light!
anmachen(2)	macht an	turns on.
anmachen(3)	hat angemacht	has turned on.
anmelden (sich)	Wo kann ich mich anmelden?	Where can I register?
anmelden (sich)(2)	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	Registration for this course is no longer possible.
anmelden (sich)(3)	hat angemeldet	has registered.
die Anmeldung,-en	Wo bekomme ich das Formular für die Anmeldung?	Where can I get the form for registration?
der Anrufbeantworter          Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.	We are not here at the moment. Please leave a message on the answering machine.
anrufen, ruft an	Kann ich Sie heute Abend anrufen?	Can I call you this evening?
anrufen(2)	hat angerufen	has called.
der Anruf, -e	Eva bekommt viele Anrufe von ihrem Freund Juan.	Eva receives many calls from her friend Juan.
der Anschluss, ¨-e	In Mannheim haben Sie Anschluss nach Saarbrücken.	In Mannheim, you have a connection to Saarbrücken.
der Anschluss(2)	In Stuttgart erreichen Sie alle Anschlüsse. Auch der Zug nach Paris wartet.	In Stuttgart, you can reach all connections. The train to Paris is also waiting.
der Anschluss(3)	Gibt es in der Wohnung einen Waschmaschinenanschluss?	Is there a washing machine connection in the apartment?
ansehen, sieht an	Darf ich eure Urlaubsfotos ansehen?	May I look at your vacation photos?
ansehen(2)	Ich sehe (mir) diese Sendung jeden Tag an.	I watch this program every day.
ansehen(3)	hat angesehen	has looked at.
antworten	Er antwortet nicht.	He does not respond.
antworten(2)	hat geantwortet	has responded.
die Antwort, -en	Er gibt leider keine Antwort.	Unfortunately, he does not give an answer.
die Anzeige, -n	Ich habe Ihre Anzeige in der Zeitung gelesen.	I read your advertisement in the newspaper.
der Anzug, ¨-e	Mein Mann muss sich einen neuen Anzug kaufen.	My husband needs to buy a new suit.
der Apfel, ¨-	Ein Kilo Äpfel, bitte.	A kilo of apples, please.
die Apotheke, -n	Das Medikament bekommen Sie in der Apotheke.	You can get the medicine at the pharmacy.
der Apparat, -e	Was machen wir mit deinem alten Apparat?	What should we do with your old device?
der Apparat(2)	Ich habe einen neuen Fotoapparat.	I have a new camera.
arbeiten, arbeitet	Wo arbeiten Sie?	Where do you work?
arbeiten(2)	Ich arbeite als Krankenschwester in einem Krankenhaus.	I work as a nurse in a hospital.
die Arbeit, -en	Mein Bruder sucht Arbeit.	My brother is looking for work.
arbeitslos	Seit wann ist er schon arbeitslos?	How long has he been unemployed?
arbeitslos(2)	Es gibt bei uns viele Leute, die schon lange arbeitslos sind.	There are many people with us who have been unemployed for a long time.
ärgern (sich)	Warum ärgerst du dich? - Ich ärgere mich, weil das Wetter schlecht ist.	Why are you upset? - I am upset because the weather is bad.
ärgern (sich)(2)	hat geärgert	has upset.
arm	Sie haben nicht viel Geld, sie sind arm.	They don’t have much money, they are poor.
der Arm, -e	Mein Arm tut weh.	My arm hurts.
der Artikel, -	Im Deutschen gibt es drei Artikel: der, die und das.	In German, there are three articles: der, die, and das.
der Artikel(2)	Ich habe in der Zeitung einen interessanten Artikel gelesen.	I read an interesting article in the newspaper.
auch	Ich bin auch Spanier.	I am also Spanish.
auch(2)	Maria muss auch am Wochenende arbeiten.	Maria also has to work on the weekend.
auf	Das Wörterbuch liegt auf dem Tisch.	The dictionary is on the table.
auf(2)	Die Kinder spielen auf der Straße.	The children are playing in the street.
auf(3)	Am Samstag gehen wir auf eine Party.	On Saturday, we are going to a party.
auf(4)	Meine Eltern wohnen auf dem Land.	My parents live in the countryside.
auf(5)	Auf dem Foto ist auch meine Schwester.	My sister is also in the photo.
auf(6)	Die Tür ist auf, kommen Sie rein!	The door is open, come in!
auf(7)	Hat das Geschäft noch auf?	Is the store still open?
auf(8)	Auf Wiedersehen.	Goodbye.
auf(9)	Wie heißt das auf Deutsch?	What is this called in German?
auf jeden/keinen Fal	Ich möchte auf jeden Fall den neuen James-Bond-Film sehen. - Wirklich? Ich finde James-Bond-Filme langweilig. Ich sehe ihn auf keinen Fall an!	I definitely want to see the new James Bond movie. - Really? I find James Bond movies boring. I definitely won’t watch it!
aufhören	Wann hört ihr mit der Arbeit auf?	When do you stop working?
aufhören(2)	Kannst du bitte damit aufhören? Ich muss jetzt arbeiten.	Can you please stop? I need to work now.
aufmachen	Kannst du bitte die Tür aufmachen?	Could you please open the door?
aufmachen(2)	macht auf	opens.
aufmachen(3)	hat aufgemacht	has opened.
aufpassen	Pass auf, der Teller fällt gleich auf den Boden!	Watch out, the plate is about to fall to the floor!
aufpassen(2)	Der Babysitter passt heute Abend auf die Kinder auf.	The babysitter is taking care of the children tonight.
aufpassen(3)	hat aufgepasst	has watched out.
aufräumen	Die Kinder müssen ihr Zimmer aufräumen.	The children have to clean up their room.
aufräumen(2)	räumt auf	cleans up.
aufräumen(3)	hat aufgeräumt	has cleaned up.
aufregend	Die letzte Woche war sehr aufregend.	Last week was very exciting.
aufregend(2)	Der Film ist nicht besonders aufregend.	The movie is not particularly exciting.
aufstehen	Ich stehe jeden Morgen um sieben Uhr auf.	I get up every morning at seven o'clock.
aufstehen(2)	steht auf	gets up.
aufstehen(3)	ist aufgestanden	has gotten up.
der Aufzug, ¨-e	In diesem Haus gibt es keinen Aufzug.	There is no elevator in this building.
der Aufzug(2)	Der Aufzug ist leider kaputt.	The elevator is unfortunately broken.
das Auge, -n	Er hat blaue Augen.	He has blue eyes.
das Auge(2)	Mein rechtes Auge tut seit Sonntag weh.	My right eye has been hurting since Sunday.
aus	Michele kommt aus Brasilien.	Michele comes from Brazil.
aus(2)	Frau Müller geht immer um acht Uhr aus dem Haus.	Mrs. Müller always leaves the house at eight o'clock.
aus(3)	Der Tisch ist aus Glas.	The table is made of glass.
aus(4)	Ich sehe nichts. Das Licht ist aus.	I can’t see anything. The light is off.
die Ausbildung,-en	Ich möchte eine Ausbildung zum Krankenpfleger machen.	I want to do training to become a nurse.
der Ausflug, ¨-e	Morgen machen wir einen Ausflug nach Heidelberg/an die Ostsee.	Tomorrow we are going on a trip to Heidelberg/the Baltic Sea.
ausfüllen	Füllen Sie/Füll bitte dieses Formular aus!	Please fill out this form!
ausfüllen(2)	füllt aus	fills out.
ausfüllen(3)	hat ausgefüllt	has filled out.
der Ausgang, ¨-e	Entschuldigung, wo ist der Ausgang?	Excuse me, where is the exit?
ausgeben	Agata gibt viel Geld für Bücher aus.	Agata spends a lot of money on books.
ausgeben(2)	Ich möchte nicht so viel Geld ausgeben.	I don’t want to spend so much money.
ausgeben(3)	hat ausgegeben	has spent.
ausgehen	Gehen wir am Freitag zusammen aus?	Shall we go out together on Friday?
ausgehen(2)	Plötzlich ist das Licht ausgegangen.	Suddenly, the light went out.
ausgehen(3)	ist ausgegangen	has gone out.
die Auskunft, ¨-e	Wo ist die Auskunft?	Where is the information desk?
die Auskunft(2)	Können Sie mir bitte eine Auskunft geben?	Could you please give me some information?
das Ausland (Sg.)	Fahren Sie ins Ausland?	Are you going abroad?
ausmachen	Mach bitte das Licht aus!	Please turn off the light!
ausmachen(2)	macht aus	turns off.
ausmachen(3)	hat ausgemacht	has turned off.
auspacken	Packst du bitte den Koffer aus?	Could you please unpack the suitcase?
auspacken(2)	packt aus	unpacks.
auspacken(3)	hat ausgepackt	has unpacked.
ausruhen (sich)	Ruh dich erst mal aus! Du bist sicher müde.	Rest for a while! You must be tired.
ausruhen (sich)(2)	Er ruht sich nach der Arbeit immer aus.	He always rests after work.
ausruhen (sich)(3)	hat ausgeruht	has rested.
aussehen	Wie sieht er aus? - Groß und blond.	What does he look like? - Tall and blond.
aussehen(2)	Sie sieht wie ihre Mutter aus.	She looks like her mother.
aussehen(3)	hat ausgesehen	has looked.
außer	Außer Lisa möchte niemand den Film sehen.	Except for Lisa, no one wants to see the movie.
außer(2)	Wir haben täglich außer Samstag geöffnet.	We are open every day except Saturday.
außerdem	Vier Brötchen, möchten Sie außerdem noch etwas?	Four rolls, would you like anything else?
außerhalb	Die Wohnung ist nicht in der Stadt, sie liegt etwas außerhalb.	The apartment is not in the city; it is a bit outside.
aussprechen	Wie spricht man das Wort aus?	How do you pronounce the word?
aussprechen(2)	spricht aus	pronounces.
aussprechen(3)	hat ausgesprochen	has pronounced.
aussteigen	Wo müssen wir aussteigen? – An der nächsten Haltestelle.	Where do we have to get off? - At the next stop.
aussteigen(2)	steigt aus	gets off.
aussteigen(3)	ist ausgestiegen	has gotten off.
die Ausstellung,-en	Gehen wir morgen zusammen in die Ausstellung?	Shall we go to the exhibition together tomorrow?
austragen	Er trägt jeden Morgen die Zeitung aus.	He delivers the newspaper every morning.
austragen(2)	trägt aus	delivers.
austragen(3)	hat ausgetragen	has delivered.
der Ausweis, -e	Darf ich bitte mal Ihren Ausweis sehen? – Hier ist mein Ausweis.	May I please see your ID? - Here is my ID.
das Auto, -s	Er fährt mit dem Auto.	He drives a car.
die Autobahn, -en	Darf ich mit dem Motorroller auf der Autobahn fahren?	May I drive the motorbike on the highway?
die Autobahn(2)	Das Dorf liegt direkt an der Autobahn.	The village is right on the highway.
der Automat, -en	Fahrkarten gibt es nur am Automaten.	Tickets are only available from the machine.
der Automat(2)	In Berlin ist der Fahrkartenautomat auf dem Bahnsteig.	In Berlin, the ticket machine is on the platform.
automatisch	Achtung, die Türen schließen automatisch!	Attention, the doors close automatically!
