german word	german sentence	english translation
da(1)	Welche Bluse nehmen Sie? - Die da.	Which blouse are you taking? - That one.
da(2)	Ist Herr Klein schon da?	Is Mr. Klein already here?
da(3)	Wir sprechen gerade über Paul. Da kommt er ja.	We’re talking about Paul. Here he comes.
da(4)	Da drüben ist der Bahnhof.	The train station is over there.
da(r) (Bsp. darauf, darüber)(1)	Darauf fällt mir keine Antwort ein.	I can’t think of an answer to that.
da(r) (Bsp. darauf, darüber)(2)	Darüber spreche ich nicht gern.	I don’t like to talk about that.
dabei(1)	Hast du einen Stift dabei?	Do you have a pen with you?
dabei(2)	Schön, dass du da bist. Ist deine Familie auch dabei?	Good to have you here. Is your family here too?
ist dabei		
war dabei		
ist dabei gewesen		
dafür/dagegen sein(1)	Ich bin dafür/dagegen.	I’m in favor/against.
ist dafür/dagegen		
war dafür/dagegen		
ist dafür/dagegen gewesen		
damals	Als Student hatte ich viel Zeit und wollte reisen. Aber damals hatte ich kein Geld.	As a student, I had a lot of time and wanted to travel. But back then I didn’t have any money.
die Dame, -n	Damen (an der Toilette)	Ladies (at the toilet)
die Dame(2)	Sehr geehrte Damen und Herren,	Dear Ladies and Gentlemen,
daneben	Du weißt doch, wo die Post ist. Daneben ist die Bank.	You know where the post office is. Next to it is the bank.
der Dank (Sg.)	Vielen Dank!	Thank you very much!
der Dank (Sg.)(2)	Herzlichen Dank!	Heartfelt thanks!
danke	Soll ich Ihnen helfen? - Sehr freundlich, ja danke!	Should I help you? - Very kind, yes thank you!
danke(2)	Guten Appetit! - Danke gleichfalls.	Enjoy your meal! - Thanks, same to you.
danken, dankt	Ich danke Ihnen für die Einladung.	I thank you for the invitation.
hat gedankt		
dann	Ich muss noch schnell zur Post, dann komme ich.	I need to quickly go to the post office, then I’ll come.
dann(2)	Wenn es nicht regnet, dann kommen wir.	If it doesn’t rain, then we’ll come.
dass	Rico hat gesagt, dass er auch zur Party kommt.	Rico said that he is also coming to the party.
dass(2)	Ich finde es super, dass du mich besuchst.	I think it’s great that you’re visiting me.
die Datei, -en	Wo hast du die Datei gespeichert?	Where did you save the file?
die Datei(2)	Kannst du die Datei bitte öffnen?	Can you please open the file?
das Datum, -en	Bitte Datum und Unterschrift nicht vergessen!	Please don’t forget the date and signature!
das Datum(2)	Welches Datum haben wir heute?	What’s the date today?
das Datum(3)	Haben Sie meine Kontaktdaten?	Do you have my contact details?
dauern, dauert	Wie lange dauert die Pause? - Eine halbe Stunde.	How long does the break last? - Half an hour.
hat gedauert		
denken, denkt	Ich denke, du hast recht.	I think you’re right.
hat gedacht		
denken(3)	Was denktst du? Sollen wir heute Abend ins Kino gehen?	What do you think? Should we go to the cinema tonight?
denn	Ich kann nicht kommen, denn ich bin krank.	I can’t come because I’m sick.
deshalb	Ich bin krank. Deshalb komme ich heute nicht ins Büro.	I’m sick. Therefore, I’m not coming to the office today.
