das E-Book, -s	Liest du lieber E-Books oder Bücher aus Papier?	Do you prefer e-books or paper books?
das E-Book, -s(2)	Entschuldigung, kann man hier E-Books kaufen?	Sorry, can you buy e-books here?
echt	Ist das Bild ein echter Picasso?	Is the painting a real Picasso?
echt(2)	Der Film ist echt gut.	The movie is really good.
die Ecke, -n	Gehen Sie an der nächsten Ecke links. Dann kommen Sie zur Apotheke.	Turn left at the next corner. Then you will get to the pharmacy.
die Ecke, -n(2)	Wir stellen das Regal in die Ecke.	We’re placing the shelf in the corner.
das Einkaufszentrum, -en	Kommst du morgen mit ins Einkaufszentrum?	Are you coming to the shopping center tomorrow?
einladen, lädt ein	Darf ich Sie zu einem Kaffee einladen?	May I invite you to a coffee?
einladen, hat eingeladen(2)	Danke für die Einladung zu deinem Geburtstag!	Thank you for the invitation to your birthday!
einmal	Rufen Sie/Ruf mich bitte morgen noch einmal an.	Please call me again tomorrow.
einmal(2)	Diese Prüfung mache ich nicht noch einmal.	I’m not doing this exam again.
einmal(3)	Warst du schon einmal in Paris?	Have you ever been to Paris?
einpacken	Soll ich Ihnen das als Geschenk einpacken?	Should I wrap this as a gift for you?
packt ein	Pack bitte die Handtücher ein!	Pack the towels, please!
hat eingepackt		
einsteigen	Bitte ab 20 Uhr vorn im Bus einsteigen.	Please board the bus at the front from 8 PM.
steigt ein	Schnell, steig ein, der Zug fährt gleich ab.	Hurry, get in, the train is about to leave.
ist eingestiegen		
eintragen (sich) 	Sie müssen Ihren Namen und Ihre Adresse eintragen.	You need to enter your name and address.
trägt ein	Tragen Sie sich bitte in diese Liste ein!	Please sign up on this list!
hat eingetragen		
der Eintritt, -e	Der Eintritt kostet fünf Euro.	The entrance fee is five euros.
der Eintritt, -e(2)	Der Eintritt ist frei. Sie müssen nichts bezahlen.	Entrance is free. You don’t have to pay anything.
einverstanden sein	Als Termin schlage ich den 11. Juni vor. - Gut, (ich bin) einverstanden.	I suggest June 11th as the date. - Good, I agree.
einverstanden sein(2)	Bist du einverstanden, wenn wir bald nach Hause gehen?	Are you okay if we go home soon?
einzel-	Nicht alle zusammen. Könnt ihr bitte einzeln sprechen?	Not all together. Can you please speak individually?
einzel-(2)	Florian ist ein Einzelkind. Er hat keine Geschwister.	Florian is an only child. He has no siblings.
einzel-(3)	Ein Einzelzimmer ist noch frei.	A single room is still available.
einziehen	Wann können wir in die Wohnung einziehen?	When can we move into the apartment?
zieht ein	Im Juni ziehen unsere neuen Nachbarn ein.	In June, our new neighbors are moving in.
ist eingezogen		
egal	Das ist mir egal.	I don’t care.
egal(2)	Willst du Tee oder Kaffee trinken? – Egal.	Do you want to drink tea or coffee? – It doesn’t matter.
die Ehefrau, -en / der Ehemann, -er	Das ist mein Ehemann/meine Ehefrau.	This is my husband/my wife.
das Ei, -er	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?
eigen-	Nicht alle Kinder haben ein eigenes Zimmer.	Not all children have their own room.
eigentlich(1)	Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben.	We actually wanted to visit friends, but then we stayed home.
eigentlich(2)	Kennst du eigentlich Susanne?	Do you actually know Susanne?
das Eis (Sg.)	Möchtest du auch ein Eis?	Would you like an ice cream, too?
die (E-)Mail, -s	Ich schreibe Ihnen/dir eine E-Mail.	I’m writing you an email.
der Empfänger, –	Auf dem Brief steht dein Name, also bist du der Empfänger.	The letter has your name on it, so you are the recipient.
empfehlen	Welchen Wein können Sie mir empfehlen?	Which wine can you recommend to me?
empfiehlt		
hat empfohlen		
