german word	german sentence	english translation
die Gabel, -n	Kann ich bitte eine Gabel haben?	May I please have a fork?
ganz	Oh nein! Was ist passiert? Ist deine Brille jetzt kaputt? - Nein, zum Glück ist sie noch ganz!	Oh no! What happened? Is your glasses broken now? - No, fortunately, it’s still intact!
ganz(2)	Morgen haben wir den ganzen Tag Schule.	Tomorrow we have school all day.
ganz(3)	Ich bin ganz sicher, dass dein Termin am Montag ist.	I’m quite sure that your appointment is on Monday.
ganz(4)	Ich finde Lara ganz nett.	I find Lara quite nice.
ganz(5)	Oh, ich habe meinen Zahnarzttermin ganz vergessen.	Oh, I completely forgot my dentist appointment.
die Garage, -n	Hier ist eine Garage für dein Auto.	Here is a garage for your car.
der Garten, ¨	Wir haben leider keinen Garten.	Unfortunately, we don’t have a garden.
der Gast, ¨-e	Heute Abend haben wir Gäste.	We have guests tonight.
geben, gibt, hat gegeben	Kannst du mir mal deinen Stift geben?	Could you give me your pen?
geben(2)	Es gibt keine Karten mehr für das Konzert.	There are no more tickets for the concert.
geboren	Ich bin in Zagreb geboren.	I was born in Zagreb.
geboren(2)	Wann und wo sind Sie geboren?	When and where were you born?
Geburts-(jahr, ort, tag), (-e, -e, -e)	Das Geburtsjahr Ihres Sohnes, bitte?	The year of birth of your son, please?
Geburts-(jahr, ort, tag), (-e, -e, -e)(2)	Bitte tragen Sie Ihren Geburtsort noch ein.	Please also enter your place of birth.
Geburts-(jahr, ort, tag), (-e, -e, -e)(3)	Herzlichen Glückwunsch zum Geburtstag!	Happy Birthday!
geehrt-	Sehr geehrte Damen und Herren,	Dear Ladies and Gentlemen,
gefährlich	Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich.	You shouldn’t cross the street when the light is red. That’s dangerous.
gefallen, gefällt, hat gefalle	Das Bild gefällt mir.	I like the picture.
gefallen(2)	Wie gefällt es Ihnen in Berlin?	How do you like it in Berlin?
gegen	Fahr nicht gegen den Baum!	I’m against this proposal.
gegen(2)	Wer spielt gegen wen? - Bayern gegen Dortmund.	Who is playing against whom? - Bayern against Dortmund.
gegen(3)	Haben Sie etwas gegen Grippe?	Do you have something against the flu?
das Gegenteil , -e	Das Gegenteil von „klein“ ist „groß“.	The opposite of “small” is “big.”
gegenüber	Die Post ist gegenüber vom Bahnhof.	The post office is across from the train station.
gegenüber(2)	Die Hausnummer 84 ist gleich gegenüber.	The house number 84 is directly opposite.
das Gehalt, ¨-er	Sie ist mit ihrem Gehalt zufrieden.	She is satisfied with her salary.
gehen, geht, ist gegangen	Ich weiß nicht, wie das geht.	I don’t know how that works.
gehen(2)	Wie geht‘s? - Es geht.	How’s it going? - It’s going.
gehen(3)	Ich muss jetzt leider gehen.	I have to leave now, unfortunately.
gehen(4)	Ich muss zum Arzt gehen.	I need to go to the doctor.
gehen(5)	Das geht (doch) nicht!	That’s not possible!
gehen(6)	Nimmst du die Straßenbahn? - Nein, ich gehe lieber zu Fuß.	Are you taking the tram? - No, I prefer to walk.
gehören, gehört, hat gehört	Gehört der Stift dir?	Does the pen belong to you?
das Geld (Sg.)	Hast du noch Geld?	Do you have any money left?
das Geld (Sg.)(2)	Kannst du mir ein bisschen Geld leihen?	Could you lend me a little money?
die Geldbörse, -n	Sie hat ihre Geldbörse verloren.	She lost her wallet.
das Gemüse (Sg.)	Wir kaufen das Gemüse immer auf dem Markt.	We always buy vegetables at the market.
das Gemüse (Sg.)(2)	Tomaten sind mein Lieblingsgemüse.	Tomatoes are my favorite vegetable.
genau	Sind Sie sicher, dass die Prüfung am 15. Juni ist? - Ja, das weiß ich genau.	Are you sure the exam is on June 15th? - Yes, I know that exactly.
genau(2)	Die Uhr geht genau.	The clock is accurate.
genau(3)	Es ist genau acht Uhr.	It’s exactly eight o’clock.
genug	Es ist noch genug Pizza da. Möchtest du noch ein Stück?	There’s still enough pizza. Do you want another piece?
genug(2)	Ich verdiene nicht genug.	I don’t earn enough.
das Gepäck (Sg.)	Wollen Sie Ihr Gepäck mitnehmen?	Do you want to take your luggage with you?
das Gepäck (Sg.)(2)	Sie können Ihr Gepäck auch im Hotel lassen.	You can also leave your luggage at the hotel.
gerade	Kannst du später anrufen? Wir essen gerade.	Could you call later? We’re eating right now.
gerade(2)	Was machst du gerade?	What are you doing right now?
gerade(3)	Da kommt er ja gerade.	Here he comes right now.
geradeaus	Gehen Sie immer geradeaus!	Go straight ahead!
das Gerät, -e	Elektrogeräte finden Sie im dritten Stock.	Electronic devices can be found on the third floor.
das Gericht, -e	Mein Lieblingsgericht ist Pizza.	My favorite dish is pizza.
gern, lieber, am liebsten	Ich helfe Ihnen gern.	I’m happy to help you.
gern, lieber, am liebsten(2)	Kaffee oder Tee? - Ich trinke lieber einen Tee.	Coffee or tea? - I prefer to drink tea.
gern, lieber, am liebsten(3)	Am liebsten trinke ich Kaffee.	I prefer to drink coffee.
das Geschäft, -e	Die Geschäfte schließen um 18.30 Uhr.	The shops close at 6:30 p.m.
das Geschenk, -e	Danke für das schöne Geschenk.	Thank you for the nice gift.
die Geschichte, -n	Erzählst du mir eine Geschichte?	Will you tell me a story?
die Geschichte, -n(2)	Ich interessiere mich nicht für Geschichte.	I’m not interested in history.
die Geschichte, -n(3)	Paul hat gute Noten in Geschichte.	Paul has good grades in history.
das Geschirr (Sg.)	Stellst du bitte das Geschirr in den Schrank?	Could you please put the dishes in the cupboard?
das Gesicht, -er	Wasch dir bitte das Gesicht.	Please wash your face.
das Gesicht(2)	Sie hat ein freundliches Gesicht.	She has a friendly face.
das Gespräch, -e	Sie hören ein Gespräch. Zu diesem Gespräch gibt es fünf Aufgaben.	You’re listening to a conversation. There are five tasks for this conversation.
das Gespräch(2)	Das Gespräch mit Frau Kunz ist um 14 Uhr.	The conversation with Ms. Kunz is at 2 p.m.
gestern	Gestern wollte ich dich anrufen.	I wanted to call you yesterday.
gesund	Ich hatte Grippe. Jetzt bin ich wieder gesund.	I had the flu. Now I’m healthy again.
die Gesundheit (Sg.)	Gesundheit! Sind Sie erkältet?	Bless you! Are you catching a cold?
das Getränk, -e	Mein Lieblingsgetränk ist Tomatensaft.	My favorite drink is tomato juice.
das Getränk(2)	Die Getränkekarte, bitte!	The drink menu, please!
gewinnen, gewinnt, hat gewonne	Unsere Mannschaft hat gewonnen.	Our team won.
gewinnen, gewinnt, hat gewonne	Mein Sohn will bei diesem Spiel immer gewinnen.	My son always wants to win this game.
das Gewitter, -	Ich glaube, es gibt heute ein Gewitter.	I think there will be a thunderstorm today.
die Gitarre, -n	Er kann gut Gitarre spielen.	He can play the guitar well.
das Glas, ¨-er	Bitte noch ein Glas Apfelsaft!	Please another glass of apple juice!
das Glas, ¨-er(2)	Wir brauchen noch drei Gläser.	We need three more glasses.
glauben, glaubt, hat geglaubt	Sie können mir glauben, es ist so.	You can believe me, it’s true.
glauben, glaubt, hat geglaubt(	Ich glaube, er kommt gleich.	I think he’s coming soon.
gleich	Ich komme gleich.	I’ll be there soon.
gleich(2)	Wir sind gleich alt.	We are the same age.
das Gleis, -e	Der ICE nach Berlin hält heute an Gleis 12.	The ICE to Berlin is stopping at platform 12 today.
das Glück (Sg.)	Viel Glück!	Good luck!
das Glück (Sg.)(2)	Oh, es regnet. Zum Glück habe ich meinen Schirm dabei.	Oh, it’s raining. Fortunately, I have my umbrella with me.
glücklich	Meine Tochter ist glücklich verheiratet.	My daughter is happily married.
glücklich(2)	Ein glückliches neues Jahr!	A Happy New Year!
der Glückwunsch, ¨-e	Herzlichen Glückwunsch zum Geburtstag!	Happy Birthday!
gratulieren, gratuliert, hat g	Ich gratuliere dir!	Congratulations!
grillen, grillt, hat gegrillt	Heute grillen wir im Garten.	Today we’re grilling in the garden.
die Grippe (Sg.)	Ich habe eine Grippe und kann leider nicht kommen.	I have the flu and unfortunately can’t come.
groß	Mein Bruder und ich sind gleich groß.	My brother and I are the same height.
groß(2)	Frankfurt ist eine große Stadt.	Frankfurt is a big city.
groß(3)	Unsere Wohnung ist 80 m² groß.	Our apartment is 80 m² in size.
die Größe, -n	Haben Sie das T-Shirt auch in Größe M?	Do you have this T-shirt in size M?
die Gruppe, -n	Die erste Gruppe beginnt um 16 Uhr.	The first group starts at 4 p.m.
die Gruppe, -n(2)	Für Gruppen gibt es eine Ermäßigung.	Groups get a discount.
der Gruß, ¨-e	Viele Grüße an Ihre Frau.	Many greetings to your wife.
der Gruß, ¨-e(2)	Liebe Grüße	Best regards
der Gruß, ¨-e(3)	Mit freundlichen Grüßen	Kind regards
gültig sein, ist gültig, war g	Der Pass ist nicht mehr gültig.	The passport is no longer valid.
günstig	In diesem Laden gibt es immer günstige Angebote.	This store always has good deals.
günstig(2)	Ich suche ein günstiges Sofa.	I’m looking for a cheap sofa.
gut, besser, am besten	Das finde ich gut.	I think that’s good.
gut, besser, am besten(2)	Guten Morgen!	Good morning!
gut, besser, am besten(3)	Ein gutes neues Jahr!	A good new year!
gut, besser, am besten(4)	Guten Appetit!	Enjoy your meal!
gut, besser, am besten(5)	Welches Bild gefällt dir besser?	Which picture do you like better?
gut, besser, am besten(6)	Dieses Kleid finde ich am besten.	I like this dress the best.
