german word	german sentence	english translation
das Haar, -e	Sie hat lange Haare.	She has long hair.
haben, hat, hatte, hat gehabt	Ich habe ein neues Auto.	I have a new car.
haben, hat, hatte, hat gehabt(2)	Hast du kurz Zeit?	Do you have a moment?
das Hähnchen, -	Ein Hähnchen mit Pommes, bitte!	One chicken with fries, please!
die Halle, -n	Wir treffen uns in Halle B.	We’re meeting in Hall B.
die Halle, -n(2)	Wo ist die neue Sporthalle?	Where is the new sports hall?
hallo	Hallo Inge! Wie geht’s?	Hello Inge! How are you?
der Hals, ¨-e	Mir tut der Hals weh.	My throat hurts.
der Hals, ¨-e(2)	Ich habe seit gestern Halsschmerzen.	I’ve had a sore throat since yesterday.
halten, hält, hat gehalten	Dieser Zug hält nicht in Rüdesheim.	This train doesn’t stop in Rüdesheim.
halten, hält, hat gehalten(2)	Kannst du mal kurz meine Jacke halten?	Could you hold my jacket for a moment?
die Haltestelle, -n	An der nächsten Haltestelle müssen Sie aussteigen.	You need to get off at the next stop.
der Hamburger, -	Einen Hamburger ohne Salat, bitte.	A hamburger without salad, please.
die Hand, ¨-e	Wasch dir bitte die Hände vor dem Essen.	Please wash your hands before eating.
das Handtuch, ¨-er	Gibst du mir bitte ein frisches Handtuch?	Could you give me a fresh towel, please?
das Handy, -s	In der Schule bitte die Handys ausmachen!	Please turn off your phones at school!
das Handy, -s(2)	Kannst du mir bitte deine Handynummer geben?	Could you please give me your phone number?
hängen, hängt, hat gehangen/gehängt	Im Museum hängen moderne Bilder.	In the museum, modern pictures are hanging.
hängen, hängt, hat gehangen/gehängt(2)	Warum hast du das Bild noch nicht an die Wand gehängt?	Why haven’t you hung the picture on the wall yet?
hängen, hängt, hat gehangen/gehängt(3)	Das Bild von meiner Tochter hat im Wohnzimmer gehangen.	My daughter’s picture hung in the living room.
hart	Ich finde das Bett zu hart.	I find the bed too hard.
hart(2)	Die Brötchen sind ja ganz hart.	The rolls are really hard.
hässlich	Ich finde das Kleid hässlich. Es gefällt mir nicht.	I find the dress ugly. I don’t like it.
die Hauptstadt, ¨-e	Berlin ist die Hauptstadt von Deutschland.	Berlin is the capital of Germany.
das Haus, ¨-er	In welchem Haus wohnst du?	Which house do you live in?
das Haus, ¨-er(2)	Ich gehe jetzt nach Hause.	I’m going home now.
das Haus, ¨-er(3)	Paul ist nicht zu Hause.	Paul is not at home.
der Haushalt, -e	Wer macht bei euch den Haushalt? - Meine Frau und ich machen den Haushalt zusammen:	Who does the housework in your home? - My wife and I do the housework together:
der Haushalt, -e(2)	Ich wasche die Wäsche und sie putzt und räumt auf.	I wash the laundry and she cleans and tidies up.
das Heft, -e	Hast du dein Heft dabei?	Do you have your notebook with you?
die Heimat (Sg.)	Ich komme aus der Schweiz. Das ist meine Heimat.	I come from Switzerland. That’s my home.
die Heimat (Sg.)(2)	Mein Heimatland ist Italien. Dort bin ich geboren.	My home country is Italy. That’s where I was born.
die Heimat (Sg.)(3)	Jetzt lebe ich in Deutschland, das ist meine neue Heimat.	I now live in Germany; that’s my new home.
