german word	german sentence	english translation
die Idee, -n	Was machen wir heute Abend? Hast du eine gute Idee?	What are we doing tonight? Do you have a good idea?
immer	Frau Bast kommt immer zu spät.	Ms. Bast always arrives late.
in	Ich wohne in Wiesbaden.	I live in Wiesbaden.
in(2)	Der Zug kommt in fünf Minuten.	The train arrives in five minutes.
in(3)	Frau Rausch arbeitet im Reisebüro.	Ms. Rausch works at the travel agency.
in(4)	Komm, wir gehen ins Kino.	Come on, let’s go to the cinema.
die Information, -en	Wir haben hier einige wichtige Informationen für Sie.	We have some important information for you here.
die Information, -en(2)	Wenn Sie Fragen haben, gehen Sie zur Information.	If you have questions, go to the information desk.
informieren (sich), informiert, hat informiert	Ich möchte mich vor der Reise über das Land informieren.	I want to inform myself about the country before the trip.
informieren (sich), informiert, hat informiert(2)	Hast du dich über die Prüfung informiert?	Did you get information about the exam?
die Insel, -n	Ich möchte im Sommer auf einer Insel Urlaub machen.	I would like to vacation on an island in the summer.
die Insel, -n(2)	Rügen ist die größte deutsche Insel.	Rügen is the largest German island.
das Instrument, -e	Ich spiele Klavier. Spielen Sie auch ein Instrument?	I play the piano. Do you also play an instrument?
intelligent	Einstein war sehr intelligent.	Einstein was very intelligent.
das Interesse, -n	Ich habe viele Interessen: Sport, Lesen, Kultur, Reisen.	I have many interests: sports, reading, culture, traveling.
interessieren (sich), interessiert, hat interessiert	Ich interessiere mich für Fußball. 	I am interested in soccer.
interessieren (sich), interessiert, hat interessiert(2)	Den Artikel über Brasilien finde ich sehr interessant.	I find the article about Brazil very interesting.
interessant	Ich lese gerade ein interessantes Buch.	I’m currently reading an interesting book.
international	Unser Deutschkurs ist international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China … 	Our German course is international: Silvana is from Italy, Conchi from Spain, Yin from China …
das Internet (Sg.)	Das findest du im Internet. 	You can find that on the Internet.
das Internet (Sg.)(2)	Du kannst im Internet Musik hören oder Spiele spielen. 	You can listen to music or play games on the Internet.
das Interview, -s	Komm schnell! Im Radio kommt ein Interview mit deinem Lieblingssänger. 	Come quickly! There is an interview with your favorite singer on the radio.

