german word	german sentence	english translation
lachen, lacht, hat gelacht	Die Kinder lachen über den Witz.	The children laugh at the joke.
lachen, lacht, hat gelacht(2)	Lachen ist gesund.	Laughter is healthy.
der Laden, ¨-	Ich kaufe meine Kleider immer in einem kleinen Laden im Zentrum.	I always buy my clothes in a small shop in the center.
die Lampe, -n	Mach bitte die Lampe an. Es ist so dunkel.	Please turn on the lamp. It is so dark.
das Land, ¨-er	Deutschland ist ein schönes Land.	Germany is a beautiful country.
das Land, ¨-er(2)	Möchten Sie lieber auf dem Land oder in der Stadt wohnen?	Would you rather live in the countryside or in the city?
die Landschaft, -en	Die Landschaft ist sehr schön.	The landscape is very beautiful.
lang	Die Hose ist zu lang. Können Sie sie ändern?	The pants are too long. Can you alter them?
lange	Wie lange fährt der Zug von Hamburg nach Berlin?	How long does the train take from Hamburg to Berlin?
langsam	Könnten Sie bitte etwas langsamer sprechen?	Could you please speak a bit slower?
langweilig	Mir ist langweilig.	I’m bored.
langweilig(2)	Sie findet Fußball sehr langweilig.	She finds football very boring.
der/das Laptop, -s	Ich brauche einen neuen Laptop.	I need a new laptop.
lassen, lässt, hat gelassen	Lass mich in Ruhe!	Leave me alone!
lassen, lässt, hat gelassen(2)	Kann ich mein Auto hier stehen lassen?	Can I leave my car parked here?
lassen, lässt, hat gelassen(3)	Ich kann meine kleine Tochter noch nicht allein lassen.	I can’t leave my little daughter alone yet.
laufen, läuft, ist gelaufen	Ich gehe jeden Morgen laufen.	I go running every morning.
laufen, läuft, ist gelaufen(2)	Unsere Tochter ist erst ein Jahr alt, aber sie kann schon laufen.	Our daughter is only one year old, but she can already walk.
laufen, läuft, ist gelaufen(3)	Wann läuft der Film?	When does the movie start?
laut	Nicht so laut! Das Baby schläft.	Not so loud! The baby is sleeping.
leben, lebt, hat gelebt	Sie lebt bei ihrer Schwester.	She lives with her sister.
leben, lebt, hat gelebt(2)	Unsere Großeltern leben nicht mehr.	Our grandparents are no longer alive.
das Leben, -	Hier in London ist das Leben teuer.	Life here in London is expensive.
die Lebensmittel (Pl.)	Lebensmittel bekommen Sie im Supermarkt.	You can get groceries in the supermarket.
leer	Die Kanne ist fast leer. Ich mache neuen Tee.	The pot is almost empty. I’ll make new tea.
legen, legt, hat gelegt	Legen Sie das Buch auf den Tisch.	Place the book on the table.
leicht	Das Paket ist leicht, es wiegt nur ein Kilo.	The package is light; it weighs only one kilo.
leicht(2)	Die Aufgabe ist nicht leicht.	The task is not easy.
leider	Leider kann ich nicht kommen. Ich muss zum Arzt.	Unfortunately, I can’t come. I have to see the doctor.
leidtun/leid tun, tut leid, hat leidgetan	Es tut mir leid, dass ich nicht kommen kann.	I’m sorry that I can’t come.
leihen, leiht, hat geliehen	Kannst du mir fünf Euro leihen?	Can you lend me five euros?
leise	Seid leise. Die anderen schlafen schon.	Be quiet. The others are already sleeping.
lernen, lernt, hat gelernt	Wie lange lernen Sie schon Deutsch?	How long have you been learning German?
lesen, liest, hat gelesen	In der Schule lesen wir ein Buch von Goethe.	At school, we read a book by Goethe.
letzt-	Morgen ist der letzte Kurstag.	Tomorrow is the last day of the course.
letzt-(2)	Was hast du letzte Woche gemacht?	What did you do last week?
die Leute (Pl.)	Auf der Party sind viele Leute.	There are many people at the party.
das Licht, -er	Es ist so dunkel. Mach bitte das Licht an!	It’s so dark. Please turn on the light!
lieb-	Liebe Susanne, lieber Hans,	Dear Susanne, dear Hans,
lieb-(2)	Ich fahre lieber mit dem Zug als mit dem Bus.	I prefer to travel by train rather than by bus.
lieb-(3)	Möchtest du Pommes oder lieber eine Pizza?	Do you prefer fries or a pizza?
lieben, liebt, hat geliebt	Ich liebe dich!	I love you!
Lieblings-	Meine Lieblingsfarbe ist Blau.	My favorite color is blue.
das Lied, -er	Zum Geburtstag singen wir dir ein Lied.	For your birthday, we will sing you a song.
liefern, liefert, hat geliefert	Wir liefern Ihnen den Schrank nach Hause.	We will deliver the wardrobe to your home.
liegen, liegt, hat/ist gelegen	Die Zeitung liegt auf dem Tisch.	The newspaper is on the table.
liegen, liegt, hat/ist gelegen(2)	Judith liegt noch im Bett.	Judith is still in bed.
liegen, liegt, hat/ist gelegen(3)	Frankfurt liegt am Main.	Frankfurt is situated on the Main.
der Link, -s	Ich schicke dir einen Link zu Deutschübungen.	I’ll send you a link to German exercises.
links	Gehen Sie die nächste Straße links.	Go left at the next street.
der Löffel, -	Bitte bringen Sie mir einen Löffel.	Please bring me a spoon.
das Lokal, -e	Gibt es hier in der Nähe ein gutes Lokal?	Is there a good restaurant nearby?
die Lüge, -n	Das stimmt nicht! Das ist eine Lüge!	That’s not true! That’s a lie!
lügen, lügt, hat gelogen	Du sollst nicht lügen.	You shouldn’t lie.
lügen, lügt, hat gelogen(2)	Glaub ihm nicht, er lügt.	Don’t believe him; he’s lying.
die Lust (Sg.)	Gehen wir heute Abend ins Kino? - Nein, ich habe keine Lust.	Shall we go to the cinema this evening? - No, I don’t feel like it.
die Lust (Sg.)(2)	Ich habe Lust auf Schokolade.	I feel like having chocolate.
lustig	Warum lacht ihr? Was ist so lustig?	Why are you laughing? What’s so funny?
lustig(2)	Ich mag lustige Filme.	I like funny movies.
