german word	german sentence	english translation
machen, macht, hat gemacht	Was machst du heute Abend?	What are you doing this evening?
machen, macht, hat gemacht(2)	Ich muss jetzt das Essen machen.	I need to make the food now.
machen, macht, hat gemacht(3)	Das macht 5 Euro 95.	That’s 5 euros 95.
machen, macht, hat gemacht(4)	Entschuldigung! - Das macht doch nichts.	Excuse me! - That’s alright.
das Mädchen, -	Familie Kurz bekommt ein Baby. – Junge oder Mädchen?	The Kurz family is expecting a baby. – Boy or girl?
der Magen, ¨-	Mein Magen tut weh.	My stomach hurts.
die Mailbox, -en	Hier ist die Mailbox von Susanne König.	Here is Susanne König’s voicemail.
die Mailbox, -en(2)	Ich habe dir auf die Mailbox gesprochen.	I left a message on your voicemail.
mal / das Mal	Sag mal, wie gefällt dir mein neues Kleid?	Tell me, how do you like my new dress?
mal / das Mal(2)	Das erste Mal war ich vor fünf Jahren in England.	The first time I was in England was five years ago.
mal / das Mal(3)	Tschüss, bis zum nächsten Mal!	Goodbye, see you next time!
malen, malt, hat gemalt	Mein Sohn kann gut malen.	My son can paint well.
malen, malt, hat gemalt(2)	Er hat ein schönes Bild gemalt.	He painted a beautiful picture.
man	Wie schreibt man das?	How do you spell that?
man(2)	Hier darf man nicht rauchen.	Smoking is not allowed here.
manch-	Manche Nachbarn sind unfreundlich.	Some neighbors are unfriendly.
manchmal	Manchmal essen wir im Restaurant.	Sometimes we eat at the restaurant.
manchmal(2)	Rauchen Sie? - Manchmal.	Do you smoke? - Sometimes.
der Mann, ¨-er	Mein Mann ist Polizist.	My husband is a police officer.
männlich	Bitte wählen Sie: weiblich oder männlich.	Please choose: female or male.
die Mannschaft, -en	Meine Lieblingsmannschaft hat 1:0 verloren.	My favorite team lost 1-0.
der Mantel, ¨-	Es ist kalt. Zieh deinen Mantel an!	It’s cold. Put on your coat!
der Markt, ¨-e	Ich gehe heute auf den Markt.	I’m going to the market today.
der Markt, ¨-e(2)	Samstags ist hier Markt.	There is a market here on Saturdays.
die Maschine, -n	Die Waschmaschine funktioniert sehr gut.	The washing machine works very well.
das Medikament, -e	Nehmen Sie dieses Medikament dreimal pro Tag!	Take this medication three times a day!
das Meer, -e	Wir machen Urlaub am Meer.	We are on vacation by the sea.
mehr	Dieses Auto kostet 1.000 Euro mehr als das andere.	This car costs 1,000 euros more than the other one.
mehr(2)	Mehr kann ich nicht essen!	I can’t eat more!
mehr(3)	Ich möchte mehr Taschengeld.	I want more pocket money.
meinen, meint, hat gemeint	Wie meinst du das? Erklär mir das bitte genauer!	What do you mean? Please explain it to me in more detail!
meinen, meint, hat gemeint(2)	Der Film ist gut. Was meinst du?	The movie is good. What do you think?
