german word	german sentence	english translation
nach	Ich gehe jetzt nach Hause.	I'm going home now.
nach(2)	Ich fliege nach München.	I'm flying to Munich.
nach(3)	Es ist schon fünf nach zwölf.	It’s already five past twelve.
nach(4)	Wir treffen uns nach der Arbeit.	We’ll meet after work.
der Nachbar, -n	Mein Nachbar kommt aus Brasilien und meine Nachbarin ist Italienerin.	My neighbor comes from Brazil and my neighbor’s wife is Italian.
der Nachbar, -n(2)	Die neuen Nachbarn sind sehr nett.	The new neighbors are very nice.
die Nachricht, -en	Ich sehe abends immer die Nachrichten im Fernsehen.	I always watch the news on TV in the evening.
die Nachricht, -en(2)	Kommst du mit ins Kino? - Ich weiß es noch nicht.	Are you coming to the cinema? - I don’t know yet.
die Nachricht, -en(3)	Ich schreibe dir später eine Nachricht.	I’ll send you a message later.
die Nachricht, -en(4)	Sie haben keine neuen Nachrichten.	You have no new messages.
nächste, -er, -es	Sehen wir uns nächste Woche?	Shall we see each other next week?
nächste, -er, -es(2)	Ihr nächster Termin ist in einem Monat.	Your next appointment is in a month.
nächste, -er, -es(3)	Bis nächstes Mal!	See you next time!
die Nähe (Sg.)	Die Post ist in der Nähe vom Bahnhof.	The post office is near the train station.
der Name, -n	Wie ist Ihr Name?	What is your name?
der Name, -n(2)	Mein Name ist Thomas Schmidt.	My name is Thomas Schmidt.
der Name, -n(3)	Mein Vorname ist Thomas; Schmidt ist der Familienname.	My first name is Thomas; Schmidt is the family name.
nass	Geh nicht mit den nassen Schuhen ins Wohnzimmer!	Don’t go into the living room with wet shoes!
nass(2)	Du bist ja ganz nass. Hast du den Regenschirm vergessen?	You’re completely soaked. Did you forget the umbrella?
die Natur (Sg.)	Ich bin gern draußen in der Natur.	I like being outside in nature.
natürlich	Natürlich helfen wir dir.	Of course, we’ll help you.
natürlich(2)	Kommst du zu meiner Party? – Natürlich.	Are you coming to my party? – Of course.
neben	Neben mir ist noch ein Platz frei.	There’s still a seat free next to me.
neben(2)	Die Apotheke ist neben der Post.	The pharmacy is next to the post office.
nebenan	Das ist José. Er wohnt nebenan.	This is José. He lives next door.
neblig	Fahr vorsichtig! Es ist neblig.	Drive carefully! It’s foggy.
nehmen, nimmt, hat genommen	Nehmen Sie die Tabletten vor dem Essen!	Take the tablets before eating!
nehmen, nimmt, hat genommen(2)	Was möchten Sie? – Ich nehme einen Salat.	What would you like? – I’ll take a salad.
nehmen, nimmt, hat genommen(3)	Ich nehme den Bus.	I’m taking the bus.
nein	Möchten Sie ein Stück Kuchen? – Nein, danke.	Would you like a piece of cake? – No, thank you.
nein(2)	Fährst du auch nach München? – Nein, ich habe keine Zeit.	Are you going to Munich too? – No, I don’t have time.
nennen, nennt, hat genannt	Mein Freund heißt Alexander, aber alle nennen ihn Alex.	My friend’s name is Alexander, but everyone calls him Alex.
nervös	Bei Prüfungen bin ich immer sehr nervös.	I’m always very nervous during exams.
nett	Ich habe viele nette Kollegen.	I have many nice colleagues.
nett(2)	Vielen Dank! Das ist sehr nett von dir.	Thank you very much! That’s very kind of you.
neu	Ich bin der neue Mitarbeiter.	I’m the new employee.
neu(2)	Wir haben eine neue Wohnung.	We have a new apartment.
neu(3)	Zeig mal! Ist das dein neues Handy?	Show me! Is that your new phone?
nicht	Das stimmt nicht.	That’s not true.
nicht(2)	Ich kann morgen leider nicht kommen.	I’m afraid I can’t come tomorrow.
nicht(3)	Lisa wohnt nicht in Hamburg, sie wohnt in Bremen.	Lisa doesn’t live in Hamburg, she lives in Bremen.
nichts	Das macht nichts.	That doesn’t matter.
nichts(2)	Hier kaufe ich nichts. Der Laden gefällt mir nicht.	I’m not buying anything here. I don’t like the store.
nie	Er kommt nie pünktlich.	He never arrives on time.
niemand	Hier ist niemand.	There is no one here.
niemand(2)	Hier ist der Anrufbeantworter von Familie Klein. Leider ist im Moment niemand zu Hause.	This is the answering machine for the Klein family. Unfortunately, no one is home at the moment.
nirgends	Hier kann man nirgends parken.	You can’t park anywhere here.
nirgends(2)	Wo ist Stefan? Ich kann ihn nirgends sehen.	Where is Stefan? I can’t see him anywhere.
noch	Vielleicht kommt er noch.	Maybe he’ll come later.
noch(2)	Es dauert noch ein paar Minuten.	It will take a few more minutes.
noch(3)	Ich habe noch 20 Euro.	I still have 20 euros.
normal	Das ist doch ganz normal.	That’s quite normal.
die Note, -n	Eva hat immer sehr gute Noten in Deutsch.	Eva always gets very good grades in German.
notieren, notiert, hat notiert	Notieren Sie bitte alle wichtigen Informationen.	Please note down all the important information.
die Notiz, -en	Schreib mir bitte eine Notiz.	Please write me a note.
die Notiz, -en(2)	Haben Sie einen Notizzettel für mich?	Do you have a note for me?
notwendig	Muss ich noch einmal kommen? – Nein, das ist nicht notwendig.	Do I need to come again? – No, that’s not necessary.
die Nudel, -n	Möchten Sie lieber Reis oder Nudeln? – Lieber Nudeln, bitte.	Would you prefer rice or noodles? – Noodles, please.
die Nummer, -n	Sie haben Zimmer Nummer zwölf.	You have room number twelve.
die Nummer, -n(2)	Welche Hausnummer haben Sie?	What is your house number?
die Nummer, -n(3)	Können Sie mir bitte Ihre Nummer geben?	Could you please give me your number?
die Nummer, -n(4)	Haben Sie die Bluse auch eine Nummer kleiner?	Do you have the blouse in a smaller size?
nur	Ich möchte nur ein Glas Wasser.	I only want a glass of water.
nur(2)	Das T-Shirt kostet nur fünf Euro.	The T-shirt only costs five euros.
nützlich	Danke für den Tipp. Er war sehr nützlich.	Thank you for the tip. It was very useful.

