german word	german sentence	english translation
das Paar, -e	Romeo und Julia sind ein Paar.	Romeo and Juliet are a couple.
das Paar, -e(2)	Ich brauche ein Paar Schuhe.	I need a pair of shoes.
ein paar	Wir fahren ein paar Tage ans Meer.	We’re going to the sea for a few days.
ein paar(2)	Hast du ein paar Minuten Zeit?	Do you have a few minutes?
packen, packt, hat gepackt	Ich muss noch meinen Koffer packen.	I still need to pack my suitcase.
packen, packt, hat gepackt(2)	Das Paket ist noch nicht gepackt.	The package is not packed yet.
das Paket, -e	Bringst du bitte das Paket zur Post?	Could you please take the package to the post office?
das Papier, -e	Hier sind Papier und Bleistift.	Here are paper and pencil.
die Papiere (Pl.)	Haben Sie Ihre Papiere dabei?	Do you have your documents with you?
das Parfüm, -s	Ich suche ein Parfum als Geschenk für meine Frau.	I’m looking for a perfume as a gift for my wife.
der Park, -s	Ich gehe gern im Park spazieren.	I like to walk in the park.
parken, parkt, hat geparkt	Darf ich hier parken?	May I park here?
parken, parkt, hat geparkt(2)	Hier ist Parken verboten. 	Parking is prohibited here.
der Partner, -	Veronika ist meine Partnerin.	Veronika is my partner.
die Partnerin, -nen	Veronika ist meine Partnerin.	Veronika is my partner.
die Party, -s	Heute Abend machen wir eine Party.	We’re having a party this evening.
der Pass, ¨-e	Am Flughafen brauchst du deinen Pass.	You need your passport at the airport.
passen, passt, hat gepasst	Die Bluse passt mir nicht.	The blouse doesn’t fit me.
passen, passt, hat gepasst(2)	Welches Wort passt? Wählen Sie.	Which word fits? Choose.
passieren, passiert, ist passiert	Wie ist der Unfall passiert?	How did the accident happen?
passieren, passiert, ist passiert(2)	Was ist passiert?	What happened?
das Passwort, ¨-er	Bitte schreiben Sie Ihr Passwort.	Please write your password.
das Passwort, ¨-er(2)	Sie brauchen ein Passwort.	You need a password.
das Passwort, ¨-er(3)	Ich habe mein Passwort vergessen.	I forgot my password.
die Pause, -n	Von 12.00 bis 12.30 Uhr haben wir Mittagspause.	We have lunch break from 12:00 to 12:30.
die Person, -en	Eintritt pro Person: 5 Euro.	Admission per person: 5 euros.
das Pferd, -e	Amira liebt Pferde. Sie reitet seit zehn Jahren.	Amira loves horses. She has been riding for ten years.
die Pflanze, -n	Können Sie sich bitte um unsere Pflanzen kümmern? Wir sind nächste Woche im Urlaub.	Could you please take care of our plants? We’re on vacation next week.
die Pizza, -s/-en	Mein Lieblingsessen ist Pizza.	My favorite food is pizza.
die Pizza, -s/-en(2)	Eine Pizza mit viel Käse, bitte.	A pizza with a lot of cheese, please.
das Plakat, -e	Wir machen im Unterricht ein Plakat zum Thema „Essen und Trinken“.	We’re making a poster on the topic “Food and Drink” in class.
der Plan, ¨-e	Ich kaufe mir einen Stadtplan.	I’m buying a city map.
planen, plant, hat geplant	Wir sollen zusammen eine Klassenparty planen.	We should plan a class party together.
planen, plant, hat geplant(2)	Morgen schwimmen ... ist ein guter Plan.	Swimming tomorrow ... is a good plan.
der Platz, ¨-e	Hier ist noch ein Platz frei.	There is still a seat free here.
der Platz, ¨-e(2)	Bitte nehmen Sie Platz!	Please take a seat!
der Platz, ¨-e(3)	Ich wohne am Messeplatz 5.	I live at Messeplatz 5.
der Platz, ¨-e(4)	Ich finde keinen Parkplatz.	I can’t find a parking space.
plötzlich	Plötzlich war das Licht aus.	Suddenly, the light was out.
die Polizei (Sg.)	Rufen Sie die Polizei!	Call the police!
die Pommes frites (Pl.)	Die Kinder essen Bratwurst mit Pommes frites.	The kids are eating sausages with French fries.
