german word	german sentence	english translation
das Tablet, -s	Hast du ein Tablet? - Nein, ich habe einen Laptop und ein Handy.	Do you have a tablet? - No, I have a laptop and a phone.
die Tablette, -n	Du sollst am Abend zwei Tabletten nehmen.	You should take two tablets in the evening.
die Tafel, -n	Der Lehrer schreibt das neue Wort an die Tafel.	The teacher writes the new word on the blackboard.
die Tafel, -n(2)	Am Eingang gibt es Tafeln mit Informationen.	At the entrance, there are signs with information.
tanzen, tanzt	Tanzen Sie gern?	Do you like dancing?
tanzen, tanzt(2)	Wir haben die ganze Nacht getanzt.	We danced all night.
die Tasche, -n	Ich habe die Schlüssel in der Tasche.	I have the keys in my bag.
die Tasche, -n(2)	Ich habe nicht viel Gepäck. Nur eine Tasche.	I don’t have much luggage. Just one bag.
das Taschengeld (Sg.)	Wie viel Taschengeld bekommen deine Kinder?	How much pocket money do your children get?
die Tasse, -n	Möchten Sie eine Tasse Kaffee?	Would you like a cup of coffee?
(aus)tauschen, tauscht (aus)	Können wir bitte die Plätze tauschen?	Can we please swap places?
(aus)tauschen, hat (aus)getauscht	Können wir unsere Adressen austauschen?	Can we exchange our addresses?
das Taxi, -s	Bitte rufen Sie mir ein Taxi.	Please call a taxi for me.
das Team, -s	Ich arbeite gern in einem Team.	I like working in a team.
das Team, -s(2)	Welches Fußballteam findest du am besten?	Which football team do you like best?
der Tee, -s	Ich trinke morgens immer Tee.	I always drink tea in the morning.
teilen, teilt	Wollen wir die Pizza teilen?	Shall we share the pizza?
teilen, hat geteilt	Mein Mann und ich teilen uns die Arbeit.	My husband and I share the work.
teilnehmen, nimmt teil	Ich möchte an dem Tanzkurs teilnehmen.	I would like to participate in the dance course.
teilnehmen, hat teilgenommen	Ich habe an der Konferenz teilgenommen.	I participated in the conference.
das Telefon, -e	Darf ich bitte Ihr Telefon benutzen?	May I use your phone, please?
telefonieren, telefoniert	Ich muss kurz telefonieren.	I need to make a phone call.
telefonieren, hat telefoniert	Er hat den ganzen Abend telefoniert.	He talked on the phone all evening.
der Teller, -	Stell die Teller bitte auf den Tisch!	Please put the plates on the table!
der Teller, - (2)	Möchtest du noch einen Teller Suppe?	Would you like another bowl of soup?
das Tennis (Sg.)	Steffi spielt sehr gut Tennis.	Steffi plays tennis very well.
der Termin, -e	Am besten machen wir sofort einen Termin.	It’s best to make an appointment immediately.
der Termin, -e (2)	Ich habe heute einen Termin bei meiner Zahnärztin.	I have an appointment with my dentist today.
teuer	Das ist mir zu teuer.	That is too expensive for me.
der Text, -e	Lesen Sie bitte den Text.	Please read the text.
das Theater, -	Ich gehe nicht gern ins Theater.	I don’t like going to the theater.
das Thema, -en	Heute heißt unser Thema: „Essen und Trinken“.	Today’s topic is: "Food and Drink".
das Ticket, -s	Wie viel kostet das Ticket?	How much does the ticket cost?
tief	Vorsicht, das Wasser ist tief!	Caution, the water is deep!
das Tier, -e	Wir dürfen keine Tiere in der Wohnung haben.	We are not allowed to have pets in the apartment.
das Tier, -e (2)	Meine Lieblingstiere sind Katzen.	My favorite animals are cats.
der Tipp, -s	Kannst du mir einen guten Tipp geben?	Can you give me a good tip?
der Tisch, -e	Das Essen steht schon auf dem Tisch.	The food is already on the table.
der Titel, -	Wie heißt der Film? - Ich weiß den Titel nicht mehr.	What’s the name of the film? - I don’t remember the title.
die Toilette, -n	Wo ist die Toilette, bitte?	Where is the toilet, please?
toll	Der Urlaub war toll.	The vacation was great.
die Tomate, -n	Die Tomate ist noch grün.	The tomato is still green.
der Topf, ¨-e	Hast du keinen größeren Topf? Ich möchte Kartoffeln kochen.	Don’t you have a bigger pot? I want to cook potatoes.
die Torte, -n	Zum Geburtstag backe ich dir eine Torte.	I’ll bake you a cake for your birthday.
