german word	german sentence	english translation
verabredet sein	Ich bin mit meiner Freundin verabredet.	I have an appointment with my girlfriend.
verabredet sein(2)	Er ist schon seit Wochen verabredet.	He has been scheduled for weeks.
verabredet sein(3)	Ich war verabredet, aber es ist abgesagt worden.	I had an appointment, but it was canceled.
verabredet sein(4)	Er ist verabredet gewesen, als wir ihn angerufen haben.	He had been scheduled when we called him.
die Veranstaltung, -en	Am Samstag ist unser Restaurant geschlossen. Wir haben eine Veranstaltung.	On Saturday, our restaurant is closed. We have an event.
verbieten / verboten sein	Hier ist Rauchen verboten.	Smoking is prohibited here.
verdienen, verdient	Ich verdiene 1.500 Euro im Monat.	I earn 1,500 euros a month.
verdienen, verdient(2)	Er hat viel Geld verdient.	He has earned a lot of money.
der Verein, -e	Er ist seit vielen Jahren im Verein.	He has been in the club for many years.
der Verein, -e(2)	Es gibt einen neuen Sportverein in der Stadt.	There is a new sports club in the city.
vereinbaren, vereinbart	Können wir einen Termin vereinbaren?	Can we schedule an appointment?
vereinbaren, vereinbart(2)	Hat er den Termin vereinbart?	Did he schedule the appointment?
vergessen, vergisst	Ich habe meine Hausaufgaben vergessen.	I forgot my homework.
vergessen, vergisst(2)	Vergiss deinen Arzttermin nicht!	Don't forget your doctor's appointment!
vergleichen, vergleicht	Vergleichen Sie die Angebote!	Compare the offers!
vergleichen, vergleicht(2)	Können wir die Antworten vergleichen?	Can we compare the answers?
verkaufen, verkauft	Er verkauft sein altes Auto.	He is selling his old car.
verkaufen, verkauft(2)	Der Verkäufer hat viele Bücher verkauft.	The seller sold many books.
der Verkehr (Sg.)	Morgens gibt es hier immer viel Verkehr.	In the morning, there is always a lot of traffic here.
das Verkehrsmittel, -	Welche Verkehrsmittel benutzen Sie oft?	Which means of transportation do you use often?
verletzen (sich), verletzt	Sind Sie verletzt? – Ja, am Bein.	Are you injured? – Yes, on the leg.
verletzen (sich), verletzt(2)	Haben Sie sich verletzt?	Did you injure yourself?
verlieben (sich), verliebt	Ich bin total verliebt.	I am totally in love.
verlieben (sich), verliebt(2)	Er hat sich in sie verliebt.	He fell in love with her.
verlieren, verliert	Ich habe meinen Schlüssel verloren.	I lost my key.
verlieren, verliert(2)	Michael hat seine Arbeit verloren.	Michael lost his job.
vermieten, vermietet	Die Wohnung ist schon vermietet.	The apartment is already rented.
vermieten, vermietet(2)	Er hat das Haus vermietet.	He rented out the house.
verpassen, verpasst	Ich habe den Zug verpasst.	I missed the train.
verreisen, verreist	Verreist ihr in den Ferien?	Are you going away for the holidays?
verreisen, verreist(2)	Frau Doktor Müller ist zur Zeit verreist. Sie kommt erst nächste Woche zurück.	Dr. Müller is currently away. She will return next week.
verschieben, verschiebt	Leider muss ich den Termin verschieben.	Unfortunately, I have to reschedule the appointment.
verschieben, verschiebt(2)	Der Termin wurde auf nächste Woche verschoben.	The appointment was postponed to next week.
verschieden	Unsere beiden Kinder sind sehr verschieden.	Our two children are very different.
verschieden(2)	Ich habe diese Schuhe in verschiedenen Farben.	I have these shoes in different colors.
die Verspätung, -en	Unser Zug hat leider 15 Minuten Verspätung.	Our train is unfortunately 15 minutes late.
verstehen, versteht	Können Sie mich verstehen?	Can you understand me?
verstehen, versteht(2)	Ich verstehe diese Aufgabe nicht.	I don't understand this task.
versuchen, versucht	Kann ich es auch einmal versuchen?	Can I try it once too?
versuchen, versucht(2)	Haben Sie es schon einmal mit diesem Mittel versucht?	Have you tried this remedy before?
der Vertrag, ¨-e	Ich muss den Vertrag noch unterschreiben.	I need to sign the contract.
viel, -e	Ich habe leider nicht viel Zeit.	I unfortunately don't have much time.
viel, -e(2)	Viel Spaß!	Have fun!
viel, -e(3)	Im Winter sind viele Leute erkältet.	In winter, many people catch a cold.
vielleicht	Vielleicht bekomme ich diesen Job.	Maybe I'll get this job.
vielleicht(2)	Er besucht uns vielleicht am Wochenende.	Might he visit us on the weekend?
vielleicht(3)	Kannst du mir vielleicht ein bisschen Geld leihen?	Can you maybe lend me a little money?
der Vogel, ¨-	Nadine mag Vögel.	Nadine likes birds.
der Vogel, ¨-(2)	Morgens singen die Vögel immer laut.	In the morning, the birds always sing loudly.
voll	Morgens und abends sind die Züge immer sehr voll.	In the mornings and evenings, the trains are always very full.
voll(2)	Die Flasche ist noch ganz voll.	The bottle is still completely full.
der Volleyball, ¨-e	Ich spiele gern Volleyball.	I like to play volleyball.
von	Das Auto von Felix ist kaputt.	Felix's car is broken.
von(2)	Er kommt gerade von Köln/von zu Hause.	He is coming from Cologne/from home.
von(3)	Die Brötchen sind leider von gestern.	The rolls are unfortunately from yesterday.
vor	Er ist vor einer Stunde gegangen.	He left an hour ago.
vor(2)	Das Auto steht vor der Tür.	The car is in front of the door.
vorbei	Die Linie 8 fährt am Krankenhaus vorbei.	Line 8 passes by the hospital.
vorbei(2)	Kommst du morgen bei mir vorbei?	Will you come by tomorrow?
vorbereiten, vorbereitet	Morgen mache ich eine Party. Ich muss noch viel dafür vorbereiten.	I am having a party tomorrow. I still need to prepare a lot for it.
vorbereiten, vorbereitet(2)	Ich muss mich auf meine Prüfung vorbereiten.	I need to prepare for my exam.
vorgestern	Er hat mich vorgestern angerufen.	He called me the day before yesterday.
vorher	Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.	I will come with you to the café. But first, I need to go to the bank.
vorn(e)	Bitte vorn(e) einsteigen!	Please board at the front!
der Vorname, -n	Ich heiße Müller, mein Vorname ist Eva.	My last name is Müller; my first name is Eva.
der Vorschlag, ¨-e	Was machen wir am Wochenende? Hast du einen guten Vorschlag?	What shall we do on the weekend? Do you have a good suggestion?
der Vorschlag, ¨-e(2)	Was schenken wir Christina zur Hochzeit? - Wir haben doch schon so viele Vorschläge gemacht.	What shall we give Christina for the wedding? - We have already made so many suggestions.
vorsichtig	Sei vorsichtig!	Be careful!
vorsichtig(2)	Du musst vorsichtig fahren, es ist neblig.	You need to drive carefully; it’s foggy.
vorstellen (sich), vorgestellt	Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen?	We want to get to know each other. Can you please introduce yourself?
vorstellen (sich), vorgestellt(2)	Darf ich Ihnen meine Frau vorstellen?	May I introduce my wife to you?
vorwärts	Fahren Sie bitte noch ein Stück vorwärts.	Please drive a little further forward.

