german word	german sentence	english translation
wach	Bist du schon lange wach?	Have you been awake for a long time?
wach (2)	Ich bin noch nicht ganz wach. 	I'm not fully awake yet.
der Wagen, –	Wo steht Ihr Wagen? 	Where is your car parked?
der Wagen, – (2)	Im zweiten Wagen ist unser Zugrestaurant. 	The restaurant car is in the second carriage.
wählen, wählt	Sie müssen erst eine Null wählen. 	You first need to dial a zero.
wählen, wählt (2)	Wählen Sie bitte ein Getränk. 	Please choose a drink.
wahr	Das ist (nicht) wahr! 	That is (not) true!
wahrscheinlich	Wahrscheinlich mache ich im Herbst einen Deutschkurs. 	I'll probably take a German course in the fall.
wahrscheinlich (2)	Er kommt wahrscheinlich nicht. 	He probably won't come.
der Wald, ¨-er	Im Wald ist es ruhig. 	It is quiet in the forest.
der Wald, ¨-er (2)	Ich gehe gern im Wald spazieren. 	I like to walk in the forest.
wandern, wandert	Wir gehen oft wandern. 	We often go hiking.
wandern, wandert (2)	Wir sind schon gewandert. 	We have already hiked.
wann	Wann bist du fertig? 	When will you be finished?
wann (2)	Wann kann ich Sie anrufen? 	When can I call you?
warm	Hier ist es sehr warm. 	It is very warm here.
warm (2)	Mittags esse ich oft ein warmes Essen. 	I often eat a warm meal at noon.
warm (3)	Ich brauche einen warmen Pullover. 	I need a warm sweater.
warten, wartet	Können Sie ein paar Minuten warten? 	Can you wait a few minutes?
warten, wartet (2)	Auf wen warten Sie? 	Who are you waiting for?
warten, wartet (3)	Ich habe schon lange gewartet.	I have been waiting for a long time.
warum	Warum kommt er nicht? 	Why isn't he coming?
was	Was ist das? 	What is this?
was (2)	Was möchten Sie? 	What would you like?
die Wäsche, -n	Ich muss noch Wäsche waschen. 	I still need to do laundry.
waschen (sich), wäscht	Wo kann ich mir die Hände waschen? 	Where can I wash my hands?
waschen (sich), wäscht (2)	Ich habe mir die Hände gewaschen. 	I washed my hands.
das Wasser (Sg.)	Ein Glas Wasser, bitte. 	A glass of water, please.
das Wasser (Sg.) (2)	Gibt es hier kein warmes Wasser? 	Is there no hot water here?
die Webseite, -n	Es gibt viele Webseiten mit Grammatikübungen. 	There are many websites with grammar exercises.
wechseln, wechselt	Wir müssen den Reifen wechseln. 	We need to change the tire.
wechseln, wechselt (2)	Können Sie mir zehn Dollar wechseln? 	Can you change ten dollars for me?
wechseln, wechselt (3)	Ich habe den Plan gewechselt. 	I changed the plan.
wecken, weckt	Bitte wecken Sie mich morgen früh um fünf. 	Please wake me up tomorrow morning at five.
wecken, weckt (2)	Ich bin um sechs Uhr geweckt worden. 	I was woken up at six o'clock.
weg/weg-	Meine Brille ist weg. Ich finde sie nicht mehr. 	My glasses are gone. I can't find them anymore.
weg/weg- (2)	Bringst du bitte den Müll weg? 	Can you please take out the trash?
weg/weg- (3)	Können Sie Ihr Auto bitte wegfahren? 	Can you please move your car?
weg/weg- (4)	Ich gehe jetzt weg. 	I am leaving now.
weg/weg- (5)	Unser Hund ist weggelaufen. 	Our dog has run away.
weg/weg- (6)	Kannst du das bitte wegmachen? 	Can you please remove that?
weg/weg- (7)	Warum hast du dem Kind den Ball weggenommen? 	Why did you take the ball away from the child?
weg/weg- (8)	Sie können diese Papiere wegwerfen. 	You can throw away these papers.
der Weg, -e	Das ist der kürzeste Weg. 	This is the shortest way.
der Weg, -e (2)	Können Sie mir bitte den Weg zum Flughafen beschreiben? 	Can you please describe the way to the airport?
wegen	Wegen seiner Arbeit kann er leider nicht kommen. 	He can't come because of his work.
wegen (2)	Ich rufe wegen meiner Tochter an. 	I am calling about my daughter.
wehtun, tut weh	Wo tut es weh? 	Where does it hurt?
wehtun, tut weh (2)	Ich will dir nicht wehtun. 	I don't want to hurt you.
wehtun, tut weh (3)	Es hat wehgetan. 	It hurt.
weiblich	Wählen Sie bitte: weiblich oder männlich. 	Please choose: female or male.
weich	Ich möchte zum Frühstück ein weiches Ei. 	I would like a soft-boiled egg for breakfast.
weich (2)	Das Bett im Hotel war zu weich. 	The bed in the hotel was too soft.
weil	Ich kann nicht kommen, weil ich arbeiten muss. 	I can't come because I have to work.
der Wein, -e	Nein danke, ich möchte keinen Wein. 	No, thank you, I don't want any wine.
weinen, weint	Warum weint das Baby? 	Why is the baby crying?
weinen, weint (2)	Weine bitte nicht! 	Please don't cry!
weit	Zum Bahnhof ist es nicht weit. 	The train station is not far.
weiter	Der Bus fährt nicht weiter. 	The bus doesn't go any further.
weiter (2)	Können wir jetzt weitermachen? 	Can we continue now?
weiter (3)	Entschuldigung, können Sie mir bitte weiterhelfen? 	Excuse me, can you please help me further?
welcher, -e, -s	Welcher Tag ist heute? 	What day is it today?
welcher, -e, -s (2)	Welchen Kurs möchtest du machen? 	Which course would you like to take?
welcher, -e, -s (3)	Welche Bluse nehmen Sie? 	Which blouse are you taking?
welcher, -e, -s (4)	Welches Buch suchst du? 	Which book are you looking for?
die Welt, -en	Ich möchte gern einmal um die Welt reisen. 	I would like to travel around the world.
die Welt, -en (2)	Die Studenten kommen aus vielen Ländern. Sie kommen aus der ganzen Welt. 	The students come from many countries. They come from all over the world.
wenig, -e	Ich habe leider nur wenig verstanden. 	Unfortunately, I only understood a little.
wenig, -e (2)	Er verdient wenig. 	He earns little.
