german word	german sentence	english translation
die Zahl, -en	Können Sie die Zahl bitte wiederholen?	Can you please repeat the number?
zahlen, zahlt	Entschuldigung, zahlen bitte!	Excuse me, the bill please!
zahlen, zahlt (2)	Er hat gezahlt.	He paid.
der Zahn, ¨-e	Der Zahn tut mir schon seit einer Woche weh.	My tooth has been hurting for a week.
zeichnen, zeichnet	Caterina kann gut zeichnen. Sieh mal das Bild hier.	Caterina can draw well. Look at this picture here.
zeichnen, zeichnet (2)	Sie hat das Bild gezeichnet.	She drew the picture.
zeigen, zeigt	Können Sie mir bitte den Weg zum Bahnhof zeigen?	Can you please show me the way to the train station?
zeigen, zeigt (2)	Er hat mir sein neues Auto gezeigt.	He showed me his new car.
die Zeit, -en	Ich habe heute keine Zeit.	I don’t have time today.
die Zeitschrift, -en	Diese Zeitschrift kauft Andrea jede Woche.	Andrea buys this magazine every week.
die Zeitung, -en	Ich lese manchmal Zeitung.	I sometimes read the newspaper.
die Zeitung, -en (2)	Wo ist die Zeitung von heute?	Where is today's newspaper?
das Zelt, -e	Im Sommer schlafen wir manchmal im Zelt.	In the summer, we sometimes sleep in a tent.
das Zentrum, -en	Der Bahnhof ist im Stadtzentrum.	The train station is in the city center.
das Zentrum, -en (2)	Wohnst du im Zentrum? – Nein, ich wohne nicht direkt in der Stadt.	Do you live in the center? - No, I don't live directly in the city.
der Zettel, -	Hast du einen Zettel für mich? Ich muss etwas notieren.	Do you have a piece of paper for me? I need to jot something down.
der Zettel, - (2)	Schreiben Sie Ihre Telefonnummer bitte auf den Zettel.	Please write your phone number on the note.
das Zeugnis, -se	Morgen bekommen die Kinder ihr Zeugnis.	The children will get their report card tomorrow.
(an-)/(aus)ziehen, zieht (an/aus)	Ich ziehe (mir) eine Jacke an.	I am putting on a jacket.
(an-)/(aus)ziehen, zieht (an/aus) (2)	Er hat sein T-Shirt ausgezogen und ein Hemd angezogen.	He took off his T-shirt and put on a shirt.
(an-)/(aus)ziehen, hat/ist (an/aus)gezogen	Die Nachbarn sind am Wochenende ausgezogen.	The neighbors moved out over the weekend.
das Ziel, -e	John läuft sehr schnell. Er war als erster am Ziel.	John runs very fast. He was the first at the finish line.
das Ziel, -e (2)	Was ist dein Ziel im Leben?	What is your goal in life?
das Zimmer, -	Das Zimmer ist am größten.	The room is the largest.
das Zimmer, - (2)	Mach im Schlafzimmer das Fenster zu!	Close the window in the bedroom!
das Zimmer, - (3)	Die Wohnung hat drei Zimmer.	The apartment has three rooms.
das Zimmer, - (4)	Ich habe im Hotel ein Zimmer bestellt.	I booked a room in the hotel.
