german word	german sentence	english translation
ab(1)	Die Fahrt kostet ab Hamburg 200 Euro.	The trip costs 200 euros from Hamburg.
ab(2)	Ab nächster Woche bleibt unser Geschäft samstags geschlossen.	Starting next week, our store will be closed on Saturdays.
ab(3)	Mein Bruder besucht uns ab und zu.	My brother visits us from time to time.
abschreiben(1)	Er hat die Hausaufgaben von mir abgeschrieben.	He copied the homework from me.
das Abitur(1)	Meine Tochter hat gerade Abitur gemacht.	My daughter just graduated from high school.
ablehnen(1)	Er hat mein Angebot, ihm zu helfen, abgelehnt.	He declined my offer to help him.
abbiegen(1)	An der nächsten Kreuzung müssen Sie links abbiegen.	At the next intersection, you need to turn left.
die Abbildung(1)	Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.	In the illustration, you can see how to turn on the device.
das Abenteuer(1)	Unser Urlaub war ein tolles Abenteuer.	Our vacation was a great adventure.
das Abenteuer(2)	Die Kinder lieben Abenteuergeschichten.	The children love adventure stories.
abmachen(1)	Wir hatten doch abgemacht, dass du die Getränke besorgst.	We agreed that you would get the drinks.
abnehmen(1)	Morgen können wir den Verband abnehmen.	Tomorrow we can remove the bandage.
abnehmen(2)	Ich habe zehn Kilo abgenommen.	I lost ten kilograms.
abonnieren(1)	Diese Zeitschrift würde ich gerne abonnieren.	I would like to subscribe to this magazine.
aber(1)	Heute kann ich nicht, aber morgen ganz bestimmt.	I can’t today, but definitely tomorrow.
aber(2)	Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.	There was a lot of snow, but Enzo still rode his motorcycle.
aber(3)	Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.	We only have a small apartment, but we are satisfied with it.
aber(4)	Es war sehr schön. Jetzt muss ich aber gehen.	It was very nice. But now I have to go.
aber(5)	Ich würde gerne kommen, aber es geht leider nicht.	I would like to come, but unfortunately, I can’t.
aber(6)	Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.	May I invite you for a coffee? – Oh yes, with pleasure.
aber(7)	Du spielst aber gut Klavier.	You play the piano very well.
abfahren(1)	Unser Zug ist pünktlich abgefahren.	Our train departed on time.
abonnieren(1)	Ich habe das Abonnement gekündigt.	I canceled the subscription.
absagen(1)	Ich muss unser Treffen leider absagen, weil ich krank geworden bin.	I’m sorry, but I have to cancel our meeting because I’ve fallen ill.
der Abschluss(1)	Ein guter Schulabschluss ist sehr wichtig.	A good school diploma is very important.
der Abschnitt(1)	Lesen Sie bitte den zweiten Abschnitt.	Please read the second section.
der Absender(1)	Schicken Sie das Paket an den Absender zurück.	Send the package back to the sender.
die Absenderin(1)	Schicken Sie das Paket an die Absenderin zurück.	Send the package back to the sender.
die Absicht(1)	Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.	Excuse me, please. My daughter did not do that on purpose.
die Abfahrt(1)	Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.	We have twenty minutes left until departure.
der Abfall(1)	Werfen Sie den Bioabfall bitte nicht zum normalen Müll.	Please do not throw the organic waste in the regular trash.
der Abfalleimer(1)	Wirf das bitte in den Abfalleimer!	Please throw that in the trash can.
Abgase(1)	Abgase aus Industrie und Haushalten verschmutzen die Luft.	Exhaust gases from industry and households pollute the air.
abgeben(1)	Ich soll dieses Päckchen bei Herrn Müller abgeben.	I should deliver this package to Mr. Müller.
abhängen(1)	Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.	Maybe we’ll stay a few days longer; it depends on the weather.
abhängig(1)	Gregor ist finanziell von seinen Eltern abhängig.	Gregor is financially dependent on his parents.
abheben(1)	Für die Reise habe ich 500 Euro von meinem Konto abgehoben.	For the trip, I withdrew 500 euros from my account.
abholen(1)	Meine Freundin hat mich vom Bahnhof abgeholt.	My friend picked me up from the train station.
absolut(1)	Was Sie da sagen, ist absolut falsch.	What you’re saying is absolutely wrong.
absolut(2)	Ich habe absolutes Vertrauen zu dir.	I have absolute trust in you.
abstimmen(1)	Lasst uns über diesen Punkt abstimmen.	Let’s vote on this point.
die Abteilung(1)	Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.	My friend works in Mrs. Kaufmann’s department.
der Abwart(1)	Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.	The caretaker helped me carry the wardrobe into the apartment.
abwärts(1)	Von dort führt der Weg abwärts ins Tal.	From there, the path leads down into the valley.
abwaschen(1)	Ich muss noch das Geschirr abwaschen.	I still need to wash the dishes.
abwesend(1)	Herr Huber ist bis zum 25. April abwesend.	Mr. Huber is absent until April 25.
achten(1)	Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.	Please make sure to lock up when you leave.
Achtung(1)	Achtung, hier endet die Straße!	Attention, the road ends here!
die Adresse(1)	Hast du schon meine neue Adresse?	Do you have my new address?
ähnlich(1)	Emilia ist in einer ganz ähnlichen Situation wie ich.	Emilia is in a very similar situation to mine.
ähnlich(2)	Oleg sieht seinem Bruder sehr ähnlich.	Oleg looks very much like his brother.
die Ahnung(1)	Ich hatte keine Ahnung, dass du heute Geburtstag hast.	I had no idea that it was your birthday today.
die Aktion(1)	Die Stadt sollte eine Aktion für Familien planen.	The city should plan an event for families.
aktiv(1)	Ich bin sehr aktiv und mache viel Sport.	I am very active and do a lot of sports.
die Aktivität(1)	In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.	During the holidays, the city offers various recreational activities for children.
aktuell(1)	Umweltschutz ist ein aktuelles Thema.	Environmental protection is a current topic.
alltäglich(1)	Das alltägliche Leben ist manchmal langweilig.	Everyday life is sometimes boring.
alltäglich(2)	Der Roman erzählt eine ganz alltägliche Geschichte.	The novel tells a very ordinary story.
das Alphabet(1)	Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?	How many letters are there in the alphabet in your language?
als(1)	Als mein Mann kam, war die Party schon zu Ende.	When my husband arrived, the party was already over.
als(2)	Meine Schwester ist älter als ich.	My sister is older than I am.
als(3)	Es ist später, als ich dachte.	It is later than I thought.
als ob(1)	Er tut so, als ob wir nie darüber gesprochen hätten.	He acts as if we had never talked about it.
also(1)	Also, die Sache ist so: …	So, here’s the thing: …
also(2)	Irina hat Urlaub. Sie kann uns also helfen.	Irina is on vacation. So she can help us.
also(3)	Also wirklich, jetzt reicht es.	Really, that’s enough now.
akzeptieren(1)	Ich kann diese Bedingungen nicht akzeptieren.	I cannot accept these conditions.
der Alarm(1)	Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.	In case of fire alarm, you should not use the elevators.
der Alkohol(1)	Du musst die Wunde mit Alkohol reinigen.	You need to clean the wound with alcohol.
der Alkohol(2)	Nein, danke! Ich trinke keinen Alkohol.	No, thank you! I don’t drink alcohol.
all-(1)	Sind alle Kinder da?	Are all the children here?
all-(2)	Sonst noch (et)was? – Nein, danke. Das ist alles.	Anything else? – No, thank you. That’s all.
all-(3)	Alles Gute!	All the best!
allein(1)	Ich gehe nicht gern allein spazieren.	I don’t like walking alone.
allein(2)	Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein.	Should I help you? – No, thank you, I can manage on my own.
allein(3)	Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.	It was very expensive. The food alone cost over 50 euros.
aller-(1)	Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.	The best thing is if you lie down in bed and sleep a lot. Then you’ll get better quickly.
aller-(2)	Das ist das Allerschönste, was ich je gesehen habe.	That is the most beautiful thing I have ever seen.
allerdings(1)	Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.	We can meet tomorrow; however, I am only available from noon.
allgemein(1)	Wir haben nur über allgemeine Probleme gesprochen.	We only talked about general problems.
allgemein(2)	Es ist allgemein bekannt, dass man hier gut essen kann.	It is well known that you can eat well here.
das Alter(1)	Wie alt sind Sie?	How old are you?
das Alter(2)	Maria ist eine alte Freundin von mir.	Maria is an old friend of mine.
das Alter(3)	Wir sind etwa im gleichen Alter.	We are about the same age.
