german word	german sentence	english translation
die Bar(1)	Setzen wir uns doch an die Bar!	Let’s sit at the bar.
die Bar(2)	Ich treffe meine Freundin in der Hotelbar.	I’m meeting my friend at the hotel bar.
backen(1)	Wenn du kommst, backe ich einen Kuchen.	If you come, I'll bake a cake.
die Bäckerei(1)	Wir kaufen unser Brot immer in der Bäckerei am Markt.	We always buy our bread at the bakery at the market.
baden(1)	Wenn du baden möchtest: Das Badezimmer ist dort hinten links.	If you want to bathe: The bathroom is back there on the left.
baden(2)	Hier ist Baden verboten!	Bathing is prohibited here!
der Bart(1)	John trägt jetzt einen Bart.	John now has a beard.
der Basketball(1)	Sie spielt sehr gern Basketball.	She likes playing basketball.
der Basketball(2)	Er hat zum Geburtstag einen neuen Basketball bekommen.	He received a new basketball for his birthday.
das Bad(1)	Nach einem warmen Bad fühlt man sich gleich viel besser.	After a warm bath, you feel much better.
das Bad(2)	Ich möchte ein Zimmer mit Bad.	I would like a room with a bath.
basteln(1)	Die Kinder basteln ein Vogelhaus.	The children are making a birdhouse.
basteln(2)	Ich arbeite gern mit natürlichen Bastelmaterialien.	I like working with natural craft materials.
die Badewanne(1)	Nach einem langen Arbeitstag setzte sie sich in die Badewanne.	After a long day at work, she sat in the bathtub.
die Bahn(1)	Ich komme mit der Bahn.	I am coming by train.
die S-Bahn(1)	Die S-Bahn ist schneller als die Straßenbahn.	The S-Bahn is faster than the streetcar.
die Straßenbahn(1)	Nehmen Sie die Straßenbahn Nr. 16.	Take streetcar number 16.
die U-Bahn(1)	Die letzte U-Bahn geht um 23.15 Uhr.	The last subway goes at 11:15 PM.
der Bahnhof(1)	Ich bringe Sie zum Bahnhof.	I will take you to the train station.
der Bahnsteig(1)	Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.	Main stations usually have many platforms.
bald(1)	Besuchen Sie uns doch bald mal.	Do visit us soon.
bald(2)	Geben Sie mir bitte so bald wie möglich Bescheid.	Please let me know as soon as possible.
bald(3)	Auf Wiedersehen, bis bald!	Goodbye, see you soon!
die Batterie(1)	Bringst du bitte Batterien für die Kamera mit?	Can you bring batteries for the camera?
der Bauch(1)	Mir tut der Bauch weh.	My stomach hurts.
bauen(1)	Mein Nachbar hat ein Haus gebaut.	My neighbor has built a house.
der Bau(1)	Ich wohne in einer Neubauwohnung.	I live in a new building apartment.
der Bau(2)	Unser Haus ist ein Altbau.	Our house is an old building.
die Baustelle(1)	Wir müssen die Baustelle umfahren.	We have to bypass the construction site.
der Bauer(1)	Wir kaufen unser Gemüse beim Bauern.	We buy our vegetables from the farmer.
der Baum(1)	Wir haben zwei Bäume im Garten.	We have two trees in the garden.
beachten(1)	Bitte beachten Sie die Ansagen am Bahnsteig.	Please pay attention to the announcements at the platform.
der Balkon(1)	Die Wohnung hat auch einen kleinen Balkon.	The apartment also has a small balcony.
der Ball(1)	Ich spiele gern mit meinen Kindern Ball.	I like playing ball with my children.
das Ballett(1)	Meine Tochter möchte gern Ballett tanzen.	My daughter would like to dance ballet.
die Banane(1)	1 Kilo Bananen, bitte.	1 kilogram of bananas, please.
die Bank(1)	Kommt, wir setzen uns auf die Bank da vorne.	Let’s sit on the bench over there.
