german word	german sentence	english translation
da(1)	Da drüben ist ein Getränkeautomat.	There's a vending machine over there.
da(2)	Was Sie da sagen, ist richtig.	What you're saying is correct.
da(3)	Ich wollte gerade einparken. Da kam ein Wagen rückwärts aus der Einfahrt.	I was just about to park when a car backed out of the driveway.
da(4)	Wir haben schon geschlossen. – Da kann man nichts machen.	We're already closed. There's nothing that can be done.
da(5)	Da Sie keinen Mitgliedsausweis haben, ist es etwas teurer.	Since you don't have a membership card, it's a bit more expensive.
da(6)	Wir haben gerade über dich gesprochen. Da bist du ja.	We were just talking about you, and there you are.
da(7)	Welche Bluse nehmen Sie? – Die da.	Which blouse will you take? – That one.
da(8)	Ist Herr Klein schon da?	Is Mr. Klein already here?
dabei(1)	Was hast du dir dabei gedacht?	What were you thinking?
dabei(2)	Schön, dass du da bist. Ist deine Familie auch dabei?	Nice that you're here. Is your family here as well?
dabei(3)	Hast du einen Stift dabei?	Do you have a pen with you?
das Dach(1)	Wir müssen das Dach reparieren lassen.	We need to have the roof repaired.
das Dach(2)	Wir wohnen direkt unter dem Dach.	We live directly under the roof.
dafür(1)	Meine Schwester interessiert sich für Politik. Ich interessiere mich nicht dafür.	My sister is interested in politics. I am not.
dafür(2)	Ich bin dafür, dass wir möglichst früh losfahren.	I'm in favor of leaving as early as possible.
dagegen(1)	Vorsicht, da ist ein Baum! Fahr nicht dagegen!	Watch out, there's a tree! Don't drive into it!
dagegen(2)	Sind Sie für oder gegen ein Rauchverbot? - Ich bin dagegen.	Are you for or against a smoking ban? - I'm against it.
dagegen(3)	Ich habe nichts dagegen, dass wir schon nach Hause gehen.	I don't mind if we go home now.
daher(1)	Ich bin erkältet, daher kann ich heute nicht kommen.	I have a cold, so I can't come today.
dahin(1)	Der Zug kommt in 30 Minuten. Bis dahin können wir einen Kaffee trinken.	The train arrives in 30 minutes. Until then, we can have a coffee.
damals(1)	Mit 15 wollte ich gerne Klavier spielen lernen. Aber damals hatte ich kein Geld dafür.	When I was 15, I wanted to learn to play the piano. But I didn’t have the money at that time.
die Dame(1)	Sie ist eine nette alte Dame.	She is a nice old lady.
die Dame(2)	Meine Damen und Herren!	Ladies and Gentlemen!
die Dame(3)	Sehr geehrte Damen und Herren.	Dear Ladies and Gentlemen.
damit(1)	Mach schnell, damit wir nicht zu spät kommen.	Hurry up so that we don’t arrive late.
damit(2)	Was macht man mit diesem Ding? - Damit kann man Dosen aufmachen.	What do you do with this thing? - You can open cans with it.
danach(1)	Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon.	First, we'll go shopping, and then we'll have a barbecue on our balcony.
daneben(1)	Du weißt doch, wo die Post ist. Gleich daneben ist die Bank.	You know where the post office is, right? The bank is right next to it.
danken(1)	Ich danke dir für die Einladung.	Thank you for the invitation.
der Dank(1)	Vielen Dank für Ihre Mühe.	Thank you very much for your effort.
der Dank(2)	Hier ist Ihr Kaffee. – Vielen Dank!	Here’s your coffee. – Thank you very much!
der Dank(3)	Herzlichen Dank!	Sincere thanks!
der Dank(4)	Gott sei Dank hat es nicht geregnet.	Thank God it didn’t rain.
dankbar(1)	Ich bin Ihnen sehr dankbar für Ihre Hilfe.	I am very grateful to you for your help.
danke(1)	Soll ich Ihnen helfen? Nein, danke, nicht nötig.	Should I help you? No, thank you, not necessary.
danke(2)	Guten Appetit! – Danke gleichfalls.	Enjoy your meal! – Thanks, likewise.
dann(1)	Ich muss noch schnell zur Post, dann komme ich.	I still need to quickly go to the post office, then I'll come.
dann(2)	Wir waren pünktlich am Bahnhof. Aber dann hatte der Zug Verspätung.	We were on time at the station, but then the train was delayed.
dann(3)	Ich habe im Moment sehr viel zu tun. – Dann will ich nicht länger stören.	I’m very busy at the moment. – Then I won’t disturb you any longer.
dann(4)	Wenn es nicht regnet, dann kommen wir.	If it doesn't rain, we'll come.
darstellen(1)	Er konnte das Problem sehr gut darstellen.	He was able to explain the problem very well.
die Darstellung(1)	Ihr Buch enthält eine klare Darstellung dieser Probleme.	Her book contains a clear depiction of these issues.
dauern(1)	Wie lange dauert die Pause? – Eine halbe Stunde.	How long is the break? – Half an hour.
die Dauer(1)	Sie können das Buch für die Dauer behalten.	You can keep the book for the duration.
dauer(1)	Auf Dauer ist die Arbeit nicht interessant.	In the long run, the work is not interesting.
dauernd(1)	Das dauernde Klingeln des Telefons stört mich.	The constant ringing of the phone bothers me.
dauernd(2)	Er ist dauernd krank.	He is constantly sick.
die Decke(1)	Im Wohnzimmer haben wir keine Lampe an der Decke.	In the living room, we don't have a lamp on the ceiling.
die Decke(2)	Kann ich noch eine Decke bekommen? Mir ist kalt.	Can I have another blanket? I'm cold.
dekorieren(1)	Hilfst du mir, den Tisch für die Party zu dekorieren?	Will you help me decorate the table for the party?
denken(1)	Du lachst - was denkst du gerade?	You're laughing - what are you thinking about right now?
denken(2)	Ich denke, dass du recht hast.	I think that you're right.
denken(3)	Wir diskutieren gerade über das Rauchen. Wie denken Sie darüber?	We're currently discussing smoking. What do you think about it?
denken(4)	Denk bitte daran, die Heizung auszumachen.	Please remember to turn off the heater.
denken(5)	Es ist mir ganz egal, was die Leute von mir denken.	I don't care what people think of me.
denken(6)	Ich denke oft an meine Familie.	I often think about my family.
denken(7)	Ich hatte mir gedacht, dass wir zusammen fahren könnten.	I had thought that we could go together.
der Gedanke(1)	Ich muss zuerst meine Gedanken sammeln.	I need to collect my thoughts first.
der Gedanke(2)	Dein Hinweis bringt mich auf einen Gedanken.	Your suggestion gives me an idea.
der Gedanke(3)	Der Gedanke an das Unglück macht uns traurig.	The thought of the accident makes us sad.
der Gedanke(4)	Lass uns einen Ausflug machen, damit du auf andere Gedanken kommst.	Let's take a trip so you can get your mind off things.
der Gedanke(5)	Sie ist ganz in Gedanken versunken.	She is lost in thought.
das Denkmal(1)	In dieser Stadt gibt es viele berühmte Denkmäler.	There are many famous monuments in this city.
denn(1)	Ich lerne jetzt auch Portugiesisch, denn ich möchte nach Südamerika reisen.	I'm learning Portuguese now because I want to travel to South America.
denn(2)	Wie ist das Spiel denn ausgegangen?	How did the game go, then?
dass(1)	Rico hat mir gesagt, dass er auch zur Party kommt.	Rico told me that he's also coming to the party.
die Datei(1)	Wo hast du die Datei gespeichert?	Where did you save the file?
das Datum(1)	Welches Datum haben wir heute?	What's the date today?
das Datum(2)	Bitte Datum und Unterschrift nicht vergessen.	Please don't forget the date and signature.
das Datum(3)	Ich brauche noch ein paar Daten von Ihnen.	I still need some data from you.
die Daten(1)	Wir haben alle Ihre Daten im Computer.	We have all your data in the computer.
derselbe, dieselbe, dasselbe(1)	Mein Freund und ich gehen in dieselbe Schule.	My friend and I go to the same school.
deshalb(1)	Ich war krank. Deshalb war ich nicht im Büro.	I was sick. That's why I wasn't in the office.
das Dessert(1)	Nach dem Essen gab es noch ein leckeres Dessert.	After dinner, there was a delicious dessert.
deswegen(1)	Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.	I parked illegally, and that's why I got a ticket.
das Detail(1)	Dieses Detail ist unwichtig.	This detail is unimportant.
das Detail(2)	Ich habe alles bis ins kleinste Detail vorbereitet.	I've prepared everything down to the smallest detail.
deutlich(1)	Schreiben Sie bitte deutlich!	Please write clearly!
die Diät(1)	Ich möchte abnehmen. Deshalb mache ich eine Diät.	I want to lose weight, so I'm on a diet.
der Dialekt(1)	Ich verstehe dich besser, wenn du nicht Dialekt sprichst.	I understand you better when you don't speak dialect.
der Dialog(1)	Sie hören jetzt einen Dialog.	You are now listening to a dialogue.
dicht(1)	Unsere Fenster sind nicht dicht. Es zieht immer.	Our windows aren't sealed. There's always a draft.
dick(1)	Ich bin zu dick. Ich muss weniger essen.	I'm too fat. I need to eat less.
dick(2)	Die Wände sind hier sehr dick.	The walls here are very thick.
der Dieb(1)	Ein Dieb hat mir auf dem Markt die Tasche gestohlen.	A thief stole my bag at the market.
dienen(1)	Solche Kontakte dienen der Verbesserung der internationalen Beziehungen.	Such contacts serve to improve international relations.
dienen(2)	Dieser Raum dient als Aufenthaltsraum.	This room serves as a lounge.
dienen(3)	Er hat der Firma viele Jahre lang gedient.	He served the company for many years.
der Dienst(1)	Als Krankenschwester habe ich oft Frühdienst.	As a nurse, I often have early shifts.
der Dienst(2)	Morgen habe ich Dienst. Deshalb kann ich nicht kommen.	I have work tomorrow, so I can't come.
dies-(1)	Wohin fährst du dieses Jahr in Urlaub?	Where are you going on vacation this year?
dies-(2)	Welche Hose nehmen Sie? – Diese hier.	Which pants will you take? – These here.
diskutieren(1)	Wir haben lange diskutiert, wie wir das Büro einrichten sollen.	We discussed for a long time how to set up the office.
die Diskussion(1)	Im Fernsehen gab es eine Diskussion zum Thema Kinderbetreuung.	There was a discussion on TV about the topic of childcare.
die Distanz(1)	Diese Firma transportiert Waren auch über große Distanzen.	This company transports goods over long distances.
doch(1)	Isst du kein Fleisch? – Doch, manchmal schon.	Don't you eat meat? – Yes, sometimes I do.
doch(2)	Ich habe es mir anders überlegt. Ich komme doch mit in die Stadt.	I changed my mind. I'm coming to the city after all.
doch(3)	Ihr kommt doch heute Abend?	You're coming tonight, right?
doch(4)	Fragen Sie doch Herrn Müller, der ist Computerspezialist.	Just ask Mr. Müller, he's a computer specialist.
doch(5)	Ach, wenn doch schon Sonntag wäre!	Oh, if only it were Sunday already!
der Doktor(1)	Ist Frau Dr. Müller da?	Is Dr. Müller there?
der Doktor(2)	Meine Tochter ist krank. Wir gehen zum Doktor.	My daughter is sick. We're going to the doctor.
das Dokument(1)	Hast du alle Dokumente für die Anmeldung dabei?	Do you have all the documents for the registration with you?
das Dokument(2)	Dieser Stein ist ein wichtiges Dokument für die alte römische Kultur.	This stone is an important document of ancient Roman culture.
