german word	german sentence	english translation
eben(1)	Ich bin eben erst angekommen.	I just arrived.
eben(2)	Ich gebe auf. Ich habe eben kein Glück!	I give up. I just have no luck!
ebenfalls(1)	Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls.	I wish you a nice weekend. – Thank you, likewise.
ebenso(1)	Schöne Feiertage. – Danke, ebenso.	Happy holidays. – Thank you, likewise.
die e-card(1)	Haben Sie Ihre e-card dabei?	Do you have your e-card with you?
echt(1)	Ich träume von einem echten Perserteppich.	I dream of a real Persian rug.
echt(2)	Der Film war echt gut.	The movie was really good.
eilen(1)	Es eilt sehr. Bitte machen Sie schnell.	It’s very urgent. Please hurry.
eilen(2)	Es eilt sehr. Bitte machen Sie schnell.	It’s very urgent. Please hurry.
die Eile(1)	Ich bin sehr in Eile.	I am very rushed.
die Eile(2)	Das hat keine Eile.	That is not urgent.
eilig(1)	Hast du es eilig?	Are you in a hurry?
die ec-Karte/EC-Karte(1)	Bezahlen Sie bar? Sie können auch mit der ec-Karte zahlen.	Do you pay in cash? You can also pay with the EC card.
die Ecke(1)	Das Regal stellen wir hier in die Ecke.	We’ll put the shelf here in the corner.
die Ecke(2)	Das bekommen Sie im Kiosk an der Ecke.	You can get that at the kiosk at the corner.
die Ecke(3)	Wo ist die Apotheke? − Gleich um die Ecke.	Where is the pharmacy? − Just around the corner.
das Eck(1)	Das Regal stellen wir hier ins Eck.	We’ll put the shelf here in the corner.
das Eck(2)	Das bekommen Sie im Kiosk am Eck.	You can get that at the kiosk at the corner.
das Eck(3)	Wo ist die Apotheke? − Gleich ums Eck.	Where is the pharmacy? − Just around the corner.
eckig(1)	Ich möchte einen eckigen Tisch, keinen runden.	I want a square table, not a round one.
egal(1)	Es ist mir ganz egal, was die Leute denken.	I don’t care what people think.
egal(2)	Egal, wie das Wetter ist, ich gehe schwimmen.	No matter how the weather is, I will go swimming.
ein-(1)	Ich nehme ein Bier. Willst du auch eins?	I’ll have a beer. Do you want one too?
ein-(2)	Wir haben zu wenig Mitspieler. Wir brauchen noch einen.	We don’t have enough players. We need one more.
die Einbahnstraße(1)	Die Goethestraße ist jetzt eine Einbahnstraße.	Goethe Street is now a one-way street.
einbrechen(1)	Jemand ist in unsere Wohnung eingebrochen.	Someone broke into our apartment.
einbrechen(2)	Jemand ist in unsere Wohnung eingebrochen.	Someone broke into our apartment.
der Einbrecher(1)	Die Einbrecher haben nichts gestohlen.	The burglars didn’t steal anything.
die Einbrecherin(1)	Die Einbrecher haben nichts gestohlen.	The burglars didn’t steal anything.
der Einbruch(1)	In der Urlaubszeit gibt es viele Wohnungseinbrüche.	During the vacation season, there are many burglaries.
eindeutig(1)	Das Ergebnis ist eindeutig. Du hast gewonnen.	The result is clear. You won.
die Ehe(1)	Sie hat zwei Kinder aus erster Ehe.	She has two children from her first marriage.
die Ehefrau(1)	Wie heißt Ihre Ehefrau mit Vornamen?	What is your wife’s first name?
der Ehemann(1)	Wie heißt Ihre Ehefrau mit Vornamen?	What is your wife’s first name?
das Ehepaar(1)	Das Ehepaar unter uns hat zwei Kinder.	The couple below us has two children.
eher(1)	Ich stehe meist eher auf als mein Mann.	I usually get up earlier than my husband.
eher(2)	Michael sieht gerne Serien, ich mag eher Krimis.	Michael likes series, I prefer crime stories.
ehrlich(1)	Sie ist ein ehrlicher Mensch.	She is an honest person.
ehrlich(2)	Bitte sei in dieser Sache ehrlich.	Please be honest about this.
ehrlich(3)	Die Pause haben wir uns ehrlich verdient.	We honestly deserved the break.
das Ei(1)	Möchtest du zum Frühstück ein Ei?	Would you like an egg for breakfast?
eigen-(1)	Fast jedes Kind hat ein eigenes Zimmer.	Almost every child has their own room.
eigen-(2)	Manche Leute haben keine eigene Meinung.	Some people don’t have their own opinion.
eigentlich(1)	Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben.	We originally wanted to visit friends, but then we stayed at home.
eigentlich(2)	Die Sängerin nennt sich Arabella. Aber eigentlich heißt sie Uschi Müller.	The singer calls herself Arabella. But her real name is Uschi Müller.
eigentlich(3)	Was willst du eigentlich von mir?	What do you actually want from me?
sich eignen(1)	Dieses Hotel eignet sich besonders für Familien mit Kindern.	This hotel is particularly suitable for families with children.
der Eindruck(1)	Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck?	I find the people on the street quite unfriendly. What is your impression?
der Eindruck(2)	Ich glaube, ich habe bei dem Vorstellungsgespräch einen guten Eindruck gemacht.	I think I made a good impression at the job interview.
einerseits(1)	Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer.	On one hand, I would like to go on the trip, but on the other hand, it is too expensive.
einfach(1)	Hin und zurück? – Nein, bitte nur einfach.	Round trip? – No, just one way please.
einfach(2)	Ich verstehe das nicht. Kannst du das bitte einfacher sagen?	I don’t understand. Can you please say that more simply?
einfach(3)	Wir haben am Wochenende einen Ausflug gemacht. Es war einfach toll.	We went on an excursion over the weekend. It was simply great.
die Einfahrt(1)	Da parkt wieder jemand vor unserer Einfahrt.	Someone is parking in front of our driveway again.
die Einfahrt(2)	Können Sie nicht lesen: Einfahrt freihalten!	Can’t you read: Keep the driveway clear!
einfallen(1)	Mir ist wieder eingefallen, wie das Buch heißt.	I just remembered the name of the book.
einfallen(2)	Mir ist wieder eingefallen, wie das Buch heißt.	I just remembered the name of the book.
der Einfall(1)	Frag einfach meine Freundin. Sie hat immer gute Einfälle.	Just ask my friend. She always has good ideas.
der Einfluss(1)	Das Wetter hat Einfluss auf die Gesundheit der Menschen.	The weather has an impact on people’s health.
beeinflussen(1)	Dieses Ereignis hat die Wahlen beeinflusst.	This event influenced the elections.
einfügen(1)	Markieren Sie zuerst die Zeilen, dann „kopieren“ drücken und dann einfügen.	First select the lines, then press “copy” and then paste.
einführen(1)	Dürfen wir diese Ware ins Land einführen?	Are we allowed to import this goods into the country?
einführen(2)	Wir haben letztes Jahr ein neues System eingeführt.	We introduced a new system last year.
die Einführung(1)	Leider habe ich die Einführung des Kurses verpasst.	Unfortunately, I missed the introduction of the course.
der Eingang(1)	Das Gebäude hat zwei Eingänge.	The building has two entrances.
der Eingang(2)	Der Eingang ist um die Ecke.	The entrance is around the corner.
einheitlich(1)	Die Schüler dieser Schule tragen einheitliche Kleidung.	The students at this school wear uniform clothing.
einig-(1)	In diesem Bericht sind einige Fehler.	There are a few errors in this report.
einig-(2)	Das wird noch einige Zeit dauern.	This will take some time.
einig-(3)	Einige Leute sind für das Gesetz, aber viele sind auch dagegen.	Some people are for the law, but many are also against it.
sich einigen(1)	Jeder hat einen anderen Vorschlag. Wir können uns leider nicht einigen.	Everyone has a different suggestion. Unfortunately, we cannot agree.
einkaufen(1)	Wir gehen einmal pro Woche einkaufen.	We go shopping once a week.
der Einkauf(1)	Achten Sie beim Einkauf auf Sonderangebote.	Pay attention to special offers when shopping.
der Einkauf(2)	Ich habe alle Einkäufe erledigt. Jetzt können wir einen Kaffee trinken.	I have finished all the shopping. Now we can have a coffee.
das Einkommen(1)	Bei einem höheren Einkommen muss man mehr Steuern zahlen.	With a higher income, you have to pay more taxes.
einladen(1)	Darf ich Sie zum Essen einladen?	May I invite you to dinner?
die Einladung(1)	Danke für die Einladung.	Thank you for the invitation.
einmal(1)	Ich habe diese Oper leider nur einmal gesehen.	Unfortunately, I have only seen this opera once.
