german word	german sentence	english translation
die Gabel(1)	Wir brauchen bitte noch eine Gabel.	We need another fork, please.
die Galerie(1)	Diese Galerie ist sehr interessant.	This gallery is very interesting.
der Gang(1)	Wir warten draußen im Gang.	We are waiting outside in the corridor.
der Gang(2)	Schalten Sie bitte jetzt in den dritten Gang.	Please shift to the third gear now.
der Gang(3)	Was möchten Sie als ersten Gang? Suppe oder Salat?	What would you like as the first course? Soup or salad?
ganz(1)	Ich habe den ganzen Tag noch nichts gegessen.	I haven’t eaten anything the whole day.
ganz(2)	Den Zahnarzttermin habe ich ganz vergessen.	I completely forgot about the dentist appointment.
ganz(3)	Ich finde Janis ganz nett.	I find Janis quite nice.
ganz(4)	Am Montag ist hier Ruhetag. Das weiß ich ganz sicher.	Monday is a day off here. I know that for sure.
ganz(5)	Gott sei Dank ist meine Brille noch ganz.	Thank God my glasses are still intact.
gar(1)	Die Kartoffeln sind noch nicht gar.	The potatoes are not yet cooked.
gar(2)	Du räumst nie dein Zimmer auf. – Das ist gar nicht wahr.	You never clean your room. – That’s not true at all.
die Garage(1)	Hier ist eine Garage zu vermieten.	Here is a garage for rent.
garantieren(1)	Ich kann Ihnen nicht garantieren, dass das Gerät nächste Woche fertig ist.	I cannot guarantee that the device will be ready next week.
die Garantie(1)	Auf die Waschmaschine haben Sie ein Jahr Garantie.	You have a one-year warranty on the washing machine.
die Garderobe(1)	Die Mäntel bitte an der Garderobe abgeben.	Please leave your coats at the cloakroom.
die Garderobe(2)	Bitte, achten Sie auf Ihre Garderobe.	Please take care of your wardrobe.
der Garten(1)	Wir haben einen schönen großen Garten.	We have a beautiful large garden.
das Gas(1)	Wir kochen mit Gas.	We cook with gas.
das Gas(2)	Gib Gas! Die Ampel ist grün.	Step on it! The light is green.
der Gast(1)	Wir haben heute Abend Gäste.	We have guests this evening.
der Gast(2)	Der Gast hat sich über das Essen beschwert.	The guest complained about the food.
das Gasthaus(1)	Gehen wir noch in ein Gasthaus ein Bier trinken?	Shall we go to a guesthouse for a beer?
die Gaststätte(1)	Ich arbeite seit einem Monat in einer Gaststätte.	I have been working in a restaurant for a month.
das Gebäude(1)	In diesem Gebäude sind nur Büros.	This building only has offices.
geben(1)	Geben Sie mir bitte eine Quittung!	Please give me a receipt!
geben(2)	Können Sie mir etwas zum Schreiben geben?	Can you give me something to write with?
geben(3)	Der Arzt hat mir eine Spritze gegeben.	The doctor gave me an injection.
geben(4)	Was gibt es im Fernsehen?	What’s on TV?
geben(5)	Es gibt bald Regen.	It’s going to rain soon.
