german word	german sentence	english translation
immer(1)	Frau Bast kommt immer zu spät.	Ms. Bast always arrives late.
immer(2)	Mein Kollege liegt immer noch im Krankenhaus.	My colleague is still in the hospital.
immer(3)	Die Schmerzen werden immer schlimmer.	The pain is getting worse and worse.
der Import(1)	Im dritten Stock ist die Firma Schmidt & Co, Import und Export.	On the third floor is the company Schmidt & Co, Import and Export.
der Import(2)	Der Import von Zigaretten ist nur bis zu einer bestimmten Menge erlaubt.	The import of cigarettes is only allowed up to a certain amount.
in(1)	Ich wohne in Frankfurt.	I live in Frankfurt.
in(2)	Meine Wohnung ist im dritten Stock.	My apartment is on the third floor.
in(3)	Wollen wir heute ins Einkaufszentrum gehen?	Shall we go to the shopping center today?
in(4)	Rufen Sie bitte in fünf Minuten noch einmal an.	Please call back in five minutes.
in(5)	Im Mai war ich in Urlaub.	In May, I was on vacation.
in(6)	Wir sind in einer schwierigen Lage.	We are in a difficult situation.
in(7)	Meine Tochter kommt nächstes Jahr ins Gymnasium.	My daughter is going to high school next year.
indem(1)	Du kannst die Datei öffnen, indem du hier klickst.	You can open the file by clicking here.
individuell(1)	Die Lehrerin versucht, jedes Kind individuell zu fördern.	The teacher tries to support each child individually.
die Industrie(1)	In dieser Gegend gibt es viel Industrie.	There is a lot of industry in this area.
die Infektion(1)	Sie haben eine Infektion. Sie müssen Tabletten nehmen.	You have an infection. You need to take tablets.
informieren(1)	Wir informieren Sie rechtzeitig über die neuen Prüfungstermine.	We will inform you in good time about the new exam dates.
informieren(2)	Du musst dich vor der Reise genau über die Bedingungen informieren.	You need to inform yourself about the conditions before the trip.
die Information(1)	Bitte lesen Sie diese Informationen genau.	Please read this information carefully.
die Information(2)	Wenn Sie Fragen haben, gehen Sie zur Information.	If you have questions, go to the information desk.
der Ingenieur(1)	Hans will Bauingenieur werden.	Hans wants to become a civil engineer.
der Inhalt(1)	Geben Sie den Inhalt der Packung in einen Liter kochendes Wasser.	Add the contents of the package to one liter of boiling water.
ideal(1)	Eine Wohnung mit Garten wäre für uns ideal.	An apartment with a garden would be ideal for us.
die Idee(1)	Du willst ein Picknick machen? Ich finde die Idee toll.	You want to have a picnic? I think that’s a great idea.
illegal(1)	Ohne Steuerkarte zu arbeiten ist illegal. Wenn es herauskommt, musst du Strafe zahlen.	Working without a tax card is illegal. If it comes out, you have to pay a fine.
der Imbiss(1)	Es ist Zeit für einen kleinen Imbiss.	It’s time for a little snack.
inklusive(1)	Der Zimmerpreis ist inklusive Frühstück.	The room price includes breakfast.
innen(1)	Der Lichtschalter ist innen links.	The light switch is on the left inside.
inner- (1)	Wir müssen Sie untersuchen. Es kann sein, dass Sie innere Verletzungen haben.	We need to examine you. It’s possible that you have internal injuries.
innerhalb(1)	Diese Fahrkarte gilt nur innerhalb der Stadt.	This ticket is valid only within the city.
innerhalb(2)	Nach dem Umzug müssen Sie sich innerhalb einer Woche ummelden.	After moving, you must register within a week.
die Insel(1)	Ich würde dieses Mal gern auf einer Insel Ferien machen.	This time, I’d like to vacation on an island.
das Inserat(1)	Was kostet ein Inserat in der Zeitung?	How much does an ad in the newspaper cost?
insgesamt(1)	Insgesamt haben sich 20 Teilnehmer für die Prüfung angemeldet.	A total of 20 participants registered for the exam.
installieren(1)	Können Sie mir helfen, meinen Computer zu installieren?	Can you help me install my computer?
das Institut(1)	Ich besuche einen Sprachkurs in einem kleinen Sprachinstitut.	I’m taking a language course at a small language institute.
das Instrument(1)	Ich spiele Klavier. Spielen Sie auch ein Musikinstrument?	I play the piano. Do you play a musical instrument as well?
integrieren(1)	Sie ist schon sehr gut im Team integriert.	She is already very well integrated into the team.
integrieren(2)	Die Leute aus dem Ausland sollen besser integriert werden.	People from abroad should be better integrated.
die Integration(1)	Gute Deutschkenntnisse sollen bei der Integration helfen.	Good German skills should help with integration.
intelligent(1)	Maria ist sehr intelligent. Sie kann sehr gut rechnen.	Maria is very intelligent. She can calculate very well.
die Intelligenz(1)	Meine Kinder haben in der Schule einen Intelligenztest gemacht.	My children took an intelligence test at school.
intensiv(1)	Ich möchte intensiv Deutsch lernen.	I want to learn German intensively.
der Intensivkurs(1)	Der Intensivkurs findet täglich von 9 bis 12 Uhr statt.	The intensive course takes place daily from 9 to 12 o’clock.
interessieren(1)	Das Thema Kindererziehung interessiert mich sehr.	I am very interested in the topic of child-rearing.
interessieren(2)	Ich interessiere mich sehr für Fußball.	I am very interested in football.
interessant(1)	Ich habe einen interessanten Bericht gelesen.	I read an interesting report.
interessant(2)	Den Artikel über Brasilien finde ich sehr interessant.	I find the article about Brazil very interesting.
das Interesse(1)	Ich habe viele Interessen: Sport, Lesen, Handarbeit, Tanzen.	I have many interests: sports, reading, handicrafts, dancing.
interessiert(1)	Mein Nachbar zieht nächsten Monat aus. Sind Sie noch an der Wohnung interessiert?	My neighbor is moving out next month. Are you still interested in the apartment?
interkulturell(1)	Wir haben in der Sprachschule ein interkulturelles Fest gefeiert.	We celebrated an intercultural festival at the language school.
international(1)	Die Teilnehmenden in unserem Kurs sind ganz international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China …	The participants in our course are very international: Silvana comes from Italy, Conchi from Spain, Yin from China…
international(2)	Der Professor war international bekannt.	The professor was internationally known.
das Interview(1)	Ich habe im Fernsehen ein interessantes Interview mit zwei Schauspielern gesehen.	I saw an interesting interview with two actors on television.
inzwischen(1)	Herr Müller kommt gleich zurück. Sie können inzwischen in seinem Büro warten.	Mr. Müller will be back shortly. You can wait in his office in the meantime.
irgend- (1)	Was für einen Saft möchten Sie? – Ganz egal, irgendeinen.	What kind of juice would you like? – It doesn’t matter, any kind.
irgendwann(1)	Ich habe Sie irgendwann schon mal gesehen.	I have seen you at some point before.
sich irren(1)	Du irrst dich. Das Auto war nicht grün, sondern rot.	You are mistaken. The car was not green, but red.
sich irren(2)	Ich habe mich in der Hausnummer geirrt.	I made a mistake with the house number.

