ja(1)	Sind Sie verheiratet? – Ja.	Are you married? – Yes.
ja(2)	Hallo? – Ja, bitte? Wer spricht denn da?	Hello? – Yes, please? Who’s speaking?
ja(3)	Denk bitte daran, die Tür abzuschließen. – Ja, ja, mach´ ich.	Please remember to lock the door. – Yes, yes, I will.
ja(4)	Heute Morgen um fünf hat es geschneit. – Ja, wirklich?	It snowed at five this morning. – Yes, really?
ja(5)	Ich würde ja gern kommen, aber es geht wirklich nicht.	I would really like to come, but it’s just not possible.
ja(6)	Du weißt ja, dass ich kein Bier trinke. Gib mir bitte einen Tee.	You know I don’t drink beer. Please give me a tea.
ja(7)	Du bist hier in Berlin? – Das ist ja eine Überraschung.	You’re here in Berlin? – That’s a surprise.
ja(8)	Steige bitte ja nicht auf den Stuhl!	Please don’t climb on the chair!
die Jacke(1)	Zieh dir eine Jacke an. Es ist kalt.	Put on a jacket. It’s cold.
die Jause(1)	Es ist Zeit für eine kleine Jause.	It’s time for a little snack.
je(1)	Die Pullover kosten je nach Qualität zwischen 40 und 60 Euro.	The sweaters cost between 40 and 60 euros depending on quality.
je(2)	Fahren Sie im Juni oder im Juli? – Je nachdem, wann mein Mann Urlaub bekommt.	Are you traveling in June or July? – Depending on when my husband gets vacation.
je … desto …(1)	Je länger ich Deutsch lerne, desto besser kann ich es verstehen.	The longer I learn German, the better I can understand it.
die Jeans (Pl.)(1)	Nicht nur junge Leute tragen Jeans.	Not only young people wear jeans.
jeder, jedes, jede(1)	Das Restaurant hat jeden Tag geöffnet.	The restaurant is open every day.
jeder, jedes, jede(2)	Jedes Kind bekommt ein Spiel.	Every child gets a toy.
jeder, jedes, jede(3)	Die Prospekte bekommen Sie in jedem Reisebüro.	You can get the brochures at any travel agency.
jeder, jedes, jede(4)	Im Supermarkt gibt es keine Schmerztabletten. Das weiß doch jeder.	There are no painkillers in the supermarket. Everyone knows that.
jederzeit(1)	Sie können mich jederzeit anrufen.	You can call me anytime.
jedes Mal(1)	Inge erzählt die Geschichte jedes Mal anders.	Inge tells the story differently every time.
jedoch(1)	Sie ruft immer wieder an, jedoch ohne Erfolg.	She keeps calling, however without success.
jemals(1)	Hast du jemals von dem Problem gehört? – Nein, nie.	Have you ever heard of the problem? – No, never.
jemand(1)	Hat jemand einen Bleistift für mich?	Does anyone have a pencil for me?
jemand(2)	Kennst du jemand, der mir ein Fahrrad leihen kann?	Do you know someone who can lend me a bicycle?
jetzt(1)	Ich muss jetzt gehen.	I have to go now.
jetzt(2)	Bis jetzt hat alles gut geklappt.	So far, everything has gone well.
jetzt(3)	Ab jetzt werde ich wieder öfter ins Fitness-Studio gehen.	From now on, I will go to the gym more often.
jetzt(4)	Ich habe jetzt schon dreimal bei meinem Bruder angerufen. Aber er ist nie da.	I’ve already called my brother three times. But he is never there.
jetzt(5)	Über viele Dinge denke ich jetzt anders als früher.	I think differently about many things now than I did before.
jeweils(1)	Der Kurs findet jeweils montags und donnerstags um 18 Uhr statt.	The course takes place every Monday and Thursday at 6 PM.
der Journalist, -en(1)	Meine Tochter möchte Journalistin werden.	My daughter wants to become a journalist.
die Journalistin, -nen(1)	Meine Tochter möchte Journalistin werden.	My daughter wants to become a journalist.
die Jugend(1)	In meiner Jugend habe ich mich sehr für Musik interessiert.	In my youth, I was very interested in music.
der Jugendliche, -n(1)	Die Jugendlichen gehen gerne in die Disco.	The teenagers like to go to the disco.
der Jugendliche, -nen(2)	Der Eintritt ist für Kinder und Jugendliche bis 16 Jahre frei.	Admission is free for children and teenagers up to 16 years old.
die Jugendherberge, -n(1)	Wo habt ihr übernachtet? – In einer Jugendherberge.	Where did you stay overnight? – In a youth hostel.
jung(1)	Für diesen Film bist du noch zu jung.	You are still too young for this movie.
jung(2)	Meine Mutter ist jung geblieben.	My mother has stayed young.
jung(3)	Claudia ist 21. – Was? Noch so jung?	Claudia is 21. – What? Still so young?
jung(4)	Ich habe sehr jung geheiratet.	I got married very young.
jung(5)	Bei uns im Haus wohnen viele junge Leute.	Many young people live in our house.
jung(6)	Mein Bruder ist zehn Jahre jünger als ich.	My brother is ten years younger than me.
jung(7)	Ich bin in unserer Familie die Jüngste.	I am the youngest in our family.
der Junge, -n(1)	In der Schulklasse sind 15 Jungen und 10 Mädchen.	In the class, there are 15 boys and 10 girls.

