german word	german sentence	english translation
das Kabel(1)	Wo ist das Kabel für das Aufnahmegerät?	Where is the cable for the recording device?
das Kabel(2)	Mit Kabel bekommen Sie über 30 Fernsehkanäle.	With a cable, you get over 30 TV channels.
die Kabine(1)	Um zu wählen, gehen Sie bitte in diese Kabine.	To make a call, please go to this booth.
der Kaffee(1)	Bring bitte noch eine Packung Kaffee mit.	Please bring another pack of coffee.
der Kaffee(2)	Zum Frühstück trinke ich gerne Kaffee.	I like to drink coffee for breakfast.
der Kaffee(3)	Wir sind bei Müllers zum Kaffee eingeladen.	We are invited to the Müllers’ for coffee.
der Kaffee(4)	Einen Kaffee, bitte.	A coffee, please.
das Kaffeehaus(1)	Hier in der Nähe ist ein Kaffeehaus.	There is a coffee house nearby.
der Kakao(1)	Zum Frühstück trinke ich immer einen Kakao.	I always drink cocoa for breakfast.
der Kalender(1)	Ich habe den Termin in meinem Kalender notiert.	I noted the appointment in my calendar.
der Kalender(2)	Haben Sie am Montag Zeit? – Moment. Ich muss erst in meinem Terminkalender nachschauen.	Do you have time on Monday? – Hold on. I need to check my calendar first.
kalt(1)	Es ist kalt heute.	It’s cold today.
kalt(2)	Du hast ja ganz kalte Hände.	Your hands are really cold.
kalt(3)	Das Mittagessen ist kalt geworden.	The lunch has gone cold.
kalt(4)	Abends essen wir immer kalt.	In the evening, we always eat cold food.
kalt(5)	Wir hatten einen kalten Winter.	We had a cold winter.
kalt(6)	Mir ist kalt. Mach bitte die Heizung an.	I’m cold. Please turn on the heating.
kalt(7)	Bei dieser Kälte fahre ich nicht mit dem Fahrrad.	In this cold, I’m not riding a bike.
die Kälte(1)	Bei dieser Kälte fahre ich nicht mit dem Fahrrad.	In this cold, I’m not riding a bike.
die Kamera, -s(1)	Ich habe eine ganz neue Kamera.	I have a brand new camera.
kämpfen, kämpft, kämpfte, hat gekämpft(1)	Die Frauen kämpfen für mehr Rechte.	The women are fighting for more rights.
der Kampf, ¨-e(1)	Im Schulbus gibt es immer einen Kampf um die Sitzplätze.	There’s always a fight for seats on the school bus.
der Kanal, ¨-e(1)	Mit Kabel bekommen Sie über 30 Fernsehkanäle.	With a cable, you get over 30 TV channels.
der Kandidat, -en(1)	Wie viele Kandidaten kommen zur Prüfung?	How many candidates are coming for the exam?
die Kanne, -n(1)	Das ist aber eine schöne Teekanne. – Ja, die ist aus China.	That’s a nice teapot. – Yes, it’s from China.
die Kanne(2)	Bitte einen Kaffee! – Eine Tasse oder ein Kännchen?	A coffee, please! – A cup or a pot?
die Kantine, -n(1)	In unserer Kantine kann man günstig essen.	You can eat cheaply in our cafeteria.
das Kapitel, -(1)	Die Lehrerin hat gesagt, wir sollen zwei Kapitel im Buch wiederholen.	The teacher said we should review two chapters in the book.
kaputt(1)	Unsere Waschmaschine ist kaputt.	Our washing machine is broken.
kaputt(2)	Ich bin noch ganz kaputt von der Reise.	I’m still completely exhausted from the trip.
kaputtgehen(1)	Pass bitte mit diesem Glas auf. Es geht leicht kaputt.	Please be careful with this glass. It can break easily.
kaputtgehen(2)	Der Fernseher ist gestern kaputtgegangen.	The TV broke yesterday.
der Käufer, -(1)	Ich habe schon einen Käufer für den alten Tisch.	I already have a buyer for the old table.
die Käuferin, -nen(1)	Ich habe schon eine Käuferin für den alten Tisch.	I already have a female buyer for the old table.
kaum(1)	Ich kann Sie kaum verstehen. Bitte sprechen Sie lauter.	I can hardly understand you. Please speak louder.
kaum(2)	Es hat letzte Woche kaum geregnet.	It hardly rained last week.
kaum(3)	Die Fahrt hat nicht lange gedauert. Kaum 20 Minuten.	The trip didn’t take long. Only about 20 minutes.
kaputtmachen(1)	Wer hat die Lampe kaputtgemacht?	Who broke the lamp?
der Karneval, -s/-e(1)	Dort hängt mein Kostüm für den Karnevals(um)zug.	My costume for the carnival parade is hanging there.
die Karotte, -n(1)	Hasen fressen gern Karotten.	Rabbits like to eat carrots.
die Karriere, -n(1)	Mein Bruder hat große Pläne. Er will Karriere machen.	My brother has big plans. He wants to build a career.
die Karte, -n(1)	Schreibst du mir eine Karte aus dem Urlaub?	Will you send me a postcard from your vacation?
die Karte(2)	Diese Karte gilt nur für die 2. Klasse.	This ticket is only valid for second class.
die Karte(3)	Hast du schon die Karten für das Konzert abgeholt?	Have you already picked up the tickets for the concert?
die Karte(4)	Haben Sie eine Karte von Norddeutschland?	Do you have a map of Northern Germany?
die Karte(5)	Herr Ober, bitte die Speisekarte.	Waiter, please bring the menu.
die Karte(6)	Spielen Sie Karten?	Do you play cards?
kein-(1)	Ich habe leider heute keine Zeit.	Unfortunately, I have no time today.
kein-(2)	Jetzt habe ich noch keinen Hunger.	I’m not hungry yet.
kein-(3)	Ich habe keine Kinder.	I don’t have any children.
kein-(4)	Was für ein Auto haben Sie? – Ich habe keins.	What kind of car do you have? – I don’t have one.
der Keller, -(1)	Unser Keller ist nicht besonders groß.	Our cellar is not very big.
der Kellner, -(1)	Ich bin Kellnerin von Beruf.	I am a waitress by profession.
die Kellnerin, -nen(1)	Ich bin Kellnerin von Beruf.	I am a waitress by profession.
kennen, kennt, kannte, hat gekannt(1)	Kennen Sie hier in der Nähe ein gemütliches Café?	Do you know a cozy café nearby?
kennen, kennt, kannte, hat gekannt(2)	Kennen Sie diese Frau? – Nein, leider nicht.	Do you know this woman? – No, unfortunately not.
kennen, kennt, kannte, hat gekannt(3)	Kennen Sie Berlin? – Ja, eine tolle Stadt.	Do you know Berlin? – Yes, it’s a great city.
kennenlernen, lernt kennen, lernte kennen, hat kennengelernt(1)	Wo habt ihr euch kennengelernt?	Where did you meet?
kennenlernen, lernt kennen, lernte kennen, hat kennengelernt(2)	Ich möchte gern reisen und andere Länder kennenlernen.	I would like to travel and get to know other countries.
die Chipkarte, -n(1)	Ich habe eine Chipkarte für diesen Automaten.	I have a chip card for this machine.
die Fahrkarte, -n(1)	Fahrkarten können Sie am Schalter kaufen.	You can buy tickets at the counter.
die Kartoffel, -n(1)	Kann ich bitte noch Kartoffeln bekommen?	Can I please have more potatoes?
der Käse(1)	Möchtest du Käse aufs Brot?	Do you want cheese on the bread?
die Kasse, -n(1)	Zahlen Sie bitte an der Kasse.	Please pay at the cash register.
die Kassette, -n(1)	Meine Eltern besitzen noch viele Musikkassetten.	My parents still have many music cassettes.
der Kasten, ¨- (D) → Kiste (A, D)(1)	Ich habe zwei Kästen Bier gekauft.	I bought two cases of beer.
der Kasten, ¨- (A, CH) → D, CH: Schrank(2)	Die Handtücher liegen im Kasten.	The towels are in the cupboard.
der Katalog, -e(1)	Ich habe mir ein Kleid aus dem Katalog bestellt.	I ordered a dress from the catalog.
die Katastrophe, -n(1)	Der Urlaub war eine Katastrophe. Es hat nur geregnet.	The vacation was a disaster. It rained the whole time.
(sich etwas) kaufen, kauft, kaufte, hat gekauft(1)	Im Supermarkt kauft man sehr günstig ein.	You can shop very cheaply at the supermarket.
(sich etwas) kaufen, kauft, kaufte, hat gekauft(2)	Ich habe mir einen Pullover gekauft.	I bought myself a sweater.
die Kenntnisse (Pl.)(1)	In vielen Berufen braucht man heute Sprachkenntnisse.	In many professions today, you need language skills.
die Kenntnisse (Pl.)(2)	Ich möchte meine Deutschkenntnisse verbessern.	I want to improve my German skills.
das Kennzeichen, -(1)	Das Auto hat ein Schweizer Kennzeichen.	The car has a Swiss license plate.
die Kerze, -n(1)	Für den Geburtstagstisch brauchen wir viele Blumen und Kerzen.	We need many flowers and candles for the birthday table.
die Kette, -n(1)	Ich habe zum Geburtstag eine goldene Kette bekommen.	I received a gold necklace for my birthday.
das Kind, -er(1)	Mein Bruder hat zwei Kinder.	My brother has two children.
das Kind, -er(2)	Wir haben ein Kind bekommen.	We had a child.
das Kind, -er(3)	Die Kinder spielen Fußball.	The children are playing soccer.
der Kindergarten, ¨- (1)	Morgens bringe ich meinen Sohn in den Kindergarten.	In the morning, I take my son to kindergarten.
die Kindheit(1)	In meiner Kindheit war ich oft auf dem Land bei meinen Großeltern.	In my childhood, I was often in the countryside with my grandparents.
das Kino, -s(1)	Wollen wir ins Kino gehen?	Do you want to go to the movies?
der Kiosk, -e(1)	Zeitungen bekommst du am Kiosk.	You can get newspapers at the kiosk.
die Kirche, -n(1)	Diese Kirche ist aus dem 12. Jahrhundert.	This church is from the 12th century.
der Kauf(1)	Der neue Esstisch war ein guter Kauf.	The new dining table was a good purchase.
die Kiste, -n (A, D) → D: Kasten(1)	Ich habe zwei Kisten Bier gekauft.	I bought two crates of beer.
das Kissen, -(1)	Ohne Kopfkissen kann ich nicht schlafen.	I can’t sleep without a pillow.
klagen, klagt, klagte, hat geklagt(1)	Sie klagt über Kopfschmerzen.	She is complaining about a headache.
klappen, klappt, klappte, hat geklappt(1)	Wie war die Reise? – Gut. Es hat alles prima geklappt.	How was the trip? – Good. Everything worked out perfectly.
klar(1)	Sie müssen noch mehr Deutsch lernen. – Ja, das ist mir klar.	You need to learn more German. – Yes, I’m aware of that.
klar(2)	Kommst du mit? – Klar!	Are you coming along? – Of course!
klar(3)	Ich komme zu deinem Geburtstag, das ist doch klar.	I’m coming to your birthday, that’s clear.
klar(4)	Leider haben wir bei der Bahn keine klare Auskunft bekommen.	Unfortunately, we didn’t get a clear answer from the train company.
klingeln, klingelt, klingelte, hat geklingelt(1)	Ich glaube, es hat an der Tür geklingelt.	I think someone rang the doorbell.
klingeln, klingelt, klingelte, hat geklingelt(2)	Das Telefon klingelt. Drück bitte auf die Klingel!	The phone is ringing. Please press the bell.
die Klingel, -n(1)	Das Telefon klingelt. Drück bitte auf die Klingel!	The phone is ringing. Please press the bell.
klingen, klingt, klang, hat geklungen(1)	Wollen wir einkaufen gehen und danach zusammen kochen? – Ja, das klingt gut.	Do you want to go shopping and then cook together? – Yes, that sounds good.
die Klinik, -en(1)	Ich muss in die Klinik, um meinen kranken Onkel zu besuchen.	I need to go to the clinic to visit my sick uncle.
klopfen, klopft, klopfte, hat geklopft(1)	Da klopft jemand ans Fenster.	Someone is knocking on the window.
klopfen, klopft, klopfte, hat geklopft(2)	Hat es nicht eben geklopft?	Didn’t someone just knock?
der Kloß, ¨-e (D) → D, A: Knödel(1)	Möchten Sie zum Fleisch Kartoffeln oder Klöße? – Klöße, bitte.	Would you like potatoes or dumplings with the meat? – Dumplings, please.
