german word	german sentence	english translation
lächeln, lächelt, lächelte, hat gelächelt(1)	Er lächelte, als er die gute Nachricht hörte.	He smiled when he heard the good news.
lächeln, lächelt, lächelte, hat gelächelt(2)	Beim Empfang haben wir uns alle gelächelt.	At the reception, we all smiled.
lachen, lacht, lachte, hat gelacht(1)	Lachen ist gesund.	Laughter is healthy.
lachen, lacht, lachte, hat gelacht(2)	Wir haben viel gelacht.	We laughed a lot.
lachen, lacht, lachte, hat gelacht(3)	Die Kinder haben über den Witz gelacht.	The children laughed at the joke.
der Laden, ¨- (1)	Dieses Kleid habe ich in einem Laden im Zentrum gekauft.	I bought this dress in a shop in the city center.
der Laden, ¨- (2)	Ich kaufe meine Zeitung immer beim Zeitungsladen am Eck.	I always buy my newspaper at the newsagent on the corner.
die Lage(1)	Wir suchen eine Wohnung an/in zentraler Lage.	We are looking for an apartment in a central location.
das Lager, - (1)	Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach.	I don’t know if we have this shoe in your size. I’ll check in the stockroom.
das Lager, - (2)	Unsere Kinder fahren im Sommer ins Zeltlager.	Our children go to camp in the summer.
die Lampe, -n(1)	Ich habe mir eine neue Lampe gekauft.	I bought a new lamp.
die Lampe, -n(2)	Mach doch bitte die Lampe an. Es ist so dunkel hier.	Please turn on the lamp. It’s so dark in here.
das Land, ¨-er(1)	Deutschland ist ein schönes Land.	Germany is a beautiful country.
das Land, ¨-er(2)	Möchten Sie lieber auf dem Land oder in der Stadt wohnen?	Would you prefer to live in the countryside or in the city?
das Land, ¨-er(3)	Wir haben ein Stück Land gekauft und wollen dort bauen.	We bought a piece of land and want to build there.
das Land, ¨-er(4)	In welchen Ländern warst du schon?	In which countries have you been?
die Landwirtschaft(1)	Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.	Most people in the countryside work in agriculture.
die Landschaft, -en(1)	Die Landschaft ist sehr hügelig.	The landscape is very hilly.
landen, landet, landete, ist gelandet(1)	Wir sind erst um 20 Uhr in München gelandet.	We landed in Munich only at 8 PM.
landen, landet, landete, ist gelandet(2)	Wegen starken Nebels konnte die Maschine nicht in Frankfurt landen.	Due to thick fog, the plane couldn’t land in Frankfurt.
die Landung, -en(1)	Bei der Landung müssen Sie sich anschnallen.	You need to fasten your seatbelt during landing.
lang(1)	Der Teppich ist 3 m lang und 2 m breit.	The carpet is 3 meters long and 2 meters wide.
lang(2)	Meine Schwester hat mir einen langen Brief geschrieben.	My sister wrote me a long letter.
lang(3)	Die Hose ist zu lang. Können Sie sie kürzer machen?	The pants are too long. Can you make them shorter?
die Länge(1)	Mein Schreibtisch hat folgende Maße: Länge 1.20 m, Breite: 0,85 m, Höhe: 0,75 m.	My desk has the following dimensions: length 1.20 m, width 0.85 m, height 0.75 m.
lange, lang(1)	Wie lange dauert die Fahrt von Hamburg nach Berlin?	How long does it take to drive from Hamburg to Berlin?
lange, lang(2)	Wie lange bist du schon in Deutschland?	How long have you been in Germany?
lange, lang(3)	Wartest du schon lange?	Have you been waiting long?
lange, lang(4)	Wir sind noch lange nicht fertig mit der Arbeit.	We are still far from finished with the work.
lange, lang(5)	Wir haben lange gefrühstückt.	We had a long breakfast.
lange, lang(6)	Beim Arzt muss man oft lange warten.	At the doctor’s office, you often have to wait a long time.
lange, lang(7)	Ich komme gleich. Es dauert nicht lange.	I’ll be right there. It won’t take long.
langsam(1)	Könnten Sie bitte etwas langsamer sprechen?	Could you please speak a bit slower?
langsam(2)	Es wird langsam kalt. Es wird Herbst.	It’s slowly getting cold. It’s turning autumn.
längst(1)	Wann reparierst du die Heizung? – Die habe ich schon längst repariert.	When will you repair the heating? – I repaired it a long time ago.
langweilig(1)	Der Film war sehr langweilig.	The movie was very boring.
sich langweilen, langweilt sich, langweilte sich, hat sich gelangweilt(1)	Langweilst du dich?	Are you bored?
die Langeweile(1)	Es ist aus Langeweile eingeschlafen.	It fell asleep out of boredom.
der Lärm(1)	Die Flugzeuge machen einen schrecklichen Lärm.	The airplanes make a terrible noise.
lassen, lässt, ließ, hat gelassen(1)	Ich habe mein Gepäck am Bahnhof gelassen.	I left my luggage at the station.
lassen, lässt, ließ, hat gelassen(2)	Am Samstag lasse ich mir die Haare schneiden.	On Saturday, I will have my hair cut.
lassen, lässt, ließ, hat gelassen(3)	Ich lasse meine Kinder abends nur eine Stunde fernsehen.	I let my children watch TV for only an hour in the evening.
lassen, lässt, ließ, hat gelassen(4)	Kann ich mein Auto hier stehen lassen?	Can I leave my car parked here?
lassen, lässt, ließ, hat gelassen(5)	Wo habe ich nur meine Brille gelassen?	Where did I leave my glasses?
lassen, lässt, ließ, hat gelassen(6)	Ich habe meinen Anzug reinigen lassen.	I had my suit cleaned.
lassen, lässt, ließ, hat gelassen(7)	Ich kann meine kleine Tochter noch nicht allein lassen.	I can’t leave my little daughter alone yet.
lassen, lässt, ließ, hat gelassen(8)	Lass mich in Ruhe. Ich muss arbeiten.	Leave me alone. I have to work.
der Laster, - (1)	Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.	There were so many trucks on the highway. That’s why it took so long.
laufen, läuft, lief, ist gelaufen(1)	Ich bin gestern 100 m in 10,4 Sekunden gelaufen.	I ran 100 meters in 10.4 seconds yesterday.
laufen, läuft, lief, ist gelaufen(2)	Bist du mit dem Auto hier? – Nein, ich bin gelaufen.	Did you come by car? – No, I walked.
laufen, läuft, lief, ist gelaufen(3)	Jeden Morgen gehe ich eine halbe Stunde laufen.	Every morning, I go for a run for half an hour.
laufen, läuft, lief, ist gelaufen(4)	Wann läuft der Film?	When does the movie start?
