german word	german sentence	english translation
nach(1)	Ich fahre morgen nach Hamburg.	I am going to Hamburg tomorrow.
nach(2)	Ich muss jetzt nach Hause.	I need to go home now.
nach(3)	Wir treffen uns nach dem Essen.	We will meet after the meal.
nach(4)	Es ist schon nach acht. Wir müssen uns beeilen.	It is already past eight. We need to hurry.
der Nachbar, -n, die Nachbarin, -nen	Meine neue Nachbarin ist sehr nett.	My new neighbor is very nice.
nachdem(1)	Nachdem wir gegessen hatten, sind wir spazieren gegangen.	After we had eaten, we went for a walk.
nachdenken, denkt nach, dachte nach, hat nachgedacht(1)	Ich weiß nicht, was ich machen soll. Ich muss nachdenken.	I don't know what to do. I need to think.
nachdenken, denkt nach, dachte nach, hat nachgedacht(2)	Ich habe über deine Vorschläge nachgedacht.	I thought about your suggestions.
die Nachfrage, -n(1)	Die Nachfrage für dieses Produkt ist groß.	The demand for this product is high.
nachher(1)	Ich rufe nachher nochmal an.	I will call again later.
die Nachhilfe, -n(1)	Der Schüler braucht Nachhilfe in Mathematik.	The student needs tutoring in math.
die Nachricht, -en(1)	Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden.	I have good news for you. You passed the exam.
die Nachricht, -en(2)	Ich habe im Radio die Nachrichten gehört.	I heard the news on the radio.
die Nachricht, -en(3)	Im Moment bin ich nicht zu Hause. Aber Sie können eine Nachricht hinterlassen.	At the moment, I am not at home. But you can leave a message.
nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen(1)	Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.	I don't know the word. You need to look it up in the dictionary.
die Nachspeise, -n (D, A) → Dessert(1)	Nach dem Essen gab es noch eine leckere Nachspeise.	After the meal, there was a delicious dessert.
nächst-(1)	Wo ist hier die nächste Apotheke?	Where is the nearest pharmacy?
nächst-(2)	Rufen Sie bitte nächste Woche noch einmal an.	Please call again next week.
nächst-(3)	Wann fährt der nächste Zug nach Frankfurt?	When does the next train to Frankfurt leave?
nächst-(4)	Wer ist der Nächste bitte?	Who is next, please?
der Nachteil, -e(1)	Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.	One disadvantage of the apartment is that it is not centrally located.
der Nachwuchs(1)	Der Nachwuchs bei Forschern soll gefördert werden.	The next generation of researchers should be supported.
der Nachwuchs(2)	Die Katze hat Nachwuchs bekommen.	The cat had kittens.
die Nadel, -n(1)	Hast du eine Nadel für mich? Ich muss einen Knopf annähen.	Do you have a needle for me? I need to sew on a button.
der Nagel, ¨-(1)	Kannst du mir den Nagel in die Wand schlagen?	Can you hammer the nail into the wall?
der Nagel, ¨-(2)	Ich muss mir die Fingernägel schneiden.	I need to cut my fingernails.
nah(e)(1)	Wie weit ist es zum Bahnhof? – Das ist ganz nah, nur zwei Minuten von hier.	How far is it to the train station? – It’s very close, just two minutes from here.
die Nähe(1)	Die Post ist ganz in der Nähe vom Bahnhof.	The post office is very close to the train station.
nähen, näht, nähte, hat genäht(1)	Meine Mutter näht ihre Kleider selbst.	My mother sews her clothes herself.
nähen, näht, nähte, hat genäht(2)	Wir müssen die Wunde nähen.	We need to sew the wound.
sich nähern, nähert sich, näherte sich, hat sich genähert(1)	Er nähert sich dem Unfallort ganz langsam.	He is approaching the accident site very slowly.
das Nahrungsmittel, -(1)	In diesen Ländern fehlen vor allem Nahrungsmittel.	These countries are especially lacking in food.
der Name, -n(1)	Wie ist Ihr Name?	What is your name?
der Name, -n(2)	An den Namen kann ich mich nicht mehr erinnern.	I can’t remember the name.
der Familienname, -n(1)	Ludin ist mein Familienname.	Ludin is my last name.
der Vorname, -n(1)	Mein Vorname ist Thomas.	My first name is Thomas.
nämlich(1)	Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.	I am sorry, but I have to leave. I actually have a dentist appointment.
die Nase, -n(1)	Haben Sie Nasentropfen? Ich bin stark erkältet.	Do you have nasal drops? I have a severe cold.
nass(1)	Es hat schrecklich geregnet. Ich bin ganz nass geworden.	It rained terribly. I got completely wet.
nass(2)	Geh nicht mit den nassen Schuhen ins Wohnzimmer.	Don’t go into the living room with wet shoes.
national/national-(1)	Das ist ein nationaler Wettbewerb.	This is a national competition.
national/national-(2)	Die Nationalmannschaft ist ziemlich stark.	The national team is quite strong.
die Natur(1)	Ich bin gern draußen in der Natur.	I like being outside in nature.
natürlich(1)	Natürlich helfen wir dir.	Of course, we will help you.
natürlich(2)	Kommst du auch wirklich zu meiner Party? – Natürlich.	Are you really coming to my party? – Of course.
der Nebel, -(1)	Wegen Nebels konnten wir gestern nicht in Frankfurt landen.	Because of the fog, we could not land in Frankfurt yesterday.
der Nebel, -(2)	Fahren Sie bei Nebel besonders vorsichtig!	Drive especially carefully in fog.
neblig(1)	Fahr vorsichtig! Es ist neblig.	Drive carefully! It is foggy.
neben(1)	Neben mir ist noch ein Platz frei.	There is still a seat free next to me.
neben(2)	Darf ich mich neben dich setzen?	May I sit next to you?
neben(3)	Die Apotheke ist gleich links neben der Post.	The pharmacy is just left of the post office.
nebenan(1)	Das ist José, er wohnt nebenan.	This is José, he lives next door.
nebenbei(1)	Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe.	My friend studies history. And on the side, he works in a pub.
nebenbei(2)	Ich mache die Hausarbeit und nebenbei höre ich Radio.	I am doing the housework and listening to the radio at the same time.
der Neffe, -n(1)	Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.	My sister has two children. My nephews are three and five years old.
negativ(1)	Du solltest nicht alles negativ sehen.	You shouldn’t see everything negatively.
nehmen, nimmt, nahm, hat genommen(1)	Was möchten Sie? – Ich nehme einen Salat.	What would you like? – I’ll have a salad.
nehmen, nimmt, nahm, hat genommen(2)	Nehmen Sie die Tabletten vor dem Essen!	Take the tablets before eating!
nehmen, nimmt, nahm, hat genommen(3)	Wer hat die Flasche aus dem Kühlschrank genommen?	Who took the bottle from the fridge?
nehmen, nimmt, nahm, hat genommen(4)	Sollen wir ein Taxi nehmen?	Should we take a taxi?
nehmen, nimmt, nahm, hat genommen(5)	In diesem Jahr kann ich meinen Urlaub erst im Oktober nehmen.	This year, I can only take my vacation in October.
nein(1)	Noch ein Bier? – Nein, danke.	Another beer? – No, thank you.
nein(2)	Kommst du auch mit nach München? – Nein, ich habe keine Zeit.	Are you coming to Munich too? – No, I don’t have time.
nennen, nennt, nannte, hat genannt(1)	Mein Freund heißt Alexander, aber alle nennen ihn Alex.	My friend’s name is Alexander, but everyone calls him Alex.
nennen, nennt, nannte, hat genannt(2)	Wie nennt man dieses Gerät?	What do you call this device?
der Nerv, -en(1)	Er leidet an einer Nervenkrankheit.	He suffers from a nerve disease.
der Nerv, -en(2)	Mach bitte das Radio aus. Die Musik geht mir auf die Nerven.	Please turn off the radio. The music is getting on my nerves.
nervös(1)	Das Warten macht mich ganz nervös.	The waiting makes me very nervous.
nervös(2)	Bei Prüfungen bin ich immer sehr nervös.	I am always very nervous during exams.
nett(1)	Die Leute sind hier sehr nett.	The people here are very nice.
nett(2)	Ich habe viele nette Kollegen.	I have many nice colleagues.
nett(3)	Vielen Dank! Das ist sehr nett von Ihnen.	Thank you very much! That is very kind of you.
nett(4)	Die Nachbarn waren sehr nett zu uns.	The neighbors were very nice to us.
das Netz, -e(1)	Bitte bring ein Netz Orangen.	Please bring a net of oranges.
das Netz, -e(2)	Der Ball berührte das Netz.	The ball touched the net.
das Netz, -e(3)	Seid ihr schon ans Netz angeschlossen?	Have you already connected to the network?
das Netzwerk, -e(1)	Soziale Netzwerke sind wichtig.	Social networks are important.
das Netzwerk, -e(2)	Das Telefonnetzwerk wird ständig erweitert.	The telephone network is constantly being expanded.
neu(1)	Mein Wagen ist noch ganz neu.	My car is still brand new.
neu(2)	Wir haben eine neue Wohnung.	We have a new apartment.
neu(3)	Man darf hier nicht mehr rauchen? Das ist mir ganz neu.	You can’t smoke here anymore? That’s new to me.
die Neuigkeit, -en(1)	In dieser Sache gibt es keine Neuigkeiten.	There are no news on this matter.
neugierig(1)	Die Nachbarn sind ziemlich neugierig.	The neighbors are quite curious.
neulich(1)	Ich war neulich bei der Bank und habe einen alten Freund getroffen.	I was at the bank recently and met an old friend.
nicht(1)	Zigarette? - Danke, ich rauche nicht.	Cigarette? - No, thank you, I don’t smoke.
nicht(2)	Wie geht es dir? – Nicht so gut.	How are you? – Not so well.
nicht(3)	Das Essen in der Kantine ist gar nicht schlecht.	The food in the canteen is not bad at all.
nicht(4)	Du kommst immer zu spät! - Das stimmt nicht.	You always come late! - That’s not true.
die Nichte, -n(1)	Die Tasche ist ein Geschenk von meiner Nichte.	The bag is a gift from my niece.
der Nichtraucher, -(1)	In unserer Familie sind alle Nichtraucher.	In our family, everyone is a non-smoker.
der Nichtraucher, -(2)	Möchten Sie einen Tisch im Nichtraucherbereich?	Would you like a table in the non-smoking area?
nichts(1)	Ich habe noch nichts gegessen.	I haven’t eaten anything yet.
nichts(2)	Ich weiß auch nichts Genaues.	I don’t know anything specific.
nichts(3)	Ich habe nichts zum Schreiben dabei.	I don’t have anything to write with.
nichts(4)	Entschuldigung! – Das macht nichts.	Sorry! – That’s alright.
nie(1)	Der Chef ist nie da.	The boss is never here.
nie(2)	Warum bist du nie zufrieden?	Why are you never satisfied?
nie(3)	Bis morgen Abend schaffe ich die Arbeit nie.	I won’t finish the work by tomorrow evening.
nie(4)	Ich gehe nie wieder in dieses Restaurant.	I will never go to this restaurant again.
niedrig(1)	Die Räume hier sind mir zu niedrig.	The rooms here are too low for me.
niedrig(2)	Für die Jahreszeit sind die Temperaturen zu niedrig.	For the season, the temperatures are too low.
niedrig(3)	Die Firma zahlt sehr niedrige Löhne.	The company pays very low wages.
niemand(1)	Ich habe geklingelt. Aber es war niemand zu Hause.	I rang the bell, but there was no one at home.
nirgends(1)	Ich kann die Quittung nirgends finden.	I can’t find the receipt anywhere.
nirgends(2)	Hier kann man nirgends parken.	You can’t park anywhere here.
nirgendwo(1)	Die Schlüssel kann ich nirgendwo finden.	I can’t find the keys anywhere.
noch(1)	Mein Bruder geht noch zur Schule.	My brother is still in school.
noch(2)	Bist du fertig? – Nein, noch nicht ganz.	Are you finished? – No, not quite yet.
noch(3)	Haben Sie noch einen Wunsch? – Ja, bitte noch ein Bier.	Do you have another wish? – Yes, another beer, please.
noch(4)	Sonst noch etwas? – Nein, danke.	Anything else? – No, thank you.
noch(5)	Ich komme später. Ich muss erst noch einkaufen.	I’ll come later. I still need to go shopping.
noch(6)	Meine Freundin studiert, und abends arbeitet sie noch als Kellnerin.	My girlfriend studies and works as a waitress in the evening.
noch(7)	Es ist nicht mehr viel Zeit. Nur noch fünf Minuten.	There isn’t much time left. Only five minutes.
noch(8)	Ich habe nur noch 20 Euro.	I only have 20 euros left.
noch(9)	Ist das Essen schon fertig? – Nein, es dauert noch ein paar Minuten.	Is the food ready yet? – No, it will take a few more minutes.
noch(10)	Ist Amadeo schon da? – Vielleicht kommt er noch.	Is Amadeo already here? – Maybe he will come.
noch mal(1)	Vielen Dank nochmal.	Thank you again.
noch mal(2)	Bitte sagen Sie das nochmal.	Please say that again.
nochmals(1)	Nochmals vielen Dank!	Thank you once again!
normal(1)	Fehler zu machen ist doch ganz normal.	Making mistakes is quite normal.
normalerweise(1)	Wann haben Sie normalerweise Pause?	When do you usually have a break?
Not-(1)	Die Notaufnahme ist gleich hier links.	The emergency room is just here on the left.
Not-(2)	Der Notausgang ist gleich hier bei der Treppe.	The emergency exit is right here by the stairs.
Not-(3)	Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen.	We have an emergency. Please send an ambulance.
Not-(4)	Im Notfall rufen Sie bitte diese Nummer an.	In case of emergency, please call this number.
der Notruf(1)	Der Notruf hat die Nummer 110.	The emergency call number is 110.
die Note, -n(1)	Eva hat immer sehr gute Noten in Mathematik.	Eva always gets very good grades in math.
die Note, -n(2)	Meine Kinder lernen im Musikunterricht gerade Noten lesen.	My children are currently learning to read musical notes in music class.
notieren(1)	Ich habe mir den Termin notiert.	I noted the appointment.
nötig(1)	Wenn es nötig ist, nehmen Sie noch eine Tablette.	If necessary, take another tablet.
nötig(2)	Kann ich Ihnen helfen? – Danke, nicht nötig.	Can I help you? – No, thanks, not necessary.
die Notiz, -en(1)	Ich habe Ihnen eine Notiz geschrieben.	I wrote you a note.
die Notiz, -en(2)	Hast du einen Notizzettel für mich?	Do you have a note for me?
notwendig(1)	Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig.	Do I need to come back again? – No, that is not necessary.
die Nudel, -n(1)	Möchten Sie Nudeln oder Reis? – Lieber Nudeln.	Would you like noodles or rice? – Preferably noodles.
die Nummer, -n(1)	Ich habe mich in der Hausnummer geirrt.	I made a mistake with the house number.
die Nummer, -n(2)	Ich habe die falsche Nummer gewählt.	I dialed the wrong number.
die Nummer, -n(3)	Der Wagen hatte eine Münchner Nummer.	The car had a Munich license plate.
die Nummer, -n(4)	Sie haben Zimmer Nummer zwölf.	You have room number twelve.
die Nummer, -n(5)	Bitte geben Sie mir Ihre Kontonummer.	Please give me your account number.
die Nummer, -n(6)	Haben Sie die Bluse eine Nummer kleiner?	Do you have the blouse in a smaller size?
nun(1)	Schade, dass du arbeiten musst. – Das ist nun mal so.	It’s a pity that you have to work. – That’s the way it is.
nun(2)	Was ist jetzt? Kommst du nun endlich?	What’s happening now? Are you finally coming?
nur(1)	Im Kaufhaus gibt‘s T-Shirts für nur fünf Euro.	In the department store, T-shirts are only five euros.
nur(2)	Ich habe keinen Hunger. Ich möchte nur etwas trinken.	I’m not hungry. I just want something to drink.
nur(3)	Ich habe nur heute Abend Zeit.	I only have time this evening.
nur(4)	Kannst du mir Geld leihen? Tut mir leid. Ich habe nur fünf Euro dabei.	Can you lend me some money? Sorry, I only have five euros with me.
nutzen, nutzt, nutzte, hat genutzt(1)	Ich möchte das schöne Wetter nutzen und spazieren gehen.	I want to take advantage of the nice weather and go for a walk.
nützen, nützt, nützte, hat genützt(1)	Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.	I took a tablet every day, but it didn’t help.
nützlich(1)	Danke für den Tipp. Das war sehr nützlich.	Thank you for the tip. It was very useful.

