german word	german sentence	english translation
(ein) paar(1)	Ich komme gleich. Es dauert nur ein paar Minuten.	I’ll be there soon. It only takes a few minutes.
(ein) paar(2)	Wir fahren mit ein paar Freunden in Urlaub.	We are going on vacation with a few friends.
das Paar, -e(1)	Ina und Pedro sind ein Paar.	Ina and Pedro are a couple.
das Paar, -e(2)	Gestern habe ich mir ein Paar neue Schuhe gekauft.	Yesterday, I bought a pair of new shoes.
packen, packt, packte, hat gepackt(1)	Ich muss noch meinen Koffer packen.	I still need to pack my suitcase.
das Paket, -e(1)	Hast du das Paket zur Post gebracht?	Did you take the package to the post office?
die Panne, -n(1)	Kurz vor München hatten wir eine Panne mit dem Auto.	Just before Munich, we had a breakdown with the car.
die Panne, -n(2)	Die Reise war schlecht organisiert, es gab mehrere Pannen.	The trip was poorly organized; there were several problems.
das Papier, -e(1)	Hast du ein Blatt Papier für mich?	Do you have a piece of paper for me?
das Papier, -e(2)	Bitte bringen Sie zu dem Termin alle Papiere mit.	Please bring all documents to the appointment.
der Paradeiser, - (A) (1)	Kauf bitte noch Paradeiser auf dem Markt.	Please buy some tomatoes at the market.
parallel(1)	Die Goethestraße ist parallel zur Hauptstraße.	Goethestraße is parallel to the main street.
das Parfüm, -s(1)	Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.	For my birthday, I received a perfume from my husband.
der Park, -s(1)	Ich gehe gern im Park spazieren.	I like to take walks in the park.
parken, parkt, parkte, hat geparkt (D, A) (1)	Hier dürfen Sie nicht parken.	You are not allowed to park here.
parken, parkt, parkte, hat geparkt (D, A) (2)	Hier ist das Parken verboten.	Parking is prohibited here.
parkieren, parkiert, parkierte, hat parkiert (CH) (1)	Hier dürfen Sie nicht parkieren.	You are not allowed to park here.
parkieren, parkiert, parkierte, hat parkiert (CH) (2)	Hier ist das Parkieren verboten.	Parking is prohibited here.
der Partner, - (1)	Wir haben das Geschäft zusammen. Wir sind Partner.	We run the business together. We are partners.
der Partner, - (2)	Beide Partner kümmern sich um die Kinder.	Both partners take care of the children.
der Partner, - (3)	Herr Aydin ist mein Geschäftspartner.	Mr. Aydin is my business partner.
die Partnerin, -nen(1)	Meine Partnerin ist Ärztin.	My partner is a doctor.
die Party, -s(1)	Letzte Woche war ich auf einer Geburtstagsparty.	Last week, I was at a birthday party.
der Pass, ¨-e(1)	Ich muss meinen Pass verlängern lassen.	I need to have my passport extended.
der Pass, ¨-e(2)	Im Hotel brauchst du bei der Anmeldung deinen Pass.	At the hotel, you need your passport for check-in.
der Passagier, -e(1)	Die Passagiere Schulz und Kaufmann sollen bitte zur Information kommen.	Passengers Schulz and Kaufmann should please come to the information desk.
die Passagierin, -nen(1)	Die Passagierin hat ihre Tasche verloren.	The female passenger lost her bag.
passen, passt, passte, hat gepasst(1)	Der Pullover passt mir nicht mehr.	The sweater doesn’t fit me anymore.
passen, passt, passte, hat gepasst(2)	Wann soll ich kommen? Passt es Ihnen morgen Abend?	When should I come? Is it convenient for you tomorrow evening?
passen, passt, passte, hat gepasst(3)	Passt das T-Shirt zu diesem Rock?	Does this T-shirt match this skirt?
passieren, passiert, passierte, ist passiert(1)	Entschuldigung! – Kein Problem. Es ist nichts passiert.	Sorry! – No problem. Nothing happened.
passieren, passiert, passierte, ist passiert(2)	Wie ist der Unfall passiert?	How did the accident happen?
passieren, passiert, passierte, ist passiert(3)	Man hat mir die Brieftasche gestohlen. – Das ist mir auch schon passiert.	Someone stole my wallet. – That has happened to me before too.
passiv(1)	Man sollte im Kurs nicht passiv sein, sondern mitdiskutieren.	One should not be passive in the course but rather participate in the discussion.
der Patient, -en(1)	Ich bin Patientin bei Dr. Hausner. Ich möchte bitte einen Termin.	I am a patient of Dr. Hausner. I would like to make an appointment.
die Patientin, -nen(1)	Die Patientin hat ihre Ergebnisse bekommen.	The female patient received her results.
pauschal(1)	Sie haben die Reise pauschal gebucht.	You booked the trip as a package.
die Pause, -n(1)	Wir machen zehn Minuten Pause.	We’re taking a ten-minute break.
das Pech(1)	Es regnet. Unser Picknick fällt leider aus. – So ein Pech!	It’s raining. Our picnic is unfortunately canceled. – What a pity!
das Pech(2)	Wir hatten im Urlaub Pech mit dem Wetter.	We had bad luck with the weather on vacation.
der Pfeffer(1)	Bringen Sie uns bitte Pfeffer und Salz.	Please bring us pepper and salt.
pflanzen, pflanzt, pflanzte, hat gepflanzt(1)	Lass uns einen Baum pflanzen!	Let’s plant a tree!
die Pflanze, -n(1)	Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen.	When we are on vacation, the neighbor waters our plants.
das Pflaster, - (1)	Hast du ein Pflaster? Ich habe mich geschnitten.	Do you have a bandage? I cut myself.
die Pflaume, -n(1)	Ich esse gern Pflaumen und noch lieber Pflaumenkuchen.	I like to eat plums and even more, plum cake.
peinlich(1)	Das muss dir nicht peinlich sein.	You don’t have to be embarrassed about it.
peinlich(2)	Das war eine peinliche Situation.	That was an embarrassing situation.
