german word	german sentence	english translation
der Rabatt, -e(1)	Sie bekommen zehn Prozent Rabatt.	You get a ten percent discount.
das Rad, ¨-er(1)	Hast du noch ein Rad? Ich bin durch Glas gefahren und jetzt ist mein Rad kaputt.	Do you have a spare wheel? I ran over glass and now my wheel is broken.
das Rad, ¨-er (D, A) → Fahrrad; CH: Velo(1)	Hast du noch ein Rad? Ich bin durch Glas gefahren und jetzt ist mein Rad kaputt.	Do you have a spare bicycle? I ran over glass and now my bicycle is broken.
der Radfahrer, - die Radfahrerin, -nen(1)	Der Radfahrer ist auf der Straße unterwegs.	The cyclist is on the road.
das Radio, -s(1)	Ich höre gern Radio.	I like to listen to the radio.
der (Schlag-)Rahm (CH) → D: (Schlag-)Sahne, A: (Schlag-)Obers(1)	Ich hätte gern ein Stück Torte mit (Schlag-)Rahm.	I would like a piece of cake with whipped cream.
der Rand, ¨-er(1)	Wir wohnen am Rand der Innenstadt.	We live on the edge of the city center.
der Rasen, -(1)	Bitte den Rasen nicht betreten!	Please do not walk on the lawn.
(sich) rasieren, rasiert, rasierte, hat rasiert(1)	Dein Bart ist aber lang! Du solltest dich mal wieder rasieren.	Your beard is quite long! You should shave again.
raten, rät, riet, hat geraten(1)	Ich möchte billig Urlaub machen. Was raten Sie mir?	I want to go on a cheap vacation. What do you recommend?
(2)	Rate mal, wen ich heute getroffen habe! Deinen Lehrer.	Guess who I met today! Your teacher.
der Rat(1)	Was soll ich machen? Können Sie mir einen Rat geben?	What should I do? Can you give me advice?
Ratschlag, ¨-e(1)	Meine Tochter nimmt meine Ratschläge nicht an.	My daughter does not take my advice.
das Rätsel, -(1)	Ich kann dieses Rätsel nicht lösen.	I cannot solve this riddle.
das Rathaus, ¨-er(1)	Hier links sehen Sie das Rathaus.	You can see the town hall on the left.
(2)	Die Wahl findet im Rathaus statt.	The election takes place at the town hall.
rauchen, raucht, rauchte, hat geraucht(1)	Hier ist das Rauchen verboten!	Smoking is prohibited here.
(2)	Stört es Sie, wenn ich rauche?	Does it bother you if I smoke?
der Raucher, - die Raucherin, -nen(1)	Gibt es hier ein Zimmer für Raucher?	Is there a room for smokers here?
(2)	Ich bin keine Raucherin. Ich bin Nichtraucherin.	I am not a smoker. I am a non-smoker.
der Raum, ¨-e(1)	Getränke gibt es im Raum nebenan.	Drinks are available in the room next door.
rauf/rauf-(1)	Hier ist die Treppe, also los, schnell rauf!	Here is the staircase, so go up quickly!
(2)	Möchtest du nicht raufkommen?	Would you like to come up?
raus/raus-(1)	Willst du rein oder raus?	Do you want to go in or out?
(2)	Er ist gerade rausgelaufen.	He just ran out.
