die U-Bahn, -en(1)	Ich fahre mit der U-Bahn.	I take the subway.
üben(1)	Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.	I’m currently learning to play the guitar. I practice two hours every day.
die Übung, -en(1)	Diese Übung war sehr schwer.	This exercise was very difficult.
die Übung, -en(2)	Ich fahre nicht oft Auto. Mir fehlt die Übung.	I don’t drive often. I lack practice.
über(1)	Die Müllers wohnen direkt über uns.	The Müllers live directly above us.
über(2)	Pass bitte auf, wenn du über die Straße gehst.	Please be careful when you cross the street.
über(3)	Fahren Sie über Stuttgart oder über Würzburg?	Do you travel via Stuttgart or via Würzburg?
über(4)	Übers Wochenende fahren wir in die Berge.	We’re going to the mountains over the weekend.
über(5)	Kinder über zehn Jahre müssen voll bezahlen.	Children over ten years old have to pay full price.
über(6)	Ich suche ein Buch über die deutsche Küche.	I’m looking for a book about German cuisine.
überall(1)	Ich habe überall gesucht, aber meine Brille ist weg.	I searched everywhere, but my glasses are gone.
überfahren, überfährt, überfuhr, hat überfahren(1)	Gestern hat ein Autofahrer einen Hund überfahren.	Yesterday, a driver ran over a dog.
überhaupt(1)	Die Suppe schmeckt mir überhaupt nicht.	I don’t like the soup at all.
überhaupt(2)	Tut mir leid. Ich habe überhaupt keine Zeit.	Sorry. I don’t have any time at all.
überhaupt(3)	Du willst mit meinem Auto fahren? Hast du überhaupt einen Führerschein?	You want to drive my car? Do you even have a driver’s license?
überholen, überholt, überholte, hat überholt(1)	Hier dürfen Lkws nicht überholen.	Trucks are not allowed to overtake here.
überlegen, überlegt, überlegte, hat überlegt(1)	Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen.	I can’t decide. I need to think about it some more.
überlegen, überlegt, überlegte, hat überlegt(2)	Ich habe mir überlegt, ein Auto zu kaufen.	I’ve thought about buying a car.
übermorgen(1)	Morgen kann ich nicht. Wir sehen uns übermorgen.	I can’t tomorrow. We’ll see each other the day after tomorrow.
übernachten, übernachtet, übernachtete, hat übernachtet(1)	Wir haben auf dem Campingplatz übernachtet.	We stayed overnight at the campsite.
die Übernachtung, -en(1)	In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.	In this hotel, the overnight stay with breakfast costs 90 euros.
übernehmen, übernimmt, übernahm, hat übernommen(1)	Ich habe das Geschäft von meinem Vater übernommen.	I took over the business from my father.
überprüfen, überprüft, überprüfte, hat überprüft(1)	Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist.	Please check if your name is spelled correctly.
überqueren, überquert, überquerte, hat überquert(1)	Bitte die Straße nur an der Ampel überqueren.	Please cross the street only at the traffic light.
überraschen, überrascht, überraschte, hat überrascht(1)	Ich bin ganz überrascht, dass die Wohnung so billig ist.	I’m quite surprised that the apartment is so cheap.
die Überraschung, -en(1)	Ich habe eine Überraschung für dich.	I have a surprise for you.
die Überraschung, -en(2)	Das ist ja eine Überraschung. Ich dachte, du bist im Urlaub.	What a surprise! I thought you were on vacation.
überreden, überredet, überredete, hat überredet(1)	Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen.	At first, I didn’t want to, but my brother persuaded me to take an English course.
die Überschrift, -en(1)	Der Artikel erschien unter der folgenden Überschrift: „…“	The article appeared under the following headline: “...”
die Überschrift, -en(2)	Die Überschrift passt überhaupt nicht zum Inhalt des Artikels.	The headline doesn’t match the content of the article at all.
übersetzen, übersetzt, übersetzte, hat übersetzt(1)	Können Sie mir bitte diesen Brief übersetzen?	Can you please translate this letter for me?
der Übersetzer, -(1)	Meine Tochter möchte als Übersetzerin arbeiten.	My daughter wants to work as a translator.
die Übersetzerin, -nen(1)	Meine Tochter möchte als Übersetzerin arbeiten.	My daughter wants to work as a translator.
die Übersetzung, -en(1)	Die Übersetzung des Buches ist sehr gut.	The translation of the book is very good.
die Überstunde, -n(1)	Ich muss heute Überstunden machen.	I have to work overtime today.
über-(1)	Das Präfix „über-“ bedeutet „mehr als“ oder „zu viel“.	The prefix über- means more than or too much.
übertreiben, übertreibt, übertrieb, hat übertrieben(1)	Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.	A little exercise is healthy, but one shouldn’t overdo it.
überweisen, überweist, überwies, hat überwiesen(1)	Ich überweise dir das Geld.	I’ll transfer the money to you.
überweisen, überweist, überwies, hat überwiesen(2)	Der Arzt hat mich ins Krankenhaus überwiesen.	The doctor referred me to the hospital.
die Überweisung, -en(1)	Sie können bar oder per Überweisung bezahlen.	You can pay in cash or by bank transfer.
die Überweisung, -en(2)	Der Hausarzt hat mir eine Überweisung fürs Krankenhaus gegeben.	The family doctor gave me a referral to the hospital.
(sich) überzeugen, überzeugt, überzeugte, hat überzeugt(1)	Ihr Vorschlag überzeugt mich gar nicht.	Your proposal doesn’t convince me at all.
(sich) überzeugen, überzeugt, überzeugte, hat überzeugt(2)	Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist.	I am firmly convinced that my decision is correct.
die Überzeugung, -en(1)	Wie bist du zu dieser Überzeugung gekommen?	How did you come to this conviction?
üblich(1)	In Deutschland ist es üblich, früh zu Abend zu essen.	In Germany, it is customary to eat dinner early.
übrig(1)	Ist noch etwas zu essen übrig?	Is there anything to eat left?
übrigens(1)	Übrigens, kennst du schon die neuen Nachbarn?	By the way, do you already know the new neighbors?
das Ufer, -(1)	Er schwimmt ans Ufer zurück.	He swims back to the shore.
das Ufer, -(2)	Am Seeufer ist es schön spazieren zu gehen.	It’s nice to take a walk by the lake shore.
die Uhr, -en(1)	Wie viel Uhr ist es?	What time is it?
die Uhr, -en(2)	Es ist vier Uhr.	It’s four o’clock.
die Uhr, -en(3)	Um wie viel Uhr müssen wir gehen?	At what time do we have to leave?
die Uhr, -en(4)	Meine Uhr ist stehen geblieben.	My watch stopped.
um(1)	Wir treffen uns um 8 Uhr.	We’ll meet at 8 o’clock.
um(2)	Die Apotheke ist gleich um die Ecke.	The pharmacy is just around the corner.
um(3)	Die Benzinpreise sind schon wieder um 3 % gestiegen.	Gasoline prices have risen by 3% again.
umarmen, umarmt, umarmte, hat umarmt(1)	Lass dich zum Abschied umarmen.	Let me hug you goodbye.
um … zu(1)	Um gesund zu bleiben, musst du Sport machen und Gemüse essen.	To stay healthy, you need to exercise and eat vegetables.
(sich) umdrehen, dreht um, drehte um, hat umgedreht(1)	Dreh dich mal um. Da hinten liegt das Buch doch.	Turn around. The book is lying over there.
(sich) umdrehen, dreht um, drehte um, hat umgedreht(2)	Dreh das Blatt um; die Lösung steht auf der Rückseite.	Turn the page over; the solution is on the back.
die Umfrage, -n(1)	Wir machen eine Umfrage zum Thema Umweltschutz.	We’re conducting a survey on environmental protection.
die Umgebung, -en(1)	In der Umgebung von Berlin kann man schöne Ausflüge machen.	In the area around Berlin, you can take nice trips.
umgehen, geht um, ging um, ist umgegangen(1)	Er kann sehr gut mit Kindern umgehen.	He handles children very well.
umgekehrt(1)	Nein, umgekehrt: erst der Vorname, dann der Nachname.	No, the other way around: first the first name, then the last name.
