german word	german sentence	english translation
die Vase, -n(1)	Hast du eine Vase für die Blumen?	Do you have a vase for the flowers?
der Vater, ¨-(1)	Mein Vater arbeitet in einem Restaurant.	My father works in a restaurant.
der Vater, ¨-(2)	Herr Müller ist Vater geworden.	Mr. Müller has become a father.
vegetarisch(1)	Ich mag kein Fleisch. Ich esse am liebsten vegetarisch.	I don't like meat. I prefer to eat vegetarian.
vegetarisch(2)	Haben Sie auch vegetarische Gerichte?	Do you also have vegetarian dishes?
das Velo, -s (CH) → Fahrrad; D, A: Rad(1)	Sie fährt jeden Morgen mit dem Velo zur Arbeit.	She rides the bike to work every morning.
das Velo, -s (CH) → Fahrrad; D, A: Rad(2)	Am Sonntag fahren wir oft Velo.	On Sundays, we often ride bikes.
(sich) verabreden, verabredet, verabredete, hat verabredet(1)	Wir haben uns mit Freunden verabredet. Wir wollen zusammen essen.	We made plans with friends. We want to eat together.
(sich) verabreden, verabredet, verabredete, hat verabredet(2)	Tut mir leid, ich habe keine Zeit. Ich bin mit meiner Freundin verabredet.	Sorry, I don't have time. I have an appointment with my girlfriend.
die Verabredung, -en(1)	Ich habe um 15 Uhr eine Verabredung mit Klaus.	I have an appointment with Klaus at 3 p.m.
(sich) verabschieden, verabschiedet, verabschiedete, hat verabschiedet(1)	Ich wurde von meinen Freunden sehr nett verabschiedet.	I was very nicely bid farewell by my friends.
(sich) verabschieden, verabschiedet, verabschiedete, hat verabschiedet(2)	Es ist schon 23 Uhr. Ich möchte mich verabschieden.	It’s already 11 p.m. I would like to say goodbye.
der Abschied, -e(1)	Der Abschied von meinen Freunden fiel mir schwer.	Saying goodbye to my friends was hard for me.
(sich) verändern, verändert, veränderte, hat verändert(1)	Das geht so nicht. Wir müssen die Organisation verändern.	This won’t do. We need to change the organization.
(sich) verändern, verändert, veränderte, hat verändert(2)	Wir haben uns lange nicht gesehen. Aber du hast dich gar nicht verändert.	We haven’t seen each other for a long time. But you haven’t changed at all.
die Veranstaltung, -en(1)	Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.	Our restaurant is closed on Saturday. We have an event.
verantwortlich(1)	Sie sind für Ihre Kinder verantwortlich.	You are responsible for your children.
die Verantwortung(1)	Sie tragen die Verantwortung für Ihre Kinder.	You bear the responsibility for your children.
(sich) verbessern, verbessert, verbesserte, hat verbessert(1)	Ich habe mein Deutsch verbessert.	I have improved my German.
(sich) verbessern, verbessert, verbesserte, hat verbessert(2)	Meine Kinder haben sich in der Schule verbessert.	My children have improved in school.
verbieten, verbietet, verbot, hat verboten(1)	Ich werde meinen Kindern das Rauchen verbieten.	I will forbid my children from smoking.
das Verbot, -e(1)	Ich bin für das Verbot dieses neuen Videospiels.	I am for the ban of this new video game.
das Verbot, -e(2)	In den meisten Restaurants ist Rauchen verboten.	Smoking is prohibited in most restaurants.
verbinden, verbindet, verband, hat verbunden(1)	Wir müssen die Wunde sofort verbinden.	We need to bandage the wound immediately.
verbinden, verbindet, verband, hat verbunden(2)	Sie sind falsch verbunden! Hier ist Müller, nicht Meyer.	You are connected to the wrong number! This is Müller, not Meyer.
die Verbindung, -en(1)	Die Verbindung ist sehr gut. Ich kann direkt mit diesem Zug fahren und muss nicht umsteigen.	The connection is very good. I can take this train directly without changing.
