waagerecht(1)	Ziehen Sie bitte einen waagerechten Strich.	Please draw a horizontal line.
wach(1)	Bist du schon lange wach?	Have you been awake for a long time?
wach(2)	Ich bin gerade wach geworden.	I just woke up.
wachsen, wächst, wuchs, ist gewachsen(1)	Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich.	My son has grown a lot. He is now taller than I am.
wachsen, wächst, wuchs, ist gewachsen(2)	Ich will mir die Haare wachsen lassen.	I want to let my hair grow.
wachsen, wächst, wuchs, ist gewachsen(3)	In meinem Garten wachsen Tomaten und Kartoffeln.	Tomatoes and potatoes are growing in my garden.
wann(1)	Wann kommst du?	When are you coming?
wann(2)	Wissen Sie, wann der Kurs beginnt?	Do you know when the course starts?
wann(3)	Bis wann muss ich mich anmelden?	By when do I need to register?
wann(4)	Ab wann haben Sie geöffnet?	From when are you open?
die Ware, -n(1)	Wir liefern Ihnen die Ware direkt ins Haus.	We deliver the goods directly to your house.
warm(1)	Hier ist es sehr warm.	It is very warm here.
warm(2)	Abends essen wir oft warm.	In the evenings, we often eat warm meals.
warm(3)	Du musst dich warm anziehen.	You need to dress warmly.
warm(4)	Mittags möchte ich gern ein warmes Essen.	At noon, I would like a warm meal.
warm(5)	Für den Winter brauche ich einen warmen Pullover.	I need a warm sweater for the winter.
der Wagen, -(1)	Ich habe meinen Wagen in die Werkstatt gebracht.	I brought my car to the workshop.
der Wagen, -(2)	Im zweiten Wagen befindet sich das Zugrestaurant.	The second car contains the train restaurant.
wählen, wählt, wählte, hat gewählt(1)	Sie können wählen: Als Vorspeise gibt es Suppe oder Salat.	You can choose: As a starter, there is soup or salad.
wählen, wählt, wählte, hat gewählt(2)	Sie müssen erst eine Null wählen.	You first need to select a zero.
wählen, wählt, wählte, hat gewählt(3)	Ich habe diese Partei nicht gewählt.	I did not vote for this party.
die Wahl, -en(1)	Sie haben die Wahl: mit Vollpension oder Halbpension?	You have the choice: full board or half board?
die Wahl, -en(2)	Die nächste Wahl ist im Herbst.	The next election is in the fall.
wahnsinnig(1)	Du fährst viel zu schnell. Bist du wahnsinnig?!	You are driving too fast. Are you crazy?!
