german word	german sentence	english translation
die Zahl, -en(1)	Können Sie die Zahl bitte wiederholen?	Can you please repeat the number?
die Zahl, -en(2)	Die Zahl der Internetnutzer wird immer größer.	The number of internet users is continually increasing.
die Anzahl, -en(1)	Die Anzahl der Teilnehmer war groß.	The number of participants was large.
zahlreich(1)	Die Gäste sind zahlreich gekommen.	The guests arrived in large numbers.
zahlreich(2)	Es gibt zahlreiche Beispiele für gute Zusammenarbeit.	There are numerous examples of good cooperation.
zahlen, zahlt, zahlte, hat gezahlt(1)	Herr Ober, zahlen bitte!	Waiter, the bill please!
zahlen, zahlt, zahlte, hat gezahlt(2)	Ich hatte keinen Fahrschein und musste 60 Euro Strafe zahlen.	I didn’t have a ticket and had to pay a 60-euro fine.
zahlen, zahlt, zahlte, hat gezahlt(3)	Wir müssen im nächsten Jahr mehr Steuern zahlen.	We will have to pay more taxes next year.
die Zahlung, -en(1)	Bitte geben Sie bei der Zahlung die Rechnungsnummer an.	Please provide the invoice number when making the payment.
zählen, zählt, zählte, hat gezählt(1)	Bitte zählen Sie das Wechselgeld sofort nach.	Please count the change immediately.
zählen, zählt, zählte, hat gezählt(2)	Mein Sohn kann schon bis 100 zählen.	My son can already count up to 100.
zählen, zählt, zählte, hat gezählt(3)	Ich zähle auf dich!	I’m counting on you!
der Zahn, ¨-e(1)	Der Zahn tut mir schon lange weh.	The tooth has been hurting for a long time.
die Zahncreme/-pasta(1)	Die neue Zahncreme riecht sehr gut.	The new toothpaste smells very good.
die Zange, -n(1)	Um das Fahrrad zu reparieren, brauchst du eine Zange.	To repair the bike, you need a pair of pliers.
das Zeichen, - (1)	Bitte fangen Sie erst an, wenn ich Ihnen ein Zeichen gebe.	Please start only when I give you a signal.
das Verkehrszeichen, - (1)	Meine Kinder lernen in der Schule gerade die Verkehrszeichen.	My children are currently learning about traffic signs in school.
zeichnen, zeichnet, zeichnete, hat gezeichnet(1)	Meine Tochter kann sehr gut zeichnen.	My daughter can draw very well.
die Zeichnung, -en(1)	Das ist eine schöne Zeichnung.	That’s a beautiful drawing.
zeigen, zeigt, zeigte, hat gezeigt(1)	Zeig mir bitte deine Hausaufgaben.	Please show me your homework.
zeigen, zeigt, zeigte, hat gezeigt(2)	Der Bahnhof ist nicht weit entfernt. Ich zeige Ihnen den Weg.	The train station is not far away. I’ll show you the way.
zeigen, zeigt, zeigte, hat gezeigt(3)	Komm her! Ich zeige dir etwas.	Come here! I’ll show you something.
die Zeile, -n(1)	Das Wort steht in der fünften Zeile von oben.	The word is in the fifth line from the top.
die Zeit(1)	Ich habe heute keine Zeit.	I have no time today.
die Zeit(2)	Es ist noch früh. Wir haben noch viel Zeit.	It’s still early. We have plenty of time.
die Zeit(3)	Um welche Zeit sind Sie normalerweise zu Hause?	What time are you usually home?
die Zeit(4)	Um diese Zeit ist hier wenig los.	At this time, it’s quiet here.
das Zeugnis, -se(1)	Wenn Sie die Prüfung schaffen, bekommen Sie ein Zeugnis.	If you pass the exam, you will receive a certificate.
ziehen, zieht, zog, hat/ist gezogen(1)	Sie müssen ziehen, nicht drücken.	You need to pull, not push.
ziehen, zieht, zog, hat/ist gezogen(2)	Wir sind vor drei Wochen nach Hamburg gezogen.	We moved to Hamburg three weeks ago.
ziehen, zieht, zog, hat/ist gezogen(3)	Machen Sie bitte die Tür zu, es zieht.	Please close the door, there’s a draft.
das Ziel, -e(1)	Ich will die Prüfung unbedingt schaffen. Das ist mein Ziel.	I want to pass the exam at all costs. That’s my goal.
ziemlich(1)	Ich bin schon ziemlich müde. Ich gehe ins Bett.	I am already quite tired. I am going to bed.
ziemlich(2)	Ich musste beim Arzt ziemlich lange warten.	I had to wait quite a long time at the doctor’s.
die Zigarette, -n(1)	Wie viele Zigaretten rauchst du am Tag?	How many cigarettes do you smoke per day?
das Zimmer, - (1)	Die Wohnung hat drei Zimmer.	The apartment has three rooms.
das Zimmer, - (2)	Ich habe ein Zimmer im Hotel Eden reserviert.	I reserved a room at Hotel Eden.
der Zeitpunkt, -e(1)	Er ist krank. Das ist kein guter Zeitpunkt für einen Besuch.	He is sick. This is not a good time for a visit.
